title,fork,stars,watch,recent_time,writer,url
flutter,"26,544","161,631","3,534","Apr 18, 2024, 8:25 PM GMT+9",flutter,https://github.com/flutter/flutter
react-native,"23,862","115,576","3,613","Apr 18, 2024, 1:50 PM GMT+9",facebook,https://github.com/facebook/react-native
free-programming-books-zh_CN,"28,077","109,064","5,906","Nov 5, 2018, 2:21 PM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,"9,904","101,611","1,206","Apr 3, 2024, 1:01 AM GMT+9",Genymobile,https://github.com/Genymobile/scrcpy
Awesome-Hacking,"8,693","77,004","3,782","Apr 13, 2024, 9:39 PM GMT+9",Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking
awesome-flutter,"6,545","51,154","1,572","Apr 18, 2024, 12:13 AM GMT+9",Solido,https://github.com/Solido/awesome-flutter
material-design-icons,"9,539","49,755","1,821","Feb 2, 2024, 11:18 AM GMT+9",google,https://github.com/google/material-design-icons
awesome-android-ui,"10,240","49,060","2,788","Aug 18, 2022, 4:56 PM GMT+9",wasabeef,https://github.com/wasabeef/awesome-android-ui
tldr,"3,961","48,291",367,"Apr 18, 2024, 1:30 PM GMT+9",tldr-pages,https://github.com/tldr-pages/tldr
okhttp,"9,097","45,230","1,630","Apr 18, 2024, 10:32 AM GMT+9",square,https://github.com/square/okhttp
architecture-samples,"11,556","43,812","2,406","Apr 5, 2024, 11:38 PM GMT+9",android,https://github.com/android/architecture-samples
joplin,"4,634","42,728",478,"Apr 18, 2024, 12:56 PM GMT+9",laurent22,https://github.com/laurent22/joplin
retrofit,"7,276","42,597","1,572","Apr 13, 2024, 9:26 AM GMT+9",square,https://github.com/square/retrofit
appwrite,"3,687","40,881",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite
uni-app,"3,562","39,324",512,"Apr 18, 2024, 9:00 PM GMT+9",dcloudio,https://github.com/dcloudio/uni-app
jadx,"4,615","38,892",815,"Apr 16, 2024, 3:17 AM GMT+9",skylot,https://github.com/skylot/jadx
fastlane,"5,595","38,595",743,"Apr 18, 2024, 4:08 AM GMT+9",fastlane,https://github.com/fastlane/fastlane
MPAndroidChart,"8,981","37,232","1,116","Jun 21, 2021, 10:16 PM GMT+9",PhilJay,https://github.com/PhilJay/MPAndroidChart
shadowsocks-android,"11,577","34,649","1,572","Sep 25, 2023, 4:55 PM GMT+9",shadowsocks,https://github.com/shadowsocks/shadowsocks-android
lottie-android,"5,361","34,636",852,"Apr 14, 2024, 7:53 AM GMT+9",airbnb,https://github.com/airbnb/lottie-android
