title,fork,stars,watch,recent_time,writer,url
material,"3,412","16,580",708,"Apr 13, 2022, 3:42 AM GMT+9",angular,https://github.com/angular/material
ui-router,"3,016","13,562",486,"Apr 18, 2023, 7:18 PM GMT+9",angular-ui,https://github.com/angular-ui/ui-router
blur-admin,"3,104","11,366",515,"Jan 20, 2019, 3:51 AM GMT+9",akveo,https://github.com/akveo/blur-admin
heatmap.js,"1,311","6,148",227,"Sep 5, 2016, 9:41 AM GMT+9",pa7,https://github.com/pa7/heatmap.js
angularjs-styleguide,705,"5,984",328,"Apr 4, 2020, 4:50 AM GMT+9",toddmotto,https://github.com/toddmotto/angularjs-styleguide
oppia,"3,759","5,614",241,"Mar 28, 2024, 11:59 PM GMT+9",oppia,https://github.com/oppia/oppia
FAQGURU,555,"4,997",336,"Feb 8, 2023, 9:55 AM GMT+9",FAQGURU,https://github.com/FAQGURU/FAQGURU
angularjs-style-guide,655,"4,978",283,"Jan 10, 2019, 8:20 AM GMT+9",mgechev,https://github.com/mgechev/angularjs-style-guide
angular-translate,"1,051","4,341",143,"Jan 22, 2024, 2:35 AM GMT+9",angular-translate,https://github.com/angular-translate/angular-translate
Deep-Learning-in-Production,683,"4,243",148,"Nov 11, 2023, 4:23 PM GMT+9",ahkarami,https://github.com/ahkarami/Deep-Learning-in-Production
SimplCommerce,"1,544","4,106",307,"Mar 21, 2024, 4:35 PM GMT+9",simplcommerce,https://github.com/simplcommerce/SimplCommerce
angular-interview-questions,"1,919","3,950",189,"Feb 23, 2024, 10:48 AM GMT+9",sudheerj,https://github.com/sudheerj/angular-interview-questions
angular-local-storage,592,"2,833",111,"Oct 31, 2014, 5:10 AM GMT+9",grevory,https://github.com/grevory/angular-local-storage
ocLazyLoad,512,"2,633",118,"Feb 3, 2017, 6:11 PM GMT+9",ocombe,https://github.com/ocombe/ocLazyLoad
angular-moment,396,"2,603",49,"Jun 15, 2020, 4:00 PM GMT+9",urish,https://github.com/urish/angular-moment
angular-meteor,625,"2,360",132,"Mar 4, 2021, 10:30 AM GMT+9",Urigo,https://github.com/Urigo/angular-meteor
ApiManager,791,"2,354",171,"Aug 13, 2021, 1:42 AM GMT+9",EhsanTang,https://github.com/EhsanTang/ApiManager
material-start,"1,217","2,209",146,"Mar 30, 2021, 2:23 AM GMT+9",angular,https://github.com/angular/material-start
electron-release-server,542,"2,024",35,"Oct 29, 2023, 5:06 AM GMT+9",ArekSredzki,https://github.com/ArekSredzki/electron-release-server
sp-dev-fx-webparts,"3,803","1,985",224,"Apr 18, 2024, 2:52 PM GMT+9",pnp,https://github.com/pnp/sp-dev-fx-webparts
