title,fork,stars,watch,recent_time,writer,url
devops-exercises,"13,861","63,279","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
ansible,"23,674","61,070","1,920","Apr 18, 2024, 8:51 PM GMT+9",ansible,https://github.com/ansible/ansible
algo,"2,283","28,295",451,"Apr 1, 2024, 10:23 AM GMT+9",trailofbits,https://github.com/trailofbits/algo
90DaysOfDevOps,"6,115","25,788",526,"Apr 15, 2024, 8:24 PM GMT+9",MichaelCade,https://github.com/MichaelCade/90DaysOfDevOps
streisand,"1,994","23,107",629,"Apr 12, 2020, 10:29 AM GMT+9",StreisandEffect,https://github.com/StreisandEffect/streisand
kubespray,"6,283","15,323",318,"Apr 17, 2024, 11:33 AM GMT+9",kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray
awx,"3,323","13,396",373,"Apr 18, 2024, 5:45 AM GMT+9",ansible,https://github.com/ansible/awx
kubeasz,"3,404","10,050",345,"Feb 15, 2024, 10:07 PM GMT+9",easzlab,https://github.com/easzlab/kubeasz
semaphore,960,"9,276",218,"Apr 15, 2024, 5:08 PM GMT+9",semaphoreui,https://github.com/semaphoreui/semaphore
ansible-for-devops,"3,311","7,994",367,"Jun 30, 2023, 1:03 AM GMT+9",geerlingguy,https://github.com/geerlingguy/ansible-for-devops
netboot.xyz,621,"7,869",106,"Apr 18, 2024, 1:15 PM GMT+9",netbootxyz,https://github.com/netbootxyz/netboot.xyz
homelab,675,"7,713",80,"Apr 18, 2024, 7:52 PM GMT+9",khuedoan,https://github.com/khuedoan/homelab
DevOps-Guide,"1,549","7,639",193,"Nov 25, 2023, 5:07 PM GMT+9",Tikam02,https://github.com/Tikam02/DevOps-Guide
mac-dev-playbook,"1,723","5,780",153,"Feb 4, 2024, 1:09 PM GMT+9",geerlingguy,https://github.com/geerlingguy/mac-dev-playbook
rundeck,891,"5,306",203,"Apr 17, 2024, 6:52 AM GMT+9",rundeck,https://github.com/rundeck/rundeck
KubeOperator,867,"4,933",149,"Dec 28, 2023, 5:55 PM GMT+9",KubeOperator,https://github.com/KubeOperator/KubeOperator
DetectionLab,967,"4,500",150,"Mar 27, 2023, 2:51 PM GMT+9",clong,https://github.com/clong/DetectionLab
molecule,647,"3,803",113,"Apr 16, 2024, 1:52 AM GMT+9",ansible,https://github.com/ansible/molecule
ansible-collection-hardening,693,"3,665",116,"Mar 26, 2024, 7:03 AM GMT+9",dev-sec,https://github.com/dev-sec/ansible-collection-hardening
boilerplates,"1,313","3,621",88,"Apr 18, 2024, 3:21 PM GMT+9",ChristianLempa,https://github.com/ChristianLempa/boilerplates
