title,fork,stars,watch,recent_time,writer,url
mlflow,"3,921","17,214",289,"Apr 17, 2024, 10:49 PM GMT+9",mlflow,https://github.com/mlflow/mlflow
SynapseML,811,"4,966",147,"Apr 18, 2024, 10:27 AM GMT+9",microsoft,https://github.com/microsoft/SynapseML
lakeFS,329,"4,058",40,"Apr 17, 2024, 11:56 PM GMT+9",treeverse,https://github.com/treeverse/lakeFS
CoolplaySpark,"1,409","3,447",443,"May 18, 2022, 5:55 PM GMT+9",lw-lin,https://github.com/lw-lin/CoolplaySpark
spark-notebook,654,"3,146",190,"Mar 30, 2021, 5:57 PM GMT+9",spark-notebook,https://github.com/spark-notebook/spark-notebook
BigDL-2.x,730,"2,632",108,"Apr 11, 2024, 12:14 PM GMT+9",intel-analytics,https://github.com/intel-analytics/BigDL-2.x
spark-operator,"1,318","2,605",88,"Apr 17, 2024, 5:42 AM GMT+9",kubeflow,https://github.com/kubeflow/spark-operator
docker-spark,698,"2,011",106,"Jul 2, 2022, 6:46 AM GMT+9",big-data-europe,https://github.com/big-data-europe/docker-spark
spark,308,"1,995",91,"Feb 18, 2023, 6:56 AM GMT+9",dotnet,https://github.com/dotnet/spark
feathr,256,"1,927",84,"Mar 27, 2024, 3:59 AM GMT+9",feathr-ai,https://github.com/feathr-ai/feathr
oryx,405,"1,786",209,"Jul 14, 2021, 9:53 PM GMT+9",OryxProject,https://github.com/OryxProject/oryx
awesome-spark,322,"1,609",83,"Apr 18, 2023, 12:53 PM GMT+9",awesome-spark,https://github.com/awesome-spark/awesome-spark
apache-spark-internals,448,"1,430",135,"Dec 28, 2023, 8:42 PM GMT+9",japila-books,https://github.com/japila-books/apache-spark-internals
goodreads_etl_pipeline,205,"1,219",25,"Mar 9, 2020, 9:59 AM GMT+9",san089,https://github.com/san089/goodreads_etl_pipeline
sparkit-learn,253,"1,147",90,"Oct 24, 2017, 7:08 PM GMT+9",lensacom,https://github.com/lensacom/sparkit-learn
LearningSparkV2,682,"1,087",41,"Dec 13, 2021, 6:20 AM GMT+9",databricks,https://github.com/databricks/LearningSparkV2
spark-sklearn,232,"1,077",94,"Dec 4, 2019, 3:37 AM GMT+9",databricks,https://github.com/databricks/spark-sklearn
SQL-Data-Analysis-and-Visualization-Projects,458,"1,061",21,"Apr 14, 2022, 8:37 PM GMT+9",ptyadana,https://github.com/ptyadana/SQL-Data-Analysis-and-Visualization-Projects
data-algorithms-book,662,"1,057",132,"Dec 28, 2021, 7:20 PM GMT+9",mahmoudparsian,https://github.com/mahmoudparsian/data-algorithms-book
Mobius,212,937,145,"Jan 31, 2024, 4:45 AM GMT+9",microsoft,https://github.com/microsoft/Mobius
