title,fork,stars,watch,recent_time,writer,url
devops-exercises,"13,861","63,279","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
generative-ai-for-beginners,"22,701","41,852",365,"Apr 17, 2024, 12:31 AM GMT+9",microsoft,https://github.com/microsoft/generative-ai-for-beginners
pulumi,"1,030","19,669",188,"Apr 18, 2024, 7:09 PM GMT+9",pulumi,https://github.com/pulumi/pulumi
recommenders,"2,988","17,927",271,"Apr 6, 2024, 3:42 AM GMT+9",recommenders-team,https://github.com/recommenders-team/recommenders
sops,807,"15,063",116,"Apr 15, 2024, 2:01 AM GMT+9",getsops,https://github.com/getsops/sops
awesome-kubernetes,"2,252","14,713",468,"Apr 18, 2024, 1:51 PM GMT+9",ramitsurana,https://github.com/ramitsurana/awesome-kubernetes
azure-quickstart-templates,"15,937","13,699",734,"Apr 16, 2024, 1:15 AM GMT+9",Azure,https://github.com/Azure/azure-quickstart-templates
caprover,777,"12,140",144,"Feb 27, 2024, 1:37 PM GMT+9",caprover,https://github.com/caprover/caprover
LibreChat,"1,883","10,446",84,"Apr 18, 2024, 9:19 PM GMT+9",danny-avila,https://github.com/danny-avila/LibreChat
infracost,513,"10,237",69,"Apr 18, 2024, 1:51 AM GMT+9",infracost,https://github.com/infracost/infracost
prowler,"1,384","9,512",117,"Apr 18, 2024, 8:58 PM GMT+9",prowler-cloud,https://github.com/prowler-cloud/prowler
DevOps-Roadmap,"1,470","9,388",160,"Feb 6, 2024, 8:22 PM GMT+9",milanm,https://github.com/milanm/DevOps-Roadmap
go-cloud,793,"9,379",221,"Mar 22, 2024, 1:47 AM GMT+9",google,https://github.com/google/go-cloud
computervision-recipes,"1,154","9,283",285,"Nov 1, 2022, 2:12 AM GMT+9",microsoft,https://github.com/microsoft/computervision-recipes
docker-android,"1,131","7,999",163,"Mar 21, 2024, 3:58 PM GMT+9",budtmo,https://github.com/budtmo/docker-android
metaflow,714,"7,566",278,"Apr 12, 2024, 5:56 AM GMT+9",Netflix,https://github.com/Netflix/metaflow
azuredatastudio,868,"7,433",273,"Apr 18, 2024, 8:45 AM GMT+9",microsoft,https://github.com/microsoft/azuredatastudio
midway,557,"7,150",104,"Apr 17, 2024, 9:39 PM GMT+9",midwayjs,https://github.com/midwayjs/midway
formidable,679,"6,939",112,"Aug 25, 2023, 11:21 PM GMT+9",node-formidable,https://github.com/node-formidable/formidable
clean-code-dotnet,"1,056","6,774",279,"Feb 10, 2024, 4:07 PM GMT+9",thangchung,https://github.com/thangchung/clean-code-dotnet
