title,fork,stars,watch,recent_time,writer,url
babel,"5,572","42,894",812,"Apr 18, 2024, 8:52 PM GMT+9",babel,https://github.com/babel/babel
swc,"1,139","29,942",148,"Apr 18, 2024, 4:57 PM GMT+9",swc-project,https://github.com/swc-project/swc
nylas-mail,"1,371","24,785",464,"Apr 29, 2017, 5:01 AM GMT+9",nylas,https://github.com/nylas/nylas-mail
electron-react-boilerplate,"3,754","22,618",283,"Sep 17, 2023, 3:29 AM GMT+9",electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate
electron-vue,"1,543","15,443",251,"Apr 21, 2021, 11:20 PM GMT+9",SimulatedGREG,https://github.com/SimulatedGREG/electron-vue
front-end-guide,"1,124","15,080",480,"Nov 14, 2018, 12:04 AM GMT+9",grab,https://github.com/grab/front-end-guide
babel-handbook,"1,779","11,915",233,"Aug 7, 2020, 3:45 AM GMT+9",jamiebuilds,https://github.com/jamiebuilds/babel-handbook
htm,167,"8,552",72,"Jun 3, 2022, 9:03 AM GMT+9",developit,https://github.com/developit/htm
grommet,"1,016","8,301",127,"Apr 16, 2024, 6:11 AM GMT+9",grommet,https://github.com/grommet/grommet
twin.macro,184,"7,800",32,"Apr 8, 2024, 1:13 PM GMT+9",ben-rogerson,https://github.com/ben-rogerson/twin.macro
generator-angular-fullstack,"1,244","6,129",270,"Feb 14, 2023, 1:42 PM GMT+9",angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack
astexplorer,704,"5,932",59,"Feb 4, 2024, 7:27 PM GMT+9",fkling,https://github.com/fkling/astexplorer
ast-grep,139,"5,832",19,"Apr 17, 2024, 6:19 AM GMT+9",ast-grep,https://github.com/ast-grep/ast-grep
documentation,482,"5,762",60,"Feb 1, 2024, 11:45 PM GMT+9",documentationjs,https://github.com/documentationjs/documentation
nwb,334,"5,564",66,"Mar 7, 2020, 10:51 AM GMT+9",insin,https://github.com/insin/nwb
thinkjs,615,"5,309",262,"Jun 10, 2023, 9:54 PM GMT+9",thinkjs,https://github.com/thinkjs/thinkjs
poi,256,"5,237",82,"Dec 6, 2021, 9:22 PM GMT+9",egoist,https://github.com/egoist/poi
gogocode,396,"5,183",53,"Apr 11, 2024, 11:24 AM GMT+9",thx,https://github.com/thx/gogocode
react,"1,733","4,955",197,"Mar 17, 2024, 10:14 AM GMT+9",duxianwei520,https://github.com/duxianwei520/react
babel-loader,450,"4,795",81,"Nov 18, 2023, 1:59 AM GMT+9",babel,https://github.com/babel/babel-loader
