title,fork,stars,watch,recent_time,writer,url
shadowsocks-windows,"16,401","57,915","2,459","Apr 26, 2021, 6:07 PM GMT+9",shadowsocks,https://github.com/shadowsocks/shadowsocks-windows
azure-sdk-for-net,"4,438","4,973","1,262","Apr 18, 2024, 9:06 AM GMT+9",Azure,https://github.com/Azure/azure-sdk-for-net
WeiXinMPSDK,"4,329","8,240",644,"Apr 12, 2024, 8:40 PM GMT+9",JeffreySu,https://github.com/JeffreySu/WeiXinMPSDK
CNTK,"4,301","17,450","1,253","Sep 23, 2022, 11:06 PM GMT+9",microsoft,https://github.com/microsoft/CNTK
aspnetboilerplate,"3,755","11,561",780,"Mar 27, 2024, 7:53 PM GMT+9",aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate
MaterialDesignInXamlToolkit,"3,365","14,608",509,"Apr 11, 2024, 1:40 AM GMT+9",MaterialDesignInXAML,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
PnP,"3,310","1,892",555,"Aug 24, 2021, 8:00 PM GMT+9",pnp,https://github.com/pnp/PnP
abp,"3,303","12,214",337,"Apr 18, 2024, 8:16 PM GMT+9",abpframework,https://github.com/abpframework/abp
ILSpy,"3,243","20,153",711,"Apr 1, 2024, 10:06 PM GMT+9",icsharpcode,https://github.com/icsharpcode/ILSpy
Newtonsoft.Json,"3,214","10,505",486,"Apr 17, 2024, 9:22 AM GMT+9",JamesNK,https://github.com/JamesNK/Newtonsoft.Json
flatbuffers,"3,156","22,005",642,"Apr 18, 2024, 2:06 PM GMT+9",google,https://github.com/google/flatbuffers
efcore,"3,081","13,324",910,"Apr 18, 2024, 4:48 PM GMT+9",dotnet,https://github.com/dotnet/efcore
Lean,"3,062","8,651",418,"Apr 18, 2024, 7:28 AM GMT+9",QuantConnect,https://github.com/QuantConnect/Lean
CefSharp,"2,892","9,663",545,"Mar 24, 2024, 2:19 PM GMT+9",cefsharp,https://github.com/cefsharp/CefSharp
ET,"2,886","8,291",477,"Dec 31, 2023, 8:45 PM GMT+9",egametang,https://github.com/egametang/ET
MonoGame,"2,815","10,786",468,"Apr 16, 2024, 7:05 PM GMT+9",MonoGame,https://github.com/MonoGame/MonoGame
coreclr,"2,678","12,820",900,"Dec 14, 2022, 9:17 AM GMT+9",dotnet,https://github.com/dotnet/coreclr
space-station-14,"2,527","1,949",46,"Oct 8, 2023, 10:39 AM GMT+9",space-wizards,https://github.com/space-wizards/space-station-14
mal,"2,475","9,803",184,"Mar 6, 2022, 6:54 PM GMT+9",kanaka,https://github.com/kanaka/mal
MahApps.Metro,"2,443","9,122",448,"Apr 12, 2024, 4:44 AM GMT+9",MahApps,https://github.com/MahApps/MahApps.Metro
