title,fork,stars,watch,recent_time,writer,url
shadowsocks-windows,"16,402","57,915","2,459","Feb 26, 2021, 2:59 AM GMT+9",shadowsocks,https://github.com/shadowsocks/shadowsocks-windows
Avalonia,"2,054","23,663",467,"Mar 6, 2024, 6:13 AM GMT+9",AvaloniaUI,https://github.com/AvaloniaUI/Avalonia
CodeHub,610,"22,884","6,643","May 6, 2020, 11:29 AM GMT+9",CodeHubApp,https://github.com/CodeHubApp/CodeHub
flatbuffers,"3,156","22,005",642,"Mar 26, 2024, 2:27 PM GMT+9",google,https://github.com/google/flatbuffers
ILSpy,"3,244","20,154",710,"Apr 1, 2024, 10:06 PM GMT+9",icsharpcode,https://github.com/icsharpcode/ILSpy
CNTK,"4,301","17,450","1,253","Sep 23, 2022, 11:06 PM GMT+9",microsoft,https://github.com/microsoft/CNTK
MaterialDesignInXamlToolkit,"3,365","14,608",509,"Apr 11, 2024, 1:40 AM GMT+9",MaterialDesignInXAML,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
efcore,"3,081","13,325",910,"Apr 18, 2024, 4:48 PM GMT+9",dotnet,https://github.com/dotnet/efcore
coreclr,"2,678","12,820",900,"Dec 14, 2022, 9:17 AM GMT+9",dotnet,https://github.com/dotnet/coreclr
abp,"3,303","12,214",337,"Apr 18, 2024, 8:16 PM GMT+9",abpframework,https://github.com/abpframework/abp
aspnetboilerplate,"3,755","11,561",780,"Mar 27, 2024, 7:53 PM GMT+9",aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate
MonoGame,"2,815","10,788",468,"Jul 26, 2022, 9:04 PM GMT+9",MonoGame,https://github.com/MonoGame/MonoGame
ArchiSteamFarm,"1,019","10,616",231,"Apr 18, 2024, 1:45 PM GMT+9",JustArchiNET,https://github.com/JustArchiNET/ArchiSteamFarm
Newtonsoft.Json,"3,214","10,506",486,"Apr 17, 2024, 9:22 AM GMT+9",JamesNK,https://github.com/JamesNK/Newtonsoft.Json
duplicati,860,"10,151",191,"Apr 18, 2024, 9:07 PM GMT+9",duplicati,https://github.com/duplicati/duplicati
BenchmarkDotNet,939,"10,001",264,"Apr 8, 2024, 6:18 PM GMT+9",dotnet,https://github.com/dotnet/BenchmarkDotNet
choco,873,"9,849",230,"Apr 18, 2024, 10:07 PM GMT+9",chocolatey,https://github.com/chocolatey/choco
mal,"2,476","9,803",184,"Mar 6, 2022, 6:54 PM GMT+9",kanaka,https://github.com/kanaka/mal
CefSharp,"2,892","9,663",545,"Mar 24, 2024, 2:19 PM GMT+9",cefsharp,https://github.com/cefsharp/CefSharp
MahApps.Metro,"2,443","9,122",448,"Apr 12, 2024, 4:44 AM GMT+9",MahApps,https://github.com/MahApps/MahApps.Metro
