title,fork,stars,watch,recent_time,writer,url
scrcpy,"9,905","101,617","1,206","Apr 3, 2024, 1:01 AM GMT+9",Genymobile,https://github.com/Genymobile/scrcpy
neovim,"5,266","76,286",983,"Apr 18, 2024, 11:57 PM GMT+9",neovim,https://github.com/neovim/neovim
obs-studio,"7,517","55,417","1,447","Apr 18, 2024, 10:52 AM GMT+9",obsproject,https://github.com/obsproject/obs-studio
awesome-cpp,"7,623","55,376","2,036","May 15, 2022, 1:47 AM GMT+9",fffaraz,https://github.com/fffaraz/awesome-cpp
git,"25,066","49,853","2,391","Apr 17, 2024, 6:50 AM GMT+9",git,https://github.com/git/git
FFmpeg,"11,673","42,253","1,418","Apr 18, 2024, 9:52 PM GMT+9",FFmpeg,https://github.com/FFmpeg/FFmpeg
open-source-mac-os-apps,"2,255","39,394",971,"Nov 3, 2023, 8:46 AM GMT+9",serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps
vim,"5,216","34,884",674,"Apr 18, 2024, 5:39 AM GMT+9",vim,https://github.com/vim/vim
curl,"6,138","34,104",773,"Mar 27, 2024, 5:17 PM GMT+9",curl,https://github.com/curl/curl
interview,"7,823","33,017",870,"Jun 20, 2023, 10:28 PM GMT+9",huihut,https://github.com/huihut/interview
mpv,"2,782","25,860",493,"Apr 18, 2024, 4:23 AM GMT+9",mpv-player,https://github.com/mpv-player/mpv
the_silver_searcher,"1,380","25,703",428,"Sep 22, 2016, 9:48 AM GMT+9",ggreer,https://github.com/ggreer/the_silver_searcher
srs,"5,229","24,161",846,"Apr 3, 2024, 4:06 PM GMT+9",ossrs,https://github.com/ossrs/srs
flatbuffers,"3,156","22,005",642,"Apr 18, 2024, 2:06 PM GMT+9",google,https://github.com/google/flatbuffers
kitty,894,"21,893",182,"Apr 18, 2024, 3:20 PM GMT+9",kovidgoyal,https://github.com/kovidgoyal/kitty
ruby,"5,244","21,518","1,106","Apr 18, 2024, 11:46 PM GMT+9",ruby,https://github.com/ruby/ruby
vcpkg,"5,977","21,426",425,"Apr 16, 2024, 11:07 PM GMT+9",microsoft,https://github.com/microsoft/vcpkg
hashcat,"2,740","19,833",505,"Feb 16, 2024, 6:29 PM GMT+9",hashcat,https://github.com/hashcat/hashcat
radare2,"2,935","19,587",486,"Apr 18, 2024, 7:50 PM GMT+9",radareorg,https://github.com/radareorg/radare2
raylib,"1,963","18,756",275,"Apr 18, 2024, 2:26 AM GMT+9",raysan5,https://github.com/raysan5/raylib
