title,fork,stars,watch,recent_time,writer,url
hashcat,"2,740","19,833",505,"Sep 3, 2022, 12:01 AM GMT+9",hashcat,https://github.com/hashcat/hashcat
vllm,"2,343","17,899",178,"Apr 18, 2024, 4:51 PM GMT+9",vllm-project,https://github.com/vllm-project/vllm
nvidia-docker,"2,033","17,076",447,"Dec 6, 2023, 6:16 PM GMT+9",NVIDIA,https://github.com/NVIDIA/nvidia-docker
instant-ngp,"1,864","15,304",199,"Feb 5, 2024, 5:26 PM GMT+9",NVlabs,https://github.com/NVlabs/instant-ngp
kaldi,"5,265","13,685",701,"Jan 31, 2024, 8:21 PM GMT+9",kaldi-asr,https://github.com/kaldi-asr/kaldi
Open3D,"2,187","10,438",195,"Apr 18, 2024, 8:03 AM GMT+9",isl-org,https://github.com/isl-org/Open3D
numba,"1,097","9,416",201,"Apr 17, 2024, 5:32 AM GMT+9",numba,https://github.com/numba/numba
cupy,760,"7,755",126,"Apr 15, 2024, 11:38 AM GMT+9",cupy,https://github.com/cupy/cupy
catboost,"1,145","7,732",192,"Apr 18, 2024, 5:29 PM GMT+9",catboost,https://github.com/catboost/catboost
tachyon,210,"7,731",53,"Apr 18, 2024, 11:23 PM GMT+9",kroma-network,https://github.com/kroma-network/tachyon
ZLUDA,460,"7,554",99,"Apr 14, 2024, 9:39 AM GMT+9",vosen,https://github.com/vosen/ZLUDA
cudf,830,"7,261",146,"Apr 19, 2024, 12:22 AM GMT+9",rapidsai,https://github.com/rapidsai/cudf
cog,477,"7,080",64,"Apr 18, 2024, 1:26 AM GMT+9",replicate,https://github.com/replicate/cog
gocv,847,"6,279",154,"Apr 5, 2024, 3:05 PM GMT+9",hybridgroup,https://github.com/hybridgroup/gocv
chainer,"1,368","5,862",289,"Oct 13, 2022, 2:19 PM GMT+9",chainer,https://github.com/chainer/chainer
oneflow,649,"5,715",145,"Apr 18, 2024, 4:30 PM GMT+9",Oneflow-Inc,https://github.com/Oneflow-Inc/oneflow
cuda-samples,"1,623","5,287",110,"Apr 11, 2024, 4:44 AM GMT+9",NVIDIA,https://github.com/NVIDIA/cuda-samples
GPU-Puzzles,270,"5,003",27,"Oct 16, 2023, 4:32 AM GMT+9",srush,https://github.com/srush/GPU-Puzzles
thrust,757,"4,843",205,"Oct 10, 2023, 2:40 AM GMT+9",NVIDIA,https://github.com/NVIDIA/thrust
Tengine,991,"4,542",229,"May 18, 2023, 3:17 PM GMT+9",OAID,https://github.com/OAID/Tengine
