title,fork,stars,watch,recent_time,writer,url
flutter,"26,547","161,637","3,534","Apr 19, 2024, 12:03 AM GMT+9",flutter,https://github.com/flutter/flutter
rustdesk,"6,808","62,530",438,"Apr 18, 2024, 11:38 PM GMT+9",rustdesk,https://github.com/rustdesk/rustdesk
localsend,"1,768","34,690",146,"Feb 27, 2024, 1:10 AM GMT+9",localsend,https://github.com/localsend/localsend
flutter-go,"3,783","23,564",655,"Oct 13, 2020, 5:01 PM GMT+9",alibaba,https://github.com/alibaba/flutter-go
FlutterExampleApps,"3,715","19,935",953,"May 27, 2020, 3:49 PM GMT+9",iampawan,https://github.com/iampawan/FlutterExampleApps
plugins,"9,857","17,312",536,"Feb 22, 2023, 9:22 AM GMT+9",flutter,https://github.com/flutter/plugins
antlr4,"3,209","16,334",374,"Apr 11, 2024, 5:35 AM GMT+9",antlr,https://github.com/antlr/antlr4
gsy_github_app_flutter,"2,534","14,585",329,"Mar 19, 2024, 5:30 PM GMT+9",CarGuo,https://github.com/CarGuo/gsy_github_app_flutter
dio,"1,479","12,205",167,"Apr 19, 2024, 12:04 AM GMT+9",cfug,https://github.com/cfug/dio
bloc,"3,360","11,375",176,"Apr 18, 2024, 12:54 PM GMT+9",felangel,https://github.com/felangel/bloc
thrift,"3,981","10,135",464,"Apr 16, 2024, 5:37 AM GMT+9",apache,https://github.com/apache/thrift
getx,"1,556","9,812",136,"Mar 30, 2024, 8:37 AM GMT+9",jonataslaw,https://github.com/jonataslaw/getx
sdk,"1,512","9,779",287,"Apr 18, 2024, 10:42 PM GMT+9",dart-lang,https://github.com/dart-lang/sdk
flame,865,"8,777",126,"Apr 18, 2024, 10:06 PM GMT+9",flame-engine,https://github.com/flame-engine/flame
flutter_architecture_samples,"1,700","8,668",274,"Mar 4, 2020, 8:19 PM GMT+9",brianegan,https://github.com/brianegan/flutter_architecture_samples
FlutterDouBan,"1,800","8,563",144,"Mar 20, 2024, 4:33 PM GMT+9",kaina404,https://github.com/kaina404/FlutterDouBan
flutterfire,"3,891","8,403",174,"Apr 18, 2024, 12:38 AM GMT+9",firebase,https://github.com/firebase/flutterfire
flutter_deer,"1,592","7,621",146,"Feb 19, 2024, 11:15 PM GMT+9",simplezhli,https://github.com/simplezhli/flutter_deer
FlutterUnit,"1,201","7,362",137,"Apr 3, 2024, 4:02 PM GMT+9",toly1994328,https://github.com/toly1994328/FlutterUnit
flutter_boost,"1,204","6,823",139,"Apr 18, 2024, 4:28 PM GMT+9",alibaba,https://github.com/alibaba/flutter_boost
