title,fork,stars,watch,recent_time,writer,url
django,"30,725","76,658","2,306","Apr 18, 2024, 12:38 AM GMT+9",django,https://github.com/django/django
awesome-cheatsheets,"5,907","37,451",719,"Apr 15, 2024, 5:53 PM GMT+9",LeCoupa,https://github.com/LeCoupa/awesome-cheatsheets
sentry,"3,973","36,818",683,"Apr 19, 2024, 12:29 AM GMT+9",getsentry,https://github.com/getsentry/sentry
django-rest-framework,"6,723","27,461",620,"Nov 8, 2022, 7:37 PM GMT+9",encode,https://github.com/encode/django-rest-framework
plane,"1,248","23,865",95,"Feb 14, 2024, 4:19 PM GMT+9",makeplane,https://github.com/makeplane/plane
jumpserver,"5,191","23,607",657,"Apr 18, 2024, 10:21 PM GMT+9",jumpserver,https://github.com/jumpserver/jumpserver
wagtail,"3,663","17,162",340,"Apr 18, 2024, 9:59 PM GMT+9",wagtail,https://github.com/wagtail/wagtail
paperless-ngx,857,"16,591",96,"Apr 18, 2024, 11:59 AM GMT+9",paperless-ngx,https://github.com/paperless-ngx/paperless-ngx
netbox,"2,418","14,904",408,"Apr 18, 2024, 5:18 AM GMT+9",netbox-community,https://github.com/netbox-community/netbox
awx,"3,324","13,397",373,"Apr 10, 2024, 2:15 AM GMT+9",ansible,https://github.com/ansible/awx
Zappa,"1,205","11,893",250,"Mar 9, 2020, 10:51 PM GMT+9",Miserlou,https://github.com/Miserlou/Zappa
cookiecutter-django,"2,790","11,522",200,"Apr 18, 2024, 4:56 PM GMT+9",cookiecutter,https://github.com/cookiecutter/cookiecutter-django
django-cms,"3,044","9,888",394,"Apr 19, 2024, 12:04 AM GMT+9",django-cms,https://github.com/django-cms/django-cms
django-allauth,"2,924","8,860",190,"Apr 13, 2024, 3:26 AM GMT+9",pennersr,https://github.com/pennersr/django-allauth
awesome-django,"1,201","8,457",237,"Mar 29, 2024, 3:43 AM GMT+9",wsvincent,https://github.com/wsvincent/awesome-django
healthchecks,762,"7,261",96,"Apr 18, 2024, 9:36 PM GMT+9",healthchecks,https://github.com/healthchecks/healthchecks
librephotos,278,"6,499",54,"Apr 17, 2024, 11:12 PM GMT+9",LibrePhotos,https://github.com/LibrePhotos/librephotos
DjangoBlog,"2,606","6,251",173,"Apr 9, 2024, 4:48 PM GMT+9",liangliangyy,https://github.com/liangliangyy/DjangoBlog
django-ninja,366,"6,176",73,"Apr 12, 2024, 8:04 PM GMT+9",vitalik,https://github.com/vitalik/django-ninja
pyinstrument,219,"6,104",53,"Mar 12, 2024, 5:47 PM GMT+9",joerick,https://github.com/joerick/pyinstrument
