title,fork,stars,watch,recent_time,writer,url
mall,"28,254","75,283","2,233","Apr 18, 2024, 11:01 AM GMT+9",macrozheng,https://github.com/macrozheng/mall
netdata,"5,715","68,054","1,355","Apr 18, 2024, 11:38 PM GMT+9",netdata,https://github.com/netdata/netdata
moby,"18,525","67,685","2,909","Apr 16, 2024, 10:46 PM GMT+9",moby,https://github.com/moby/moby
devops-exercises,"13,864","63,284","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
uptime-kuma,"4,378","48,964",258,"Dec 31, 2023, 7:00 AM GMT+9",louislam,https://github.com/louislam/uptime-kuma
traefik,"4,842","47,721",676,"Apr 4, 2024, 3:32 AM GMT+9",traefik,https://github.com/traefik/traefik
mastodon,"6,708","45,877",712,"Apr 18, 2024, 8:18 PM GMT+9",mastodon,https://github.com/mastodon/mastodon
gogs,"4,799","44,098","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs
dive,"1,649","43,474",350,"Feb 3, 2024, 12:27 AM GMT+9",wagoodman,https://github.com/wagoodman/dive
appwrite,"3,689","40,887",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite
n8n,"4,947","40,449",333,"Apr 18, 2024, 11:46 PM GMT+9",n8n-io,https://github.com/n8n-io/n8n
kong,"4,678","37,456","1,009","Mar 4, 2024, 11:19 PM GMT+9",Kong,https://github.com/Kong/kong
awesome-cheatsheets,"5,907","37,451",719,"May 17, 2019, 8:31 PM GMT+9",LeCoupa,https://github.com/LeCoupa/awesome-cheatsheets
Docker-OSX,"1,733","35,183",376,"Apr 8, 2024, 11:36 PM GMT+9",sickcodes,https://github.com/sickcodes/Docker-OSX
vaultwarden,"1,618","32,762",229,"Apr 6, 2024, 9:42 PM GMT+9",dani-garcia,https://github.com/dani-garcia/vaultwarden
compose,"5,043","32,311",718,"Apr 18, 2024, 5:58 PM GMT+9",docker,https://github.com/docker/compose
quivr,"3,101","32,091",269,"Apr 18, 2024, 7:26 AM GMT+9",QuivrHQ,https://github.com/QuivrHQ/quivr
gitness,"2,749","31,382",552,"Apr 18, 2024, 9:45 PM GMT+9",harness,https://github.com/harness/gitness
spring-boot-examples,"12,331","29,896","1,329","Dec 29, 2022, 11:11 AM GMT+9",ityouknow,https://github.com/ityouknow/spring-boot-examples
portainer,"2,343","28,729",474,"Apr 18, 2024, 4:14 PM GMT+9",portainer,https://github.com/portainer/portainer
