title,fork,stars,watch,recent_time,writer,url
mall,"28,254","75,283","2,233","Mar 1, 2024, 5:21 PM GMT+9",macrozheng,https://github.com/macrozheng/mall
advanced-java,"18,825","74,183","2,597","Mar 30, 2024, 9:08 PM GMT+9",doocs,https://github.com/doocs/advanced-java
elasticsearch,"24,071","67,501","2,684","Apr 10, 2024, 10:55 PM GMT+9",elastic,https://github.com/elastic/elasticsearch
grafana,"11,553","60,265","1,266","Apr 19, 2024, 12:25 AM GMT+9",grafana,https://github.com/grafana/grafana
kibana,"7,952","19,279",844,"Apr 10, 2024, 10:55 PM GMT+9",elastic,https://github.com/elastic/kibana
typesense,542,"17,846",117,"Apr 10, 2024, 7:16 AM GMT+9",typesense,https://github.com/typesense/typesense
APIJSON,"2,089","16,624",381,"Apr 5, 2024, 12:51 PM GMT+9",Tencent,https://github.com/Tencent/APIJSON
docker-elk,"6,601","16,568",346,"Apr 14, 2024, 9:27 AM GMT+9",deviantony,https://github.com/deviantony/docker-elk
zincsearch,706,"16,375",158,"Apr 14, 2024, 12:04 PM GMT+9",zincsearch,https://github.com/zincsearch/zincsearch
analysis-ik,"3,240","16,089",599,"Mar 26, 2024, 2:05 PM GMT+9",infinilabs,https://github.com/infinilabs/analysis-ik
springboot-learning-example,"7,122","16,006","1,015","Dec 3, 2023, 9:33 PM GMT+9",JeffLi1993,https://github.com/JeffLi1993/springboot-learning-example
twint,"2,720","15,534",323,"Oct 19, 2019, 7:08 PM GMT+9",twintproject,https://github.com/twintproject/twint
yudao-cloud,"3,643","15,266",332,"Apr 12, 2024, 1:12 AM GMT+9",YunaiV,https://github.com/YunaiV/yudao-cloud
flink-learning,"3,853","14,245",516,"Feb 28, 2023, 9:34 PM GMT+9",zhisheng17,https://github.com/zhisheng17/flink-learning
mall-learning,"8,302","12,714",343,"Apr 7, 2024, 10:26 AM GMT+9",macrozheng,https://github.com/macrozheng/mall-learning
awesome-aws,"1,647","12,138",484,"May 29, 2023, 3:27 AM GMT+9",donnemartin,https://github.com/donnemartin/awesome-aws
flexsearch,462,"11,828",99,"Jan 10, 2024, 7:17 PM GMT+9",nextapps-de,https://github.com/nextapps-de/flexsearch
mall-swarm,"5,092","11,326",275,"Mar 27, 2024, 10:19 AM GMT+9",macrozheng,https://github.com/macrozheng/mall-swarm
openobserve,314,"9,331",59,"Apr 18, 2024, 11:15 PM GMT+9",openobserve,https://github.com/openobserve/openobserve
SpringCloud,"3,855","8,529",355,"Jul 30, 2023, 11:39 PM GMT+9",zhoutaoo,https://github.com/zhoutaoo/SpringCloud
