title,fork,stars,watch,recent_time,writer,url
fastapi,"5,926","70,675",664,"Apr 7, 2024, 12:44 AM GMT+9",tiangolo,https://github.com/tiangolo/fastapi
full-stack-fastapi-template,"3,719","22,761",262,"Apr 16, 2024, 11:57 PM GMT+9",tiangolo,https://github.com/tiangolo/full-stack-fastapi-template
Hello-Python,"1,471","21,919",435,"Apr 5, 2024, 10:15 PM GMT+9",mouredev,https://github.com/mouredev/Hello-Python
jina,"2,182","19,994",207,"Apr 11, 2024, 8:04 AM GMT+9",jina-ai,https://github.com/jina-ai/jina
sqlmodel,581,"12,896",151,"Apr 9, 2024, 8:08 AM GMT+9",tiangolo,https://github.com/tiangolo/sqlmodel
awesome-fastapi,589,"7,453",142,"Dec 3, 2023, 12:26 AM GMT+9",mjhea0,https://github.com/mjhea0/awesome-fastapi
FastUI,279,"7,203",56,"Feb 28, 2024, 4:33 AM GMT+9",pydantic,https://github.com/pydantic/FastUI
fastapi-best-practices,512,"6,894",106,"Oct 22, 2023, 5:35 PM GMT+9",zhanymkanov,https://github.com/zhanymkanov/fastapi-best-practices
Douyin_TikTok_Download_API,"1,066","6,724",59,"Apr 16, 2024, 8:01 AM GMT+9",Evil0ctal,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
serge,393,"5,529",56,"Feb 14, 2024, 1:56 PM GMT+9",serge-chat,https://github.com/serge-chat/serge
nonebot2,523,"5,461",29,"Apr 18, 2024, 7:51 PM GMT+9",nonebot,https://github.com/nonebot/nonebot2
atrilabs-engine,179,"4,141",23,"Jun 29, 2023, 11:50 AM GMT+9",Atri-Labs,https://github.com/Atri-Labs/atrilabs-engine
fastapi-users,356,"4,039",41,"Mar 11, 2024, 10:16 PM GMT+9",fastapi-users,https://github.com/fastapi-users/fastapi-users
chatgpt-web-share,636,"4,024",32,"Mar 12, 2024, 7:37 PM GMT+9",chatpire,https://github.com/chatpire/chatgpt-web-share
strawberry,496,"3,752",41,"Apr 18, 2024, 1:47 AM GMT+9",strawberry-graphql,https://github.com/strawberry-graphql/strawberry
dynaconf,287,"3,513",34,"Mar 26, 2024, 2:08 AM GMT+9",dynaconf,https://github.com/dynaconf/dynaconf
poem,254,"3,192",40,"Mar 30, 2024, 6:25 PM GMT+9",poem-web,https://github.com/poem-web/poem
FileCodeBox,384,"3,178",15,"Apr 9, 2024, 11:45 AM GMT+9",vastsa,https://github.com/vastsa/FileCodeBox
opyrator,156,"3,011",48,"May 6, 2021, 9:10 PM GMT+9",ml-tooling,https://github.com/ml-tooling/opyrator
docarray,216,"2,736",45,"Mar 18, 2024, 7:53 PM GMT+9",docarray,https://github.com/docarray/docarray
