title,fork,stars,watch,recent_time,writer,url
gitignore,"83,297","157,544","3,374","Dec 19, 2022, 4:57 AM GMT+9",github,https://github.com/github/gitignore
30-seconds-of-code,"11,847","119,033","2,578","Apr 16, 2024, 4:43 AM GMT+9",Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code
devops-exercises,"13,864","63,284","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
bat,"1,153","46,332",199,"Apr 15, 2024, 3:17 PM GMT+9",sharkdp,https://github.com/sharkdp/bat
github-cheat-sheet,"5,253","45,538","1,394","Oct 15, 2023, 11:26 PM GMT+9",tiimgreen,https://github.com/tiimgreen/github-cheat-sheet
lazygit,"1,675","45,325",275,"Apr 18, 2024, 5:14 PM GMT+9",jesseduffield,https://github.com/jesseduffield/lazygit
gogs,"4,799","44,098","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs
gitea,"5,166","41,770",499,"Apr 18, 2024, 8:22 PM GMT+9",go-gitea,https://github.com/go-gitea/gitea
cli,"5,174","35,337",878,"Apr 17, 2024, 9:39 PM GMT+9",cli,https://github.com/cli/cli
Files,"2,036","31,868",383,"Apr 18, 2024, 5:09 AM GMT+9",files-community,https://github.com/files-community/Files
husky,993,"31,532",155,"Mar 12, 2024, 5:36 PM GMT+9",typicode,https://github.com/typicode/husky
gitness,"2,749","31,382",552,"Apr 18, 2024, 9:45 PM GMT+9",harness,https://github.com/harness/gitness
logseq,"1,726","29,651",211,"Apr 17, 2024, 11:42 AM GMT+9",logseq,https://github.com/logseq/logseq
gitbook,"3,778","26,332",715,"Apr 19, 2024, 12:36 AM GMT+9",GitbookIO,https://github.com/GitbookIO/gitbook
wiki,"2,567","23,427",311,"Mar 16, 2024, 2:15 PM GMT+9",requarks,https://github.com/requarks/wiki
hub,"2,183","22,683",580,"Oct 4, 2023, 9:39 PM GMT+9",mislav,https://github.com/mislav/hub
tips,"1,703","21,157",567,"May 3, 2023, 12:11 AM GMT+9",git-tips,https://github.com/git-tips/tips
delta,344,"20,598",79,"Mar 22, 2024, 8:34 PM GMT+9",dandavison,https://github.com/dandavison/delta
desktop,"9,134","19,136","1,922","Apr 18, 2024, 8:29 PM GMT+9",desktop,https://github.com/desktop/desktop
bruno,845,"18,708",57,"Apr 18, 2024, 9:22 PM GMT+9",usebruno,https://github.com/usebruno/bruno
