title,fork,stars,watch,recent_time,writer,url
awesome-go,"11,561","120,358","2,793","Apr 17, 2024, 5:14 AM GMT+9",avelino,https://github.com/avelino/awesome-go
go,"17,153","119,427","3,435","Apr 19, 2024, 12:38 AM GMT+9",golang,https://github.com/golang/go
kubernetes,"38,363","106,619","3,229","Apr 18, 2024, 11:48 PM GMT+9",kubernetes,https://github.com/kubernetes/kubernetes
frp,"12,627","79,458","1,567","Apr 17, 2024, 9:41 PM GMT+9",fatedier,https://github.com/fatedier/frp
gin,"7,820","75,370","1,358","Apr 7, 2024, 11:18 AM GMT+9",gin-gonic,https://github.com/gin-gonic/gin
hugo,"7,304","72,390","1,066","Apr 18, 2024, 5:34 PM GMT+9",gohugoio,https://github.com/gohugoio/hugo
moby,"18,525","67,685","2,909","Apr 16, 2024, 10:46 PM GMT+9",moby,https://github.com/moby/moby
grafana,"11,553","60,265","1,266","Apr 19, 2024, 12:35 AM GMT+9",grafana,https://github.com/grafana/grafana
fzf,"2,291","59,457",383,"Apr 18, 2024, 11:37 PM GMT+9",junegunn,https://github.com/junegunn/fzf
syncthing,"4,004","59,368","1,004","Apr 15, 2024, 1:10 PM GMT+9",syncthing,https://github.com/syncthing/syncthing
ollama,"3,930","55,845",349,"Apr 18, 2024, 7:57 AM GMT+9",ollama,https://github.com/ollama/ollama
caddy,"3,833","53,562",828,"Apr 18, 2024, 10:59 AM GMT+9",caddyserver,https://github.com/caddyserver/caddy
traefik,"4,842","47,721",676,"Apr 4, 2024, 3:32 AM GMT+9",traefik,https://github.com/traefik/traefik
leetcode-master,"10,817","47,107",376,"Apr 17, 2024, 11:40 AM GMT+9",youngyangyang04,https://github.com/youngyangyang04/leetcode-master
etcd,"9,574","46,293","1,323","Apr 18, 2024, 9:27 PM GMT+9",etcd-io,https://github.com/etcd-io/etcd
go-ethereum,"19,345","46,006","2,205","Apr 18, 2024, 4:08 PM GMT+9",ethereum,https://github.com/ethereum/go-ethereum
project-layout,"4,847","45,734",576,"Jan 25, 2024, 4:35 PM GMT+9",golang-standards,https://github.com/golang-standards/project-layout
gogs,"4,799","44,098","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs
minio,"5,106","44,090",615,"Apr 19, 2024, 12:15 AM GMT+9",minio,https://github.com/minio/minio
rclone,"3,925","43,687",578,"Apr 18, 2024, 11:53 PM GMT+9",rclone,https://github.com/rclone/rclone
