title,fork,stars,watch,recent_time,writer,url
microservices-demo,"6,447","15,745",218,"Apr 18, 2024, 6:17 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/microservices-demo
external-dns,"2,479","7,242",104,"Apr 15, 2024, 6:34 PM GMT+9",kubernetes-sigs,https://github.com/kubernetes-sigs/external-dns
tutorials,"2,055","2,115",78,"Apr 8, 2024, 6:36 PM GMT+9",antonputra,https://github.com/antonputra/tutorials
terraformer,"1,571","11,742",128,"Mar 6, 2024, 8:25 PM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/terraformer
cloud-custodian,"1,426","5,199",165,"Apr 16, 2024, 10:48 PM GMT+9",cloud-custodian,https://github.com/cloud-custodian/cloud-custodian
prowler,"1,384","9,514",117,"Apr 18, 2024, 10:27 PM GMT+9",prowler-cloud,https://github.com/prowler-cloud/prowler
magic-modules,"1,337",747,38,"Apr 18, 2024, 10:04 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/magic-modules
awesome-gcp-certifications,"1,317","3,807",208,"Feb 10, 2022, 4:16 PM GMT+9",sathishvj,https://github.com/sathishvj/awesome-gcp-certifications
generative-ai,"1,244","5,330",121,"Apr 18, 2024, 1:41 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/generative-ai
course-material,"1,200",899,48,"Mar 20, 2024, 7:18 PM GMT+9",in28minutes,https://github.com/in28minutes/course-material
docker-android,"1,131","7,999",163,"Mar 21, 2024, 3:58 PM GMT+9",budtmo,https://github.com/budtmo/docker-android
google-cloud-java,"1,048","1,831",181,"Apr 18, 2024, 4:00 AM GMT+9",googleapis,https://github.com/googleapis/google-cloud-java
checkov,"1,035","6,503",57,"Apr 18, 2024, 3:38 PM GMT+9",bridgecrewio,https://github.com/bridgecrewio/checkov
pulumi,"1,030","19,670",188,"Apr 18, 2024, 7:09 PM GMT+9",pulumi,https://github.com/pulumi/pulumi
ScoutSuite,996,"6,150",127,"Jul 5, 2023, 6:13 PM GMT+9",nccgroup,https://github.com/nccgroup/ScoutSuite
DevSecOps,921,"5,262",150,"Feb 20, 2024, 3:31 AM GMT+9",sottlmarek,https://github.com/sottlmarek/DevSecOps
examples,874,"2,280",74,"Apr 9, 2024, 1:17 AM GMT+9",pulumi,https://github.com/pulumi/examples
cloudml-samples,859,"1,507",100,"Dec 17, 2021, 10:37 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/cloudml-samples
sops,807,"15,064",116,"Apr 15, 2024, 2:01 AM GMT+9",getsops,https://github.com/getsops/sops
go-cloud,793,"9,379",221,"Mar 22, 2024, 1:47 AM GMT+9",google,https://github.com/google/go-cloud
