title,fork,stars,watch,recent_time,writer,url
pulumi,"1,030","19,671",188,"Apr 18, 2024, 10:07 PM GMT+9",pulumi,https://github.com/pulumi/pulumi
microservices-demo,"6,448","15,748",218,"Apr 18, 2024, 6:17 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/microservices-demo
sops,807,"15,064",116,"Apr 15, 2024, 2:01 AM GMT+9",getsops,https://github.com/getsops/sops
terraformer,"1,571","11,743",128,"Mar 6, 2024, 8:25 PM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/terraformer
infracost,513,"10,238",69,"Apr 18, 2024, 1:51 AM GMT+9",infracost,https://github.com/infracost/infracost
prowler,"1,384","9,514",117,"Apr 18, 2024, 10:27 PM GMT+9",prowler-cloud,https://github.com/prowler-cloud/prowler
go-cloud,793,"9,379",221,"Mar 22, 2024, 1:47 AM GMT+9",google,https://github.com/google/go-cloud
docker-android,"1,131","8,000",163,"Mar 21, 2024, 3:58 PM GMT+9",budtmo,https://github.com/budtmo/docker-android
metaflow,714,"7,566",278,"Apr 12, 2024, 5:56 AM GMT+9",Netflix,https://github.com/Netflix/metaflow
external-dns,"2,479","7,242",104,"Apr 15, 2024, 6:34 PM GMT+9",kubernetes-sigs,https://github.com/kubernetes-sigs/external-dns
checkov,"1,035","6,503",57,"Apr 18, 2024, 3:38 PM GMT+9",bridgecrewio,https://github.com/bridgecrewio/checkov
steampipe,244,"6,376",39,"Apr 18, 2024, 12:52 AM GMT+9",turbot,https://github.com/turbot/steampipe
ScoutSuite,996,"6,151",127,"Sep 22, 2023, 5:01 PM GMT+9",nccgroup,https://github.com/nccgroup/ScoutSuite
rowy,470,"5,663",59,"Jan 2, 2024, 9:07 PM GMT+9",rowyio,https://github.com/rowyio/rowy
cloudquery,484,"5,576",59,"Apr 18, 2024, 11:00 PM GMT+9",cloudquery,https://github.com/cloudquery/cloudquery
generative-ai,"1,244","5,330",121,"Apr 18, 2024, 1:41 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/generative-ai
DevSecOps,921,"5,262",150,"Feb 20, 2024, 3:31 AM GMT+9",sottlmarek,https://github.com/sottlmarek/DevSecOps
cloud-custodian,"1,426","5,199",165,"Apr 16, 2024, 10:48 PM GMT+9",cloud-custodian,https://github.com/cloud-custodian/cloud-custodian
wild-workouts-go-ddd-example,451,"4,871",88,"Jul 10, 2023, 3:53 PM GMT+9",ThreeDotsLabs,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
opencost,507,"4,705",45,"Apr 17, 2024, 1:45 AM GMT+9",opencost,https://github.com/opencost/opencost
