title,fork,stars,watch,recent_time,writer,url
gradle,"4,488","16,108",519,"Mar 23, 2024, 2:55 AM GMT+9",gradle,https://github.com/gradle/gradle
jib,"1,415","13,373",327,"Apr 6, 2024, 10:30 AM GMT+9",GoogleContainerTools,https://github.com/GoogleContainerTools/jib
AndroidDevTools,"2,080","7,720",666,"Nov 18, 2020, 11:26 AM GMT+9",inferjay,https://github.com/inferjay/AndroidDevTools
walle,"1,064","6,700",159,"Feb 25, 2019, 3:00 PM GMT+9",Meituan-Dianping,https://github.com/Meituan-Dianping/walle
baritone,"1,381","6,597",115,"Mar 29, 2024, 11:25 AM GMT+9",cabaletta,https://github.com/cabaletta/baritone
android-showcase,891,"6,345",118,"Apr 18, 2024, 2:40 AM GMT+9",igorwojda,https://github.com/igorwojda/android-showcase
hibernate-orm,"3,444","5,740",305,"Mar 29, 2024, 10:23 PM GMT+9",hibernate,https://github.com/hibernate/hibernate-orm
packer-ng-plugin,861,"4,824",200,"Jun 9, 2017, 7:04 PM GMT+9",mcxiaoke,https://github.com/mcxiaoke/packer-ng-plugin
android-tips-tricks,577,"4,711",276,"Sep 11, 2023, 5:25 AM GMT+9",nisrulz,https://github.com/nisrulz/android-tips-tricks
Robust,800,"4,387",151,"Apr 13, 2020, 10:52 PM GMT+9",Meituan-Dianping,https://github.com/Meituan-Dianping/Robust
spotless,424,"4,151",30,"Apr 8, 2024, 7:45 AM GMT+9",diffplug,https://github.com/diffplug/spotless
dryrun,280,"3,823",83,"Nov 26, 2020, 4:24 AM GMT+9",cesarferreira,https://github.com/cesarferreira/dryrun
kotlin-dsl-samples,430,"3,705",137,"Jan 29, 2019, 7:57 PM GMT+9",gradle,https://github.com/gradle/kotlin-dsl-samples
kotlin-examples,"1,045","3,197",184,"Jan 23, 2024, 12:22 AM GMT+9",Kotlin,https://github.com/Kotlin/kotlin-examples
ByteX,456,"3,071",79,"Jul 22, 2021, 11:54 AM GMT+9",bytedance,https://github.com/bytedance/ByteX
dexcount-gradle-plugin,247,"3,053",71,"Nov 1, 2023, 3:13 AM GMT+9",KeepSafe,https://github.com/KeepSafe/dexcount-gradle-plugin
VasDolly,377,"2,982",62,"Feb 8, 2023, 11:25 AM GMT+9",Tencent,https://github.com/Tencent/VasDolly
WorldEdit,817,"2,982",101,"Apr 4, 2024, 2:04 PM GMT+9",EngineHub,https://github.com/EngineHub/WorldEdit
T-MVP,632,"2,708",149,"Dec 27, 2018, 10:35 AM GMT+9",north2016,https://github.com/north2016/T-MVP
ArgusAPM,425,"2,665",85,"May 9, 2019, 3:20 PM GMT+9",Qihoo360,https://github.com/Qihoo360/ArgusAPM
