title,fork,stars,watch,recent_time,writer,url
CS-Notes,"50,752","172,152","5,330","Jul 20, 2023, 12:02 PM GMT+9",CyC2018,https://github.com/CyC2018/CS-Notes
JavaGuide,"45,177","142,994","4,524","Apr 18, 2024, 10:17 PM GMT+9",Snailclimb,https://github.com/Snailclimb/JavaGuide
java-design-patterns,"25,879","86,356","3,772","Apr 18, 2024, 3:21 AM GMT+9",iluwatar,https://github.com/iluwatar/java-design-patterns
mall,"28,254","75,283","2,233","Apr 18, 2024, 11:01 AM GMT+9",macrozheng,https://github.com/macrozheng/mall
advanced-java,"18,825","74,183","2,597","Mar 30, 2024, 9:08 PM GMT+9",doocs,https://github.com/doocs/advanced-java
spring-boot,"39,989","72,682","3,370","Apr 19, 2024, 12:39 AM GMT+9",spring-projects,https://github.com/spring-projects/spring-boot
elasticsearch,"24,071","67,501","2,684","Apr 10, 2024, 10:55 PM GMT+9",elastic,https://github.com/elastic/elasticsearch
interviews,"12,701","61,511","2,601","Jun 6, 2020, 11:37 AM GMT+9",kdn251,https://github.com/kdn251/interviews
Java,"18,517","56,590","2,215","Apr 17, 2024, 1:33 AM GMT+9",TheAlgorithms,https://github.com/TheAlgorithms/Java
leetcode,"9,427","53,735","1,349","Apr 12, 2024, 9:43 PM GMT+9",azl397985856,https://github.com/azl397985856/leetcode
guava,"10,745","49,361","2,398","Apr 18, 2024, 2:15 AM GMT+9",google,https://github.com/google/guava
RxJava,"7,569","47,620","2,227","Sep 29, 2023, 4:54 PM GMT+9",ReactiveX,https://github.com/ReactiveX/RxJava
leetcode-master,"10,817","47,109",376,"Apr 17, 2024, 11:40 AM GMT+9",youngyangyang04,https://github.com/youngyangyang04/leetcode-master
okhttp,"9,097","45,230","1,630","Apr 18, 2024, 10:32 AM GMT+9",square,https://github.com/square/okhttp
retrofit,"7,277","42,597","1,572","Mar 29, 2024, 5:01 AM GMT+9",square,https://github.com/square/retrofit
dubbo,"26,248","39,999","3,063","Apr 16, 2024, 3:24 PM GMT+9",apache,https://github.com/apache/dubbo
jadx,"4,615","38,895",815,"Apr 16, 2024, 3:17 AM GMT+9",skylot,https://github.com/skylot/jadx
spark,"27,928","38,304","2,032","Apr 18, 2024, 11:50 PM GMT+9",apache,https://github.com/apache/spark
jeecg-boot,"14,244","37,683",844,"Apr 17, 2024, 11:43 AM GMT+9",jeecgboot,https://github.com/jeecgboot/jeecg-boot
dbeaver,"3,234","37,283",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver
