title,fork,stars,watch,recent_time,writer,url
tqdm,"1,317","27,397",208,"Feb 11, 2024, 3:11 AM GMT+9",tqdm,https://github.com/tqdm/tqdm
data-science-ipython-notebooks,"7,719","26,442","1,620","Feb 11, 2019, 7:51 PM GMT+9",donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks
netron,"2,655","26,024",296,"Apr 18, 2024, 10:16 AM GMT+9",lutzroeder,https://github.com/lutzroeder/netron
Mask_RCNN,"11,625","24,114",582,"Apr 1, 2019, 7:03 AM GMT+9",matterport,https://github.com/matterport/Mask_RCNN
d2l-en,"4,105","21,599",403,"Mar 17, 2024, 7:46 AM GMT+9",d2l-ai,https://github.com/d2l-ai/d2l-en
100-Days-Of-ML-Code,"5,426","20,776","1,088","Apr 6, 2022, 9:01 PM GMT+9",MLEveryday,https://github.com/MLEveryday/100-Days-Of-ML-Code
ncnn,"4,052","19,159",573,"Apr 15, 2024, 12:14 PM GMT+9",Tencent,https://github.com/Tencent/ncnn
onnx,"3,595","16,785",437,"Apr 16, 2024, 1:45 PM GMT+9",onnx,https://github.com/onnx/onnx
Screenshot-to-code,"1,547","16,233",537,"Mar 25, 2024, 11:09 AM GMT+9",emilwallner,https://github.com/emilwallner/Screenshot-to-code
best-of-ml-python,"2,248","15,298",391,"Apr 12, 2024, 3:08 AM GMT+9",ml-tooling,https://github.com/ml-tooling/best-of-ml-python
cheatsheets-ai,"3,438","14,962","1,048","Oct 19, 2019, 9:32 PM GMT+9",kailashahirwar,https://github.com/kailashahirwar/cheatsheets-ai
horovod,"2,210","13,939",334,"Mar 25, 2024, 9:37 PM GMT+9",horovod,https://github.com/horovod/horovod
faceai,"2,486","10,575",387,"Jul 20, 2018, 3:17 AM GMT+9",vipstone,https://github.com/vipstone/faceai
Keras-GAN,"3,152","9,134",277,"Jan 7, 2021, 1:32 AM GMT+9",eriklindernoren,https://github.com/eriklindernoren/Keras-GAN
autokeras,"1,401","9,065",302,"Mar 21, 2024, 7:02 AM GMT+9",keras-team,https://github.com/keras-team/autokeras
Ai-Learn,"2,044","8,409",189,"Dec 26, 2023, 2:39 AM GMT+9",tangyudi,https://github.com/tangyudi/Ai-Learn
wandb,602,"8,178",54,"Apr 18, 2024, 4:29 PM GMT+9",wandb,https://github.com/wandb/wandb
einops,333,"7,894",68,"Feb 11, 2024, 3:36 PM GMT+9",arogozhnikov,https://github.com/arogozhnikov/einops
techniques,"1,339","7,720",259,"Apr 16, 2024, 5:34 PM GMT+9",satellite-image-deep-learning,https://github.com/satellite-image-deep-learning/techniques
ASRT_SpeechRecognition,"1,878","7,455",187,"Apr 16, 2024, 1:40 AM GMT+9",nl8590687,https://github.com/nl8590687/ASRT_SpeechRecognition
