title,fork,stars,watch,recent_time,writer,url
free-programming-books-zh_CN,"28,077","109,066","5,906","Jan 22, 2024, 9:24 AM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN
kotlin,"5,608","47,426","1,493","Apr 19, 2024, 12:08 AM GMT+9",JetBrains,https://github.com/JetBrains/kotlin
okhttp,"9,097","45,230","1,630","Apr 18, 2024, 10:32 AM GMT+9",square,https://github.com/square/okhttp
leakcanary,"3,956","29,112",982,"Apr 18, 2024, 2:14 PM GMT+9",square,https://github.com/square/leakcanary
NativeScript,"1,639","23,635",656,"Apr 17, 2024, 3:30 AM GMT+9",NativeScript,https://github.com/NativeScript/NativeScript
iosched,"6,236","21,788","1,434","Jan 6, 2023, 3:35 AM GMT+9",google,https://github.com/google/iosched
profile-summary-for-github,493,"19,807",108,"Jul 8, 2023, 8:35 AM GMT+9",tipsy,https://github.com/tipsy/profile-summary-for-github
material-dialogs,"3,118","19,665",558,"Feb 20, 2021, 10:15 AM GMT+9",afollestad,https://github.com/afollestad/material-dialogs
MMKV,"1,856","16,794",281,"Mar 19, 2024, 10:40 AM GMT+9",Tencent,https://github.com/Tencent/MMKV
gradle,"4,488","16,109",519,"Apr 18, 2024, 7:30 PM GMT+9",gradle,https://github.com/gradle/gradle
SmartTube,899,"16,009",169,"Apr 18, 2024, 11:53 PM GMT+9",yuliskov,https://github.com/yuliskov/SmartTube
anko,"1,283","15,910",536,"Dec 5, 2019, 5:59 PM GMT+9",Kotlin,https://github.com/Kotlin/anko
gkd,851,"15,838",48,"Apr 16, 2024, 12:42 AM GMT+9",gkd-kit,https://github.com/gkd-kit/gkd
nowinandroid,"2,648","15,210",317,"Apr 18, 2024, 7:32 AM GMT+9",android,https://github.com/android/nowinandroid
compose-multiplatform,"1,067","14,643",212,"Apr 18, 2024, 10:57 PM GMT+9",JetBrains,https://github.com/JetBrains/compose-multiplatform
mirai,"2,515","13,971",134,"Mar 30, 2024, 10:54 PM GMT+9",mamoe,https://github.com/mamoe/mirai
kotlinx.coroutines,"1,815","12,703",295,"Dec 20, 2023, 8:14 PM GMT+9",Kotlin,https://github.com/Kotlin/kotlinx.coroutines
ktor,989,"12,219",180,"Apr 13, 2024, 12:31 AM GMT+9",ktorio,https://github.com/ktorio/ktor
quicktype,"1,007","11,467",90,"Apr 17, 2024, 9:45 AM GMT+9",glideapps,https://github.com/glideapps/quicktype
recyclerview-animators,"1,971","11,450",310,"Feb 14, 2021, 10:34 PM GMT+9",wasabeef,https://github.com/wasabeef/recyclerview-animators
