title,fork,stars,watch,recent_time,writer,url
kubernetes,"38,364","106,616","3,229","Apr 18, 2024, 10:31 PM GMT+9",kubernetes,https://github.com/kubernetes/kubernetes
netdata,"5,715","68,054","1,355","Apr 18, 2024, 7:32 PM GMT+9",netdata,https://github.com/netdata/netdata
devops-exercises,"13,862","63,282","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
traefik,"4,843","47,720",676,"Apr 4, 2024, 3:32 AM GMT+9",traefik,https://github.com/traefik/traefik
etcd,"9,574","46,292","1,323","Apr 18, 2024, 9:27 PM GMT+9",etcd-io,https://github.com/etcd-io/etcd
minio,"5,106","44,090",615,"Apr 18, 2024, 1:42 PM GMT+9",minio,https://github.com/minio/minio
kong,"4,678","37,456","1,009","Apr 18, 2024, 4:33 PM GMT+9",Kong,https://github.com/Kong/kong
awesome-cheatsheets,"5,907","37,449",719,"Apr 15, 2024, 5:53 PM GMT+9",LeCoupa,https://github.com/LeCoupa/awesome-cheatsheets
istio,"7,550","34,933","1,000","Apr 18, 2024, 2:42 PM GMT+9",istio,https://github.com/istio/istio
GitHubDaily,"3,288","29,093","1,190","Dec 31, 2023, 3:33 PM GMT+9",GitHubDaily,https://github.com/GitHubDaily/GitHubDaily
nacos,"12,504","28,987",911,"Apr 16, 2024, 2:52 PM GMT+9",alibaba,https://github.com/alibaba/nacos
portainer,"2,343","28,727",474,"Apr 18, 2024, 4:14 PM GMT+9",portainer,https://github.com/portainer/portainer
minikube,"4,746","28,324",483,"Apr 18, 2024, 10:18 AM GMT+9",kubernetes,https://github.com/kubernetes/minikube
consul,"4,358","27,762",921,"Apr 18, 2024, 4:49 AM GMT+9",hashicorp,https://github.com/hashicorp/consul
ToolJet,"3,247","26,539",166,"Apr 18, 2024, 8:52 PM GMT+9",ToolJet,https://github.com/ToolJet/ToolJet
k3s,"2,223","26,379",289,"Apr 17, 2024, 7:57 AM GMT+9",k3s-io,https://github.com/k3s-io/k3s
helm,"6,923","25,995",515,"Apr 11, 2024, 3:17 AM GMT+9",helm,https://github.com/helm/helm
dokku,"1,825","25,959",344,"Apr 18, 2024, 8:05 PM GMT+9",dokku,https://github.com/dokku/dokku
90DaysOfDevOps,"6,115","25,790",526,"Apr 15, 2024, 8:24 PM GMT+9",MichaelCade,https://github.com/MichaelCade/90DaysOfDevOps
k9s,"1,559","24,806",144,"Apr 7, 2024, 2:35 AM GMT+9",derailed,https://github.com/derailed/k9s
