title,fork,stars,watch,recent_time,writer,url
laravel,"23,863","76,725","4,433","Apr 10, 2024, 12:50 AM GMT+9",laravel,https://github.com/laravel/laravel
framework,"10,636","31,466",994,"Apr 19, 2024, 12:05 AM GMT+9",laravel,https://github.com/laravel/framework
monica,"2,074","20,677",287,"Apr 12, 2024, 2:46 PM GMT+9",monicahq,https://github.com/monicahq/monica
laravel-debugbar,"1,513","16,103",282,"Apr 12, 2024, 8:20 PM GMT+9",barryvdh,https://github.com/barryvdh/laravel-debugbar
koel,"1,895","15,410",329,"Jan 18, 2024, 12:48 AM GMT+9",koel,https://github.com/koel/koel
flarum,"1,542","14,885",524,"Jan 3, 2024, 12:03 AM GMT+9",flarum,https://github.com/flarum/flarum
filament,"2,268","13,869",127,"Apr 18, 2024, 8:24 PM GMT+9",filamentphp,https://github.com/filamentphp/filament
laravel-ide-helper,"1,153","13,859",264,"Apr 1, 2024, 3:43 PM GMT+9",barryvdh,https://github.com/barryvdh/laravel-ide-helper
BookStack,"1,747","13,784",182,"Apr 16, 2024, 10:44 PM GMT+9",BookStackApp,https://github.com/BookStackApp/BookStack
cachet,"1,545","13,689",289,"Mar 11, 2024, 8:20 PM GMT+9",cachethq,https://github.com/cachethq/cachet
sage,"3,058","12,518",598,"Apr 4, 2024, 11:17 PM GMT+9",roots,https://github.com/roots/sage
awesome-laravel,"2,354","12,254",726,"May 9, 2020, 12:02 AM GMT+9",chiraggude,https://github.com/chiraggude/awesome-laravel
Laravel-Excel,"1,886","12,006",230,"Feb 20, 2024, 5:27 PM GMT+9",SpartnerNL,https://github.com/SpartnerNL/Laravel-Excel
laravel-permission,"1,749","11,818",196,"Apr 4, 2024, 1:12 PM GMT+9",spatie,https://github.com/spatie/laravel-permission
voyager,"2,667","11,659",437,"Sep 7, 2023, 7:17 AM GMT+9",thedevdojo,https://github.com/thedevdojo/voyager
jwt-auth,"1,542","11,159",263,"Mar 15, 2024, 4:29 AM GMT+9",tymondesigns,https://github.com/tymondesigns/jwt-auth
october,"2,212","10,970",421,"Mar 22, 2024, 10:25 AM GMT+9",octobercms,https://github.com/octobercms/october
laravel-best-practices,"2,285","10,737",435,"Nov 10, 2023, 4:15 PM GMT+9",alexeymezenin,https://github.com/alexeymezenin/laravel-best-practices
bagisto,"2,007","10,532",153,"Apr 18, 2024, 1:31 PM GMT+9",bagisto,https://github.com/bagisto/bagisto
avbook,"2,027","9,293",344,"Oct 11, 2022, 7:45 PM GMT+9",guyueyingmu,https://github.com/guyueyingmu/avbook
