title,fork,stars,watch,recent_time,writer,url
Avalonia,"2,054","23,662",467,"Mar 6, 2024, 6:13 AM GMT+9",AvaloniaUI,https://github.com/AvaloniaUI/Avalonia
MVVMHabit,"1,680","7,509",178,"Jul 16, 2021, 4:11 PM GMT+9",goldze,https://github.com/goldze/MVVMHabit
Prism,"1,618","6,102",391,"Apr 8, 2024, 3:13 AM GMT+9",PrismLibrary,https://github.com/PrismLibrary/Prism
Jetpack-MVVM-Best-Practice,"1,609","8,652",128,"Sep 20, 2023, 11:10 AM GMT+9",KunMinX,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice
AmazeFileManager,"1,530","5,048",174,"Mar 30, 2024, 5:00 PM GMT+9",TeamAmaze,https://github.com/TeamAmaze/AmazeFileManager
knockout,"1,514","10,419",528,"Nov 6, 2019, 6:02 AM GMT+9",knockout,https://github.com/knockout/knockout
WindowsCommunityToolkit,"1,371","5,765",333,"Sep 22, 2023, 7:31 AM GMT+9",CommunityToolkit,https://github.com/CommunityToolkit/WindowsCommunityToolkit
CloudReader,"1,325","4,893",160,"Mar 12, 2024, 7:25 PM GMT+9",youlookwhat,https://github.com/youlookwhat/CloudReader
MvvmCross,"1,304","3,816",238,"Apr 10, 2024, 5:43 PM GMT+9",MvvmCross,https://github.com/MvvmCross/MvvmCross
AndroidProject,"1,302","6,201",110,"Sep 10, 2022, 7:55 PM GMT+9",getActivity,https://github.com/getActivity/AndroidProject
mvvm,"1,259","5,189",138,"Mar 8, 2023, 11:36 AM GMT+9",DMQ,https://github.com/DMQ/mvvm
SteamTools,"1,144","18,146",95,"Apr 18, 2024, 9:39 PM GMT+9",BeyondDimension,https://github.com/BeyondDimension/SteamTools
ReactiveUI,"1,113","7,897",360,"Mar 31, 2024, 6:11 AM GMT+9",reactiveui,https://github.com/reactiveui/ReactiveUI
qksms,"1,056","4,409",134,"Oct 29, 2021, 6:14 AM GMT+9",moezbhatti,https://github.com/moezbhatti/qksms
Pokedex,"1,002","7,572",205,"Apr 18, 2024, 4:30 AM GMT+9",skydoves,https://github.com/skydoves/Pokedex
LogicFlow,955,"6,766",85,"Apr 17, 2024, 8:36 PM GMT+9",didi,https://github.com/didi/LogicFlow
android-mvvm-architecture,940,"2,932",122,"Apr 17, 2024, 12:26 AM GMT+9",janishar,https://github.com/janishar/android-mvvm-architecture
RIBs,900,"7,668",201,"Apr 16, 2024, 7:11 AM GMT+9",uber,https://github.com/uber/RIBs
android-showcase,891,"6,345",118,"Apr 18, 2024, 2:40 AM GMT+9",igorwojda,https://github.com/igorwojda/android-showcase
WTM,859,"4,105",168,"Mar 20, 2024, 3:28 AM GMT+9",dotnetcore,https://github.com/dotnetcore/WTM
