title,fork,stars,watch,recent_time,writer,url
Avalonia,"2,054","23,663",467,"Mar 6, 2024, 6:13 AM GMT+9",AvaloniaUI,https://github.com/AvaloniaUI/Avalonia
SteamTools,"1,144","18,146",95,"Apr 18, 2024, 9:39 PM GMT+9",BeyondDimension,https://github.com/BeyondDimension/SteamTools
knockout,"1,514","10,419",528,"Sep 7, 2021, 12:15 PM GMT+9",knockout,https://github.com/knockout/knockout
Jetpack-MVVM-Best-Practice,"1,609","8,652",128,"Sep 20, 2023, 11:10 AM GMT+9",KunMinX,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice
uno,685,"8,351",197,"Apr 19, 2024, 12:23 AM GMT+9",unoplatform,https://github.com/unoplatform/uno
ReactiveUI,"1,113","7,897",360,"Mar 31, 2024, 6:11 AM GMT+9",reactiveui,https://github.com/reactiveui/ReactiveUI
RIBs,900,"7,667",201,"Apr 16, 2024, 7:11 AM GMT+9",uber,https://github.com/uber/RIBs
Pokedex,"1,002","7,573",205,"Apr 18, 2024, 4:30 AM GMT+9",skydoves,https://github.com/skydoves/Pokedex
MVVMHabit,"1,680","7,509",178,"Aug 11, 2022, 6:18 PM GMT+9",goldze,https://github.com/goldze/MVVMHabit
LogicFlow,955,"6,767",85,"Apr 17, 2024, 8:36 PM GMT+9",didi,https://github.com/didi/LogicFlow
android-showcase,891,"6,345",118,"Apr 18, 2024, 2:40 AM GMT+9",igorwojda,https://github.com/igorwojda/android-showcase
AndroidProject,"1,302","6,201",110,"Sep 10, 2022, 7:55 PM GMT+9",getActivity,https://github.com/getActivity/AndroidProject
Prism,"1,618","6,102",391,"Apr 8, 2024, 3:13 AM GMT+9",PrismLibrary,https://github.com/PrismLibrary/Prism
WindowsCommunityToolkit,"1,371","5,765",333,"Sep 22, 2023, 7:31 AM GMT+9",CommunityToolkit,https://github.com/CommunityToolkit/WindowsCommunityToolkit
clean-architecture-swiftui,651,"5,398",102,"Nov 12, 2023, 2:49 AM GMT+9",nalexn,https://github.com/nalexn/clean-architecture-swiftui
mvvm,"1,259","5,189",138,"Mar 8, 2023, 11:36 AM GMT+9",DMQ,https://github.com/DMQ/mvvm
awesome-ios-architecture,522,"5,062",281,"Nov 29, 2023, 6:31 PM GMT+9",onmyway133,https://github.com/onmyway133/awesome-ios-architecture
AmazeFileManager,"1,530","5,048",174,"Mar 30, 2024, 5:00 PM GMT+9",TeamAmaze,https://github.com/TeamAmaze/AmazeFileManager
CloudReader,"1,325","4,893",160,"Mar 12, 2024, 7:25 PM GMT+9",youlookwhat,https://github.com/youlookwhat/CloudReader
Bark,407,"4,838",27,"Apr 7, 2024, 12:22 PM GMT+9",Finb,https://github.com/Finb/Bark
