title,fork,stars,watch,recent_time,writer,url
JavaGuide,"45,178","142,995","4,524","Apr 18, 2024, 10:17 PM GMT+9",Snailclimb,https://github.com/Snailclimb/JavaGuide
mall,"28,254","75,283","2,233","Mar 1, 2024, 5:21 PM GMT+9",macrozheng,https://github.com/macrozheng/mall
netdata,"5,715","68,054","1,355","Apr 18, 2024, 11:38 PM GMT+9",netdata,https://github.com/netdata/netdata
grafana,"11,553","60,265","1,266","Apr 19, 2024, 12:53 AM GMT+9",grafana,https://github.com/grafana/grafana
strapi,"7,496","59,845",664,"Apr 18, 2024, 5:39 PM GMT+9",strapi,https://github.com/strapi/strapi
gogs,"4,799","44,098","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs
nocodb,"2,898","42,174",353,"Apr 18, 2024, 10:33 PM GMT+9",nocodb,https://github.com/nocodb/nocodb
dbeaver,"3,234","37,283",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver
prisma,"1,419","37,117",233,"Apr 4, 2024, 10:09 PM GMT+9",prisma,https://github.com/prisma/prisma
metabase,"4,851","36,418",644,"Apr 19, 2024, 12:38 AM GMT+9",metabase,https://github.com/metabase/metabase
interview_internal_reference,"9,403","36,085","1,522","May 17, 2023, 4:20 PM GMT+9",0voice,https://github.com/0voice/interview_internal_reference
tidb,"5,707","36,085","1,273","Apr 18, 2024, 8:43 PM GMT+9",pingcap,https://github.com/pingcap/tidb
JavaFamily,"7,766","35,375","1,140","Jun 21, 2023, 3:54 PM GMT+9",AobingJava,https://github.com/AobingJava/JavaFamily
typeorm,"6,171","33,254",346,"Mar 29, 2024, 12:06 AM GMT+9",typeorm,https://github.com/typeorm/typeorm
sequelize,"4,243","29,025",416,"Apr 18, 2024, 5:03 PM GMT+9",sequelize,https://github.com/sequelize/sequelize
directus,"3,522","25,332",304,"Apr 18, 2024, 10:16 PM GMT+9",directus,https://github.com/directus/directus
toBeTopJavaer,"5,454","25,151",910,"Jan 3, 2024, 10:58 PM GMT+9",hollischuang,https://github.com/hollischuang/toBeTopJavaer
redash,"4,247","24,916",577,"Apr 18, 2024, 9:35 PM GMT+9",getredash,https://github.com/getredash/redash
ruoyi-vue-pro,"5,002","24,118",205,"Apr 12, 2024, 9:31 PM GMT+9",YunaiV,https://github.com/YunaiV/ruoyi-vue-pro
mindsdb,"2,683","21,198",378,"Apr 18, 2024, 1:10 PM GMT+9",mindsdb,https://github.com/mindsdb/mindsdb
