title,fork,stars,watch,recent_time,writer,url
trpc,"1,150","32,560",94,"Apr 14, 2024, 12:26 AM GMT+9",trpc,https://github.com/trpc/trpc
AgentGPT,"9,091","29,629",285,"Feb 3, 2024, 8:37 AM GMT+9",reworkd,https://github.com/reworkd/AgentGPT
noodle,705,"11,306",78,"Dec 13, 2023, 4:55 AM GMT+9",noodle-run,https://github.com/noodle-run/noodle
next-enterprise,"1,218","5,435",23,"Feb 28, 2024, 4:21 AM GMT+9",Blazity,https://github.com/Blazity/next-enterprise
next-i18next,761,"5,245",30,"Apr 16, 2024, 12:47 AM GMT+9",i18next,https://github.com/i18next/next-i18next
next,571,"4,534",72,"Apr 15, 2024, 5:52 PM GMT+9",alibaba-fusion,https://github.com/alibaba-fusion/next
serverless-next.js,452,"4,389",28,"Apr 20, 2022, 3:03 PM GMT+9",serverless-nextjs,https://github.com/serverless-nextjs/serverless-next.js
react-awesome-slider,286,"2,881",33,"Feb 21, 2020, 10:03 PM GMT+9",rcaferati,https://github.com/rcaferati/react-awesome-slider
jamstack-ecommerce,421,"1,901",66,"Jan 22, 2021, 10:59 AM GMT+9",jamstack-cms,https://github.com/jamstack-cms/jamstack-ecommerce
next-intl,158,"1,764",8,"Apr 18, 2024, 2:00 AM GMT+9",amannn,https://github.com/amannn/next-intl
next-firebase-auth,287,"1,316",11,"Jan 1, 2024, 5:55 AM GMT+9",gladly-team,https://github.com/gladly-team/next-firebase-auth
next-saas-starter,287,"1,164",12,"Apr 3, 2023, 8:16 PM GMT+9",Blazity,https://github.com/Blazity/next-saas-starter
next-wordpress-starter,287,"1,130",21,"Feb 21, 2024, 12:33 AM GMT+9",colbyfayock,https://github.com/colbyfayock/next-wordpress-starter
next-safe-action,20,"1,084",5,"Apr 18, 2024, 4:59 AM GMT+9",TheEdoRan,https://github.com/TheEdoRan/next-safe-action
Kyoo,16,984,9,"Apr 17, 2024, 12:53 AM GMT+9",zoriya,https://github.com/zoriya/Kyoo
startup-nextjs,250,865,7,"Mar 11, 2024, 2:55 PM GMT+9",NextJSTemplates,https://github.com/NextJSTemplates/startup-nextjs
javascript,190,856,10,"Apr 6, 2024, 10:38 PM GMT+9",clerk,https://github.com/clerk/javascript
jekyll-theme-next,761,795,23,"Nov 21, 2018, 11:03 AM GMT+9",Simpleyyt,https://github.com/Simpleyyt/jekyll-theme-next
contoso-real-estate,471,777,17,"Apr 4, 2024, 4:57 PM GMT+9",Azure-Samples,https://github.com/Azure-Samples/contoso-real-estate
mistcss,11,585,5,"Mar 27, 2024, 5:26 AM GMT+9",typicode,https://github.com/typicode/mistcss
