title,fork,stars,watch,recent_time,writer,url
redis,"23,434","64,711","2,543","Apr 16, 2024, 6:43 PM GMT+9",redis,https://github.com/redis/redis
dbeaver,"3,234","37,282",513,"Mar 21, 2023, 3:55 AM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver
mongo,"5,467","25,397","1,240","Apr 18, 2024, 9:27 PM GMT+9",mongodb,https://github.com/mongodb/mongo
surrealdb,774,"25,122",161,"Apr 18, 2024, 9:38 PM GMT+9",surrealdb,https://github.com/surrealdb/surrealdb
rxdb,"1,003","20,542",211,"Apr 18, 2024, 10:22 PM GMT+9",pubkey,https://github.com/pubkey/rxdb
arangodb,830,"13,340",331,"Apr 17, 2024, 11:50 PM GMT+9",arangodb,https://github.com/arangodb/arangodb
codis,"2,693","13,060",893,"Nov 4, 2018, 5:22 PM GMT+9",CodisLabs,https://github.com/CodisLabs/codis
scylladb,"1,197","12,488",341,"Apr 18, 2024, 12:24 AM GMT+9",scylladb,https://github.com/scylladb/scylladb
neo4j,"2,312","12,429",517,"Feb 21, 2024, 5:01 PM GMT+9",neo4j,https://github.com/neo4j/neo4j
valkey,371,"11,049",68,"Apr 16, 2024, 11:08 PM GMT+9",valkey-io,https://github.com/valkey-io/valkey
node-mongodb-native,"1,774","9,950",265,"Mar 12, 2024, 4:11 AM GMT+9",mongodb,https://github.com/mongodb/node-mongodb-native
dejavu,503,"8,322",130,"Aug 9, 2023, 2:31 PM GMT+9",appbaseio,https://github.com/appbaseio/dejavu
awesome-system-design,772,"8,263",182,"Aug 9, 2020, 6:29 AM GMT+9",madd86,https://github.com/madd86/awesome-system-design
LiteDB,"1,199","8,220",293,"Feb 22, 2024, 4:29 AM GMT+9",mbdavid,https://github.com/mbdavid/LiteDB
school-of-sre,689,"7,628",157,"Mar 2, 2024, 4:25 PM GMT+9",linkedin,https://github.com/linkedin/school-of-sre
tinydb,512,"6,500",107,"Jul 25, 2023, 3:53 AM GMT+9",msiemens,https://github.com/msiemens/tinydb
docker-images,"5,377","6,374",388,"Apr 17, 2024, 10:41 AM GMT+9",oracle,https://github.com/oracle/docker-images
zeppelin,"2,774","6,261",316,"Apr 17, 2024, 11:46 AM GMT+9",apache,https://github.com/apache/zeppelin
pika,"1,163","5,661",279,"Apr 17, 2024, 7:35 PM GMT+9",OpenAtomFoundation,https://github.com/OpenAtomFoundation/pika
DotNetGuide,741,"4,829",93,"Apr 18, 2024, 2:10 PM GMT+9",YSGStudyHards,https://github.com/YSGStudyHards/DotNetGuide
