title,fork,stars,watch,recent_time,writer,url
opencv,"55,610","75,429","2,657","Apr 19, 2024, 12:11 AM GMT+9",opencv,https://github.com/opencv/opencv
openpose,"7,766","29,804",919,"Apr 15, 2024, 10:47 PM GMT+9",CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab/openpose
learnopencv,"11,462","20,360",886,"Apr 16, 2024, 10:11 PM GMT+9",spmallick,https://github.com/spmallick/learnopencv
faceai,"2,486","10,576",387,"Jan 18, 2019, 11:36 AM GMT+9",vipstone,https://github.com/vipstone/faceai
openFrameworks,"2,544","9,775",520,"Aug 31, 2023, 7:46 AM GMT+9",openframeworks,https://github.com/openframeworks/openFrameworks
robotgo,839,"9,237",246,"Apr 16, 2024, 2:14 AM GMT+9",go-vgo,https://github.com/go-vgo/robotgo
opencv_contrib,"5,716","9,062",387,"Apr 17, 2024, 11:15 PM GMT+9",opencv,https://github.com/opencv/opencv_contrib
MVision,"2,742","7,666",382,"Dec 13, 2020, 4:52 PM GMT+9",Ewenwan,https://github.com/Ewenwan/MVision
javacv,"1,555","7,253",247,"Mar 26, 2024, 11:02 PM GMT+9",bytedeco,https://github.com/bytedeco/javacv
EasyPR,"2,506","6,317",525,"Feb 1, 2018, 8:11 PM GMT+9",liuruoze,https://github.com/liuruoze/EasyPR
gocv,847,"6,279",154,"Apr 5, 2024, 3:05 PM GMT+9",hybridgroup,https://github.com/hybridgroup/gocv
BossSensor,"1,088","6,183",264,"Oct 31, 2018, 8:42 PM GMT+9",Hironsan,https://github.com/Hironsan/BossSensor
tiler,422,"5,822",59,"Oct 31, 2023, 10:55 PM GMT+9",nuno-faria,https://github.com/nuno-faria/tiler
TagUI,561,"5,327",141,"Jul 10, 2023, 2:11 AM GMT+9",aisingapore,https://github.com/aisingapore/TagUI
opencvsharp,"1,109","5,098",229,"Feb 29, 2024, 1:52 PM GMT+9",shimat,https://github.com/shimat/opencvsharp
SynapseML,811,"4,966",147,"Apr 18, 2024, 10:27 AM GMT+9",microsoft,https://github.com/microsoft/SynapseML
opencv4nodejs,807,"4,888",136,"Jun 22, 2022, 4:51 AM GMT+9",justadudewhohacks,https://github.com/justadudewhohacks/opencv4nodejs
AI-Job-Notes,627,"4,679",130,"Mar 21, 2024, 6:05 PM GMT+9",amusi,https://github.com/amusi/AI-Job-Notes
RPA-Python,629,"4,525",104,"Dec 24, 2023, 10:29 PM GMT+9",tebelorg,https://github.com/tebelorg/RPA-Python
pigo,304,"4,282",102,"Feb 20, 2023, 7:16 PM GMT+9",esimov,https://github.com/esimov/pigo
