title,fork,stars,watch,recent_time,writer,url
pandas,"17,307","41,890","1,116","Apr 19, 2024, 1:40 AM GMT+9",pandas-dev,https://github.com/pandas-dev/pandas
PythonDataScienceHandbook,"17,524","41,406","1,779","May 6, 2023, 8:20 AM GMT+9",jakevdp,https://github.com/jakevdp/PythonDataScienceHandbook
30-Days-Of-Python,"6,366","30,976",726,"Jul 9, 2023, 7:59 AM GMT+9",Asabeneh,https://github.com/Asabeneh/30-Days-Of-Python
tqdm,"1,316","27,398",208,"Feb 11, 2024, 3:11 AM GMT+9",tqdm,https://github.com/tqdm/tqdm
data-science-ipython-notebooks,"7,719","26,443","1,620","Feb 11, 2019, 7:51 PM GMT+9",donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks
Data-Science-For-Beginners,"5,398","26,290",484,"Feb 20, 2024, 1:36 PM GMT+9",microsoft,https://github.com/microsoft/Data-Science-For-Beginners
datasets,"2,507","18,371",277,"Apr 18, 2024, 8:09 PM GMT+9",huggingface,https://github.com/huggingface/datasets
tushare,"4,286","12,610",982,"Mar 4, 2020, 11:36 PM GMT+9",waditu,https://github.com/waditu/tushare
ydata-profiling,"1,629","12,017",151,"Apr 10, 2024, 1:00 AM GMT+9",ydataai,https://github.com/ydataai/ydata-profiling
dask,"1,665","11,979",211,"Apr 18, 2024, 11:11 PM GMT+9",dask,https://github.com/dask/dask
seaborn,"1,855","11,939",259,"Mar 31, 2024, 3:50 AM GMT+9",mwaskom,https://github.com/mwaskom/seaborn
yfinance,"2,196","11,763",240,"Apr 17, 2024, 6:18 AM GMT+9",ranaroussi,https://github.com/ranaroussi/yfinance
abu,"3,658","11,217",738,"Oct 25, 2023, 12:50 PM GMT+9",bbfamily,https://github.com/bbfamily/abu
pandas-ai,977,"10,869",91,"Apr 18, 2024, 2:22 AM GMT+9",Sinaptik-AI,https://github.com/Sinaptik-AI/pandas-ai
pandas_exercises,"7,894","10,153",307,"Sep 19, 2020, 3:31 AM GMT+9",guipsamora,https://github.com/guipsamora/pandas_exercises
pygwalker,464,"9,702",59,"Apr 16, 2024, 4:23 PM GMT+9",Kanaries,https://github.com/Kanaries/pygwalker
modin,641,"9,463",116,"Apr 18, 2024, 11:15 PM GMT+9",modin-project,https://github.com/modin-project/modin
mlcourse.ai,"5,639","9,382",585,"May 22, 2023, 6:52 PM GMT+9",Yorko,https://github.com/Yorko/mlcourse.ai
Ai-Learn,"2,044","8,411",189,"Dec 26, 2023, 2:39 AM GMT+9",tangyudi,https://github.com/tangyudi/Ai-Learn
visidata,270,"7,399",71,"Apr 12, 2024, 2:33 PM GMT+9",saulpw,https://github.com/saulpw/visidata
