title,fork,stars,watch,recent_time,writer,url
flameshot,"1,498","23,118",206,"Mar 30, 2024, 6:02 AM GMT+9",flameshot-org,https://github.com/flameshot-org/flameshot
cool-retro-term,817,"21,290",309,"Jan 29, 2022, 11:21 PM GMT+9",Swordfish90,https://github.com/Swordfish90/cool-retro-term
matplotlib,"7,385","19,212",594,"Apr 18, 2024, 1:56 AM GMT+9",matplotlib,https://github.com/matplotlib/matplotlib
QtScrcpy,"2,246","16,241",192,"Apr 8, 2024, 4:07 PM GMT+9",barry-ran,https://github.com/barry-ran/QtScrcpy
PySimpleGUI,"1,826","13,109",230,"Apr 13, 2024, 5:15 AM GMT+9",PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI
openage,"1,100","12,375",404,"Apr 18, 2024, 9:35 PM GMT+9",SFTtech,https://github.com/SFTtech/openage
MuseScore,"2,509","11,484",238,"Apr 18, 2024, 11:02 PM GMT+9",musescore,https://github.com/musescore/MuseScore
tiled,"1,705","10,586",346,"Apr 18, 2024, 9:53 PM GMT+9",mapeditor,https://github.com/mapeditor/tiled
urh,844,"10,395",422,"Apr 6, 2024, 5:39 PM GMT+9",jopohl,https://github.com/jopohl/urh
qt,732,"10,218",309,"Sep 4, 2020, 3:39 PM GMT+9",therecipe,https://github.com/therecipe/qt
nekoray,988,"10,195",67,"Feb 24, 2024, 11:10 PM GMT+9",MatsuriDayo,https://github.com/MatsuriDayo/nekoray
qutebrowser,"1,003","9,329",169,"Apr 16, 2024, 6:10 PM GMT+9",qutebrowser,https://github.com/qutebrowser/qutebrowser
nodegui,285,"8,726",94,"Mar 6, 2024, 4:13 AM GMT+9",nodegui,https://github.com/nodegui/nodegui
NotepadNext,504,"8,332",90,"Apr 7, 2024, 12:36 PM GMT+9",dail8859,https://github.com/dail8859/NotepadNext
moonlight-qt,499,"8,215",91,"Apr 18, 2024, 2:41 PM GMT+9",moonlight-stream,https://github.com/moonlight-stream/moonlight-qt
spyder,"1,566","8,029",298,"Apr 18, 2024, 10:54 AM GMT+9",spyder-ide,https://github.com/spyder-ide/spyder
olive,531,"7,799",175,"Mar 28, 2024, 1:39 AM GMT+9",olive-editor,https://github.com/olive-editor/olive
liteide,964,"7,442",367,"Jan 15, 2024, 12:26 PM GMT+9",visualfc,https://github.com/visualfc/liteide
albert,299,"7,064",88,"Mar 6, 2024, 10:01 PM GMT+9",albertlauncher,https://github.com/albertlauncher/albert
FileCentipede,434,"6,613",60,"Apr 1, 2024, 1:06 PM GMT+9",filecxx,https://github.com/filecxx/FileCentipede
