title,fork,stars,watch,recent_time,writer,url
maybe,"2,015","26,435",139,"Apr 16, 2024, 2:25 AM GMT+9",maybe-finance,https://github.com/maybe-finance/maybe
curriculum,"12,108","8,741",235,"Apr 18, 2024, 10:37 PM GMT+9",TheOdinProject,https://github.com/TheOdinProject/curriculum
ransack,777,"5,585",94,"Feb 10, 2024, 11:03 PM GMT+9",activerecord-hackery,https://github.com/activerecord-hackery/ransack
doorkeeper,"1,051","5,255",108,"Feb 14, 2024, 5:01 PM GMT+9",doorkeeper-gem,https://github.com/doorkeeper-gem/doorkeeper
docuseal,303,"5,123",25,"Apr 13, 2024, 11:41 PM GMT+9",docusealco,https://github.com/docusealco/docuseal
react_on_rails,624,"5,055",83,"Apr 6, 2024, 8:40 AM GMT+9",shakacode,https://github.com/shakacode/react_on_rails
mongoid,"1,380","3,916",109,"Feb 29, 2024, 4:29 AM GMT+9",mongodb,https://github.com/mongodb/mongoid
rails_panel,179,"3,829",58,"Apr 13, 2024, 6:12 PM GMT+9",dejan,https://github.com/dejan/rails_panel
koala,470,"3,557",91,"Aug 24, 2023, 6:12 AM GMT+9",arsduo,https://github.com/arsduo/koala
theodinproject,"2,041","3,422",149,"Apr 17, 2024, 4:57 AM GMT+9",TheOdinProject,https://github.com/TheOdinProject/theodinproject
elasticsearch-rails,790,"3,054",391,"Feb 23, 2022, 6:09 PM GMT+9",elastic,https://github.com/elastic/elasticsearch-rails
octopus,501,"2,524",60,"Dec 2, 2020, 9:54 AM GMT+9",thiagopradi,https://github.com/thiagopradi/octopus
good_job,186,"2,440",24,"Apr 14, 2024, 12:33 AM GMT+9",bensheldon,https://github.com/bensheldon/good_job
stimulus_reflex,166,"2,199",26,"Apr 6, 2024, 6:21 AM GMT+9",stimulusreflex,https://github.com/stimulusreflex/stimulus_reflex
rspec-rails-examples,320,"2,154",86,"Feb 6, 2016, 1:37 AM GMT+9",eliotsykes,https://github.com/eliotsykes/rspec-rails-examples
config,226,"2,080",32,"Apr 12, 2024, 9:04 AM GMT+9",rubyconfig,https://github.com/rubyconfig/config
karafka,166,"1,967",30,"Apr 18, 2024, 10:11 PM GMT+9",karafka,https://github.com/karafka/karafka
sidekiq-cron,273,"1,818",23,"Apr 16, 2024, 4:22 AM GMT+9",sidekiq-cron,https://github.com/sidekiq-cron/sidekiq-cron
zen-rails-security-checklist,151,"1,813",76,"Mar 9, 2020, 8:42 PM GMT+9",brunofacca,https://github.com/brunofacca/zen-rails-security-checklist
real-world-rails,136,"1,697",33,"Apr 13, 2024, 9:37 PM GMT+9",eliotsykes,https://github.com/eliotsykes/real-world-rails
