title,fork,stars,watch,recent_time,writer,url
deno,"5,116","92,844","1,427","Apr 18, 2024, 8:46 AM GMT+9",denoland,https://github.com/denoland/deno
rust,"11,982","92,705","1,478","Apr 10, 2024, 7:00 AM GMT+9",rust-lang,https://github.com/rust-lang/rust
tauri,"2,256","77,076",489,"Apr 18, 2024, 12:21 PM GMT+9",tauri-apps,https://github.com/tauri-apps/tauri
rustdesk,"6,808","62,530",438,"Apr 7, 2024, 5:12 PM GMT+9",rustdesk,https://github.com/rustdesk/rustdesk
alacritty,"2,914","52,600",451,"Mar 31, 2024, 10:57 AM GMT+9",alacritty,https://github.com/alacritty/alacritty
rustlings,"9,291","49,037",317,"Apr 16, 2024, 10:23 PM GMT+9",rust-lang,https://github.com/rust-lang/rustlings
AppFlowy,"3,150","48,538",333,"Apr 18, 2024, 9:52 PM GMT+9",AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy
ChatGPT,"5,386","46,827",392,"Mar 11, 2024, 8:13 PM GMT+9",lencx,https://github.com/lencx/ChatGPT
bat,"1,153","46,331",199,"Apr 15, 2024, 3:17 PM GMT+9",sharkdp,https://github.com/sharkdp/bat
ripgrep,"1,876","44,751",296,"Apr 2, 2024, 10:10 PM GMT+9",BurntSushi,https://github.com/BurntSushi/ripgrep
meilisearch,"1,615","43,145",268,"Apr 18, 2024, 4:07 PM GMT+9",meilisearch,https://github.com/meilisearch/meilisearch
awesome-rust,"2,537","42,671",806,"Apr 16, 2024, 5:49 PM GMT+9",rust-unofficial,https://github.com/rust-unofficial/awesome-rust
starship,"1,749","40,635",183,"Apr 17, 2024, 6:40 AM GMT+9",starship,https://github.com/starship/starship
vaultwarden,"1,618","32,758",229,"Apr 6, 2024, 9:42 PM GMT+9",dani-garcia,https://github.com/dani-garcia/vaultwarden
lapce,915,"32,161",179,"Apr 18, 2024, 6:39 AM GMT+9",lapce,https://github.com/lapce/lapce
bevy,"3,133","32,121",287,"Apr 18, 2024, 10:02 PM GMT+9",bevyengine,https://github.com/bevyengine/bevy
fd,758,"31,494",144,"Apr 15, 2024, 3:17 PM GMT+9",sharkdp,https://github.com/sharkdp/fd
AFFiNE,"1,976","30,280",175,"Apr 18, 2024, 10:41 PM GMT+9",toeverything,https://github.com/toeverything/AFFiNE
swc,"1,139","29,943",148,"Apr 18, 2024, 4:57 PM GMT+9",swc-project,https://github.com/swc-project/swc
yew,"1,395","29,892",305,"Mar 14, 2024, 8:24 PM GMT+9",yewstack,https://github.com/yewstack/yew
