title,fork,stars,watch,recent_time,writer,url
deno,"5,117","92,845","1,427","Apr 19, 2024, 12:37 AM GMT+9",denoland,https://github.com/denoland/deno
rust,"11,986","92,709","1,478","Apr 18, 2024, 9:22 PM GMT+9",rust-lang,https://github.com/rust-lang/rust
tauri,"2,256","77,078",488,"Apr 19, 2024, 12:09 AM GMT+9",tauri-apps,https://github.com/tauri-apps/tauri
rustdesk,"6,808","62,531",438,"Apr 7, 2024, 5:12 PM GMT+9",rustdesk,https://github.com/rustdesk/rustdesk
alacritty,"2,914","52,605",451,"Mar 31, 2024, 10:57 AM GMT+9",alacritty,https://github.com/alacritty/alacritty
rustlings,"9,291","49,038",317,"Apr 16, 2024, 10:23 PM GMT+9",rust-lang,https://github.com/rust-lang/rustlings
AppFlowy,"3,150","48,544",333,"Apr 18, 2024, 9:52 PM GMT+9",AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy
ChatGPT,"5,386","46,828",392,"Mar 11, 2024, 8:13 PM GMT+9",lencx,https://github.com/lencx/ChatGPT
bat,"1,153","46,333",199,"Apr 15, 2024, 3:17 PM GMT+9",sharkdp,https://github.com/sharkdp/bat
ripgrep,"1,876","44,755",296,"Apr 2, 2024, 10:10 PM GMT+9",BurntSushi,https://github.com/BurntSushi/ripgrep
meilisearch,"1,615","43,146",268,"Apr 18, 2024, 4:07 PM GMT+9",meilisearch,https://github.com/meilisearch/meilisearch
awesome-rust,"2,537","42,672",806,"Apr 16, 2024, 5:49 PM GMT+9",rust-unofficial,https://github.com/rust-unofficial/awesome-rust
starship,"1,748","40,636",183,"Apr 17, 2024, 6:40 AM GMT+9",starship,https://github.com/starship/starship
vaultwarden,"1,618","32,763",229,"Apr 6, 2024, 9:42 PM GMT+9",dani-garcia,https://github.com/dani-garcia/vaultwarden
lapce,915,"32,162",179,"Apr 19, 2024, 12:45 AM GMT+9",lapce,https://github.com/lapce/lapce
bevy,"3,133","32,123",287,"Apr 18, 2024, 11:13 PM GMT+9",bevyengine,https://github.com/bevyengine/bevy
fd,758,"31,495",144,"Apr 15, 2024, 3:17 PM GMT+9",sharkdp,https://github.com/sharkdp/fd
AFFiNE,"1,976","30,283",175,"Apr 19, 2024, 12:48 AM GMT+9",toeverything,https://github.com/toeverything/AFFiNE
swc,"1,139","29,943",148,"Apr 18, 2024, 4:57 PM GMT+9",swc-project,https://github.com/swc-project/swc
yew,"1,395","29,892",305,"Mar 14, 2024, 8:24 PM GMT+9",yewstack,https://github.com/yewstack/yew
