title,fork,stars,watch,recent_time,writer,url
ohmyzsh,"25,584","168,529","2,653","Mar 15, 2024, 9:55 PM GMT+9",ohmyzsh,https://github.com/ohmyzsh/ohmyzsh
git,"25,066","49,852","2,391","Apr 17, 2024, 6:50 AM GMT+9",git,https://github.com/git/git
nvm,"7,629","75,469",996,"Dec 6, 2023, 2:51 PM GMT+9",nvm-sh,https://github.com/nvm-sh/nvm
PowerShell,"7,016","43,270","1,421","Apr 17, 2024, 6:58 AM GMT+9",PowerShell,https://github.com/PowerShell/PowerShell
autocomplete,"5,348","24,258",88,"Apr 18, 2024, 6:07 PM GMT+9",withfig,https://github.com/withfig/autocomplete
kaldi,"5,265","13,685",701,"Jan 31, 2024, 8:21 PM GMT+9",kaldi-asr,https://github.com/kaldi-asr/kaldi
openvpn-install,"4,747","18,345",523,"Nov 8, 2023, 8:40 PM GMT+9",Nyr,https://github.com/Nyr/openvpn-install
acme.sh,"4,736","36,360",491,"Apr 1, 2024, 6:46 PM GMT+9",acmesh-official,https://github.com/acmesh-official/acme.sh
prezto,"4,486","13,772",214,"Apr 16, 2024, 11:36 AM GMT+9",sorin-ionescu,https://github.com/sorin-ionescu/prezto
v2ray-agent,"4,313","12,672",152,"Apr 16, 2024, 5:18 PM GMT+9",mack-a,https://github.com/mack-a/v2ray-agent
tldr,"3,961","48,294",367,"Apr 18, 2024, 10:36 PM GMT+9",tldr-pages,https://github.com/tldr-pages/tldr
nerd-fonts,"3,544","51,053",385,"Apr 18, 2024, 2:38 PM GMT+9",ryanoasis,https://github.com/ryanoasis/nerd-fonts
thefuck,"3,396","82,695",839,"Jan 26, 2024, 4:52 AM GMT+9",nvbn,https://github.com/nvbn/thefuck
dotfiles,"3,359","7,152",150,"Apr 18, 2024, 3:03 AM GMT+9",holman,https://github.com/holman/dotfiles
.tmux,"3,294","21,101",252,"Apr 1, 2024, 5:04 PM GMT+9",gpakosz,https://github.com/gpakosz/.tmux
pure-bash-bible,"3,214","35,826",744,"Oct 22, 2020, 12:39 AM GMT+9",dylanaraps,https://github.com/dylanaraps/pure-bash-bible
PEASS-ng,"2,946","14,835",224,"Apr 8, 2024, 6:31 PM GMT+9",peass-ng,https://github.com/peass-ng/PEASS-ng
pyenv,"2,924","36,597",386,"Apr 10, 2024, 5:38 AM GMT+9",pyenv,https://github.com/pyenv/pyenv
useful-scripts,"2,781","7,149",411,"Apr 12, 2024, 7:16 PM GMT+9",oldratlee,https://github.com/oldratlee/useful-scripts
github-markdown-toc,"2,762","3,170",40,"Mar 10, 2024, 12:07 AM GMT+9",ekalinin,https://github.com/ekalinin/github-markdown-toc
