title,fork,stars,watch,recent_time,writer,url
ohmyzsh,"25,593","168,540","2,653","Mar 7, 2024, 5:55 PM GMT+9",ohmyzsh,https://github.com/ohmyzsh/ohmyzsh
thefuck,"3,396","82,697",839,"Jan 3, 2022, 7:17 AM GMT+9",nvbn,https://github.com/nvbn/thefuck
nvm,"7,628","75,472",996,"Dec 6, 2023, 2:51 PM GMT+9",nvm-sh,https://github.com/nvm-sh/nvm
nerd-fonts,"3,544","51,054",385,"Apr 18, 2024, 2:38 PM GMT+9",ryanoasis,https://github.com/ryanoasis/nerd-fonts
git,"25,066","49,853","2,391","Apr 17, 2024, 6:50 AM GMT+9",git,https://github.com/git/git
tldr,"3,962","48,295",367,"Apr 18, 2024, 10:36 PM GMT+9",tldr-pages,https://github.com/tldr-pages/tldr
pi-hole,"2,598","46,718",708,"Apr 1, 2024, 3:46 AM GMT+9",pi-hole,https://github.com/pi-hole/pi-hole
PowerShell,"7,016","43,272","1,421","Apr 17, 2024, 6:58 AM GMT+9",PowerShell,https://github.com/PowerShell/PowerShell
zx,"1,038","41,563",156,"Apr 19, 2024, 12:26 AM GMT+9",google,https://github.com/google/zx
edex-ui,"2,465","39,810","1,486","Oct 20, 2021, 7:38 AM GMT+9",GitSquared,https://github.com/GitSquared/edex-ui
pyenv,"2,924","36,598",386,"Apr 10, 2024, 5:38 AM GMT+9",pyenv,https://github.com/pyenv/pyenv
acme.sh,"4,736","36,360",491,"Oct 6, 2023, 8:42 PM GMT+9",acmesh-official,https://github.com/acmesh-official/acme.sh
pure-bash-bible,"3,214","35,826",744,"Oct 22, 2020, 12:39 AM GMT+9",dylanaraps,https://github.com/dylanaraps/pure-bash-bible
shellcheck,"1,712","34,922",417,"Apr 15, 2024, 10:47 AM GMT+9",koalaman,https://github.com/koalaman/shellcheck
awesome-shell,"2,319","31,064",770,"Nov 12, 2023, 1:21 AM GMT+9",alebcay,https://github.com/alebcay/awesome-shell
nushell,"1,543","29,839",182,"Apr 19, 2024, 12:57 AM GMT+9",nushell,https://github.com/nushell/nushell
modern-unix,755,"29,698",409,"Feb 4, 2023, 9:02 AM GMT+9",ibraheemdev,https://github.com/ibraheemdev/modern-unix
zsh-autosuggestions,"1,829","29,532",182,"Sep 7, 2023, 11:58 PM GMT+9",zsh-users,https://github.com/zsh-users/zsh-autosuggestions
awesome-macos-command-line,"1,434","28,386",758,"Sep 2, 2021, 10:26 PM GMT+9",herrbischoff,https://github.com/herrbischoff/awesome-macos-command-line
cmder,"2,020","25,546",576,"Apr 10, 2024, 9:01 PM GMT+9",cmderdev,https://github.com/cmderdev/cmder
