title,fork,stars,watch,recent_time,writer,url
openzeppelin-contracts,"11,610","24,079",643,"Apr 9, 2024, 7:03 PM GMT+9",OpenZeppelin,https://github.com/OpenZeppelin/openzeppelin-contracts
solidity,"5,499","22,238",716,"Apr 18, 2024, 3:40 AM GMT+9",ethereum,https://github.com/ethereum/solidity
ethereumbook,"4,783","19,277",581,"Jul 25, 2021, 6:13 AM GMT+9",ethereumbook,https://github.com/ethereumbook/ethereumbook
truffle,"2,286","14,009",338,"Sep 22, 2023, 4:42 AM GMT+9",trufflesuite,https://github.com/trufflesuite/truffle
full-blockchain-solidity-course-js,"2,722","11,376",221,"Sep 1, 2023, 4:20 AM GMT+9",smartcontractkit,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
full-blockchain-solidity-course-py,"2,876","10,543",247,"Apr 10, 2024, 2:10 PM GMT+9",smartcontractkit,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
WTF-Solidity,"1,761","10,152",138,"Apr 13, 2024, 4:37 PM GMT+9",AmazingAng,https://github.com/AmazingAng/WTF-Solidity
DeFi-Developer-Road-Map,"1,199","9,427",191,"Mar 17, 2024, 1:20 PM GMT+9",OffcierCia,https://github.com/OffcierCia/DeFi-Developer-Road-Map
scaffold-eth,"3,484","8,973",150,"Oct 11, 2023, 8:26 AM GMT+9",scaffold-eth,https://github.com/scaffold-eth/scaffold-eth
foundry,"1,462","7,513",71,"Apr 18, 2024, 5:37 PM GMT+9",foundry-rs,https://github.com/foundry-rs/foundry
smart-contract-best-practices,"1,424","7,309",324,"Mar 28, 2022, 9:52 PM GMT+9",Consensys,https://github.com/Consensys/smart-contract-best-practices
hardhat,"1,284","6,746",74,"Apr 18, 2024, 9:10 PM GMT+9",NomicFoundation,https://github.com/NomicFoundation/hardhat
chainlink,"1,572","6,563",314,"Apr 18, 2024, 7:16 PM GMT+9",smartcontractkit,https://github.com/smartcontractkit/chainlink
awesome-solidity,922,"6,332",165,"Dec 23, 2021, 2:48 AM GMT+9",bkrem,https://github.com/bkrem/awesome-solidity
slither,905,"4,991",67,"Apr 8, 2024, 6:46 AM GMT+9",crytic,https://github.com/crytic/slither
web3j,"1,622","4,952",225,"Apr 15, 2024, 6:45 PM GMT+9",hyperledger,https://github.com/hyperledger/web3j
DeFiHackLabs,"1,001","4,674",134,"Apr 17, 2024, 5:51 PM GMT+9",SunWeb3Sec,https://github.com/SunWeb3Sec/DeFiHackLabs
eattheblocks,"3,216","3,964",271,"Oct 22, 2021, 6:43 PM GMT+9",jklepatch,https://github.com/jklepatch/eattheblocks
project_web3.0,"1,086","3,916",42,"Oct 15, 2023, 10:10 PM GMT+9",adrianhajdin,https://github.com/adrianhajdin/project_web3.0
mythril,700,"3,706",80,"Mar 28, 2024, 10:47 PM GMT+9",Consensys,https://github.com/Consensys/mythril
