title,fork,stars,watch,recent_time,writer,url
mall,"28,254","75,281","2,233","Mar 1, 2024, 5:21 PM GMT+9",macrozheng,https://github.com/macrozheng/mall
spring-boot,"39,989","72,682","3,370","Apr 18, 2024, 10:35 PM GMT+9",spring-projects,https://github.com/spring-projects/spring-boot
jeecg-boot,"14,244","37,683",844,"Apr 17, 2024, 11:43 AM GMT+9",jeecgboot,https://github.com/jeecgboot/jeecg-boot
spring-boot-demo,"10,650","31,975","1,016","Sep 2, 2022, 2:41 PM GMT+9",xkcoding,https://github.com/xkcoding/spring-boot-demo
spring-boot-examples,"12,331","29,896","1,329","Dec 29, 2022, 11:11 AM GMT+9",ityouknow,https://github.com/ityouknow/spring-boot-examples
apollo,"10,160","28,774","1,267","Apr 9, 2024, 9:52 AM GMT+9",apolloconfig,https://github.com/apolloconfig/apollo
SpringAll,"8,047","27,769",867,"Jan 31, 2021, 12:32 PM GMT+9",wuyouzhuguli,https://github.com/wuyouzhuguli/SpringAll
generator-jhipster,"3,996","21,214",723,"Apr 18, 2024, 6:07 PM GMT+9",jhipster,https://github.com/jhipster/generator-jhipster
eladmin,"7,282","20,834",543,"Apr 2, 2024, 9:22 PM GMT+9",elunez,https://github.com/elunez/eladmin
litemall,"7,115","18,865",732,"Jul 30, 2023, 2:35 PM GMT+9",linlinjava,https://github.com/linlinjava/litemall
SpringBoot-Labs,"5,826","18,389",811,"May 3, 2022, 1:54 PM GMT+9",yudaocode,https://github.com/yudaocode/SpringBoot-Labs
SpringCloudLearning,"8,066","17,746",833,"Apr 12, 2021, 6:53 PM GMT+9",forezp,https://github.com/forezp/SpringCloudLearning
vue-admin-better,"3,591","16,067",296,"Apr 15, 2024, 7:49 PM GMT+9",chuzhixin,https://github.com/chuzhixin/vue-admin-better
SpringBoot-Learning,"4,886","15,558",732,"Feb 14, 2022, 11:40 AM GMT+9",dyc87112,https://github.com/dyc87112/SpringBoot-Learning
piggymetrics,"6,005","12,987",823,"Nov 16, 2021, 8:36 AM GMT+9",sqshq,https://github.com/sqshq/piggymetrics
conductor,"2,332","12,905",544,"Dec 14, 2023, 4:22 AM GMT+9",Netflix,https://github.com/Netflix/conductor
spring-boot-admin,"3,053","12,149",652,"Apr 18, 2024, 7:19 PM GMT+9",codecentric,https://github.com/codecentric/spring-boot-admin
mall-swarm,"5,092","11,326",275,"Mar 27, 2024, 10:19 AM GMT+9",macrozheng,https://github.com/macrozheng/mall-swarm
newbee-mall,"2,677","10,794",228,"Oct 9, 2023, 2:27 PM GMT+9",newbee-ltd,https://github.com/newbee-ltd/newbee-mall
cas,"3,883","10,629",604,"Apr 13, 2024, 7:12 PM GMT+9",apereo,https://github.com/apereo/cas
