title,fork,stars,watch,recent_time,writer,url
free-programming-books-zh_CN,"28,077","109,066","5,906","Jan 22, 2024, 9:24 AM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN
appwrite,"3,689","40,886",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite
Alamofire,"7,521","40,500","1,066","Mar 31, 2024, 10:22 AM GMT+9",Alamofire,https://github.com/Alamofire/Alamofire
open-source-ios-apps,"5,302","39,993","1,444","Apr 17, 2024, 10:30 PM GMT+9",dkhamsing,https://github.com/dkhamsing/open-source-ios-apps
open-source-mac-os-apps,"2,256","39,394",971,"Nov 3, 2023, 8:46 AM GMT+9",serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps
iina,"2,496","36,276",527,"Apr 2, 2024, 6:34 AM GMT+9",iina,https://github.com/iina/iina
gold-miner,"5,011","33,357","1,275","Jan 21, 2024, 4:30 PM GMT+9",xitu,https://github.com/xitu/gold-miner
ShadowsocksX-NG,"7,964","32,156",943,"Mar 28, 2023, 10:55 PM GMT+9",shadowsocks,https://github.com/shadowsocks/ShadowsocksX-NG
swift-algorithm-club,"4,996","28,440","1,567","Jan 6, 2022, 10:33 AM GMT+9",kodecocodes,https://github.com/kodecocodes/swift-algorithm-club
MonitorControl,772,"26,060",155,"Feb 15, 2024, 3:05 PM GMT+9",MonitorControl,https://github.com/MonitorControl/MonitorControl
lottie-ios,"3,627","24,988",464,"Apr 16, 2024, 7:40 AM GMT+9",airbnb,https://github.com/airbnb/lottie-ios
SDWebImage,"5,943","24,904",794,"Mar 26, 2024, 6:22 PM GMT+9",SDWebImage,https://github.com/SDWebImage/SDWebImage
awesome-swift,"3,059","24,250",917,"Mar 1, 2024, 6:53 AM GMT+9",matteocrippa,https://github.com/matteocrippa/awesome-swift
RxSwift,"4,152","24,154",541,"Apr 11, 2024, 1:52 PM GMT+9",ReactiveX,https://github.com/ReactiveX/RxSwift
vapor,"1,410","23,773",519,"Apr 18, 2024, 12:39 PM GMT+9",vapor,https://github.com/vapor/vapor
NativeScript,"1,639","23,635",656,"Apr 17, 2024, 3:30 AM GMT+9",NativeScript,https://github.com/NativeScript/NativeScript
Kingfisher,"2,639","22,788",363,"Apr 7, 2024, 11:06 PM GMT+9",onevcat,https://github.com/onevcat/Kingfisher
SwiftyJSON,"3,410","22,410",621,"Apr 12, 2024, 5:22 PM GMT+9",SwiftyJSON,https://github.com/SwiftyJSON/SwiftyJSON
Hero,"1,718","21,805",362,"Feb 6, 2024, 11:03 AM GMT+9",HeroTransitions,https://github.com/HeroTransitions/Hero
CodeEdit,953,"20,194",215,"Apr 13, 2024, 12:45 AM GMT+9",CodeEditApp,https://github.com/CodeEditApp/CodeEdit
