title,fork,stars,watch,recent_time,writer,url
tensorflow,"73,881","182,323","7,641","Apr 19, 2024, 12:28 AM GMT+9",tensorflow,https://github.com/tensorflow/tensorflow
transformers,"24,703","124,535","1,092","Apr 19, 2024, 1:18 AM GMT+9",huggingface,https://github.com/huggingface/transformers
keras,"19,338","60,900","1,907","Apr 18, 2024, 1:02 PM GMT+9",keras-team,https://github.com/keras-team/keras
Real-Time-Voice-Cloning,"8,518","50,670",931,"Mar 22, 2023, 7:55 PM GMT+9",CorentinJ,https://github.com/CorentinJ/Real-Time-Voice-Cloning
TensorFlow-Examples,"15,002","43,191","2,056","Oct 23, 2021, 5:03 PM GMT+9",aymericdamien,https://github.com/aymericdamien/TensorFlow-Examples
bert,"9,475","36,959","1,000","Mar 12, 2020, 12:19 AM GMT+9",google-research,https://github.com/google-research/bert
gold-miner,"5,011","33,357","1,275","Jan 21, 2024, 4:30 PM GMT+9",xitu,https://github.com/xitu/gold-miner
photoprism,"1,767","32,524",329,"Apr 19, 2024, 12:07 AM GMT+9",photoprism,https://github.com/photoprism/photoprism
ray,"5,234","30,969",471,"Apr 18, 2024, 3:12 PM GMT+9",ray-project,https://github.com/ray-project/ray
data-science-ipython-notebooks,"7,719","26,443","1,620","Feb 11, 2019, 7:51 PM GMT+9",donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks
netron,"2,655","26,024",296,"Apr 18, 2024, 10:16 AM GMT+9",lutzroeder,https://github.com/lutzroeder/netron
handson-ml,"12,931","25,090","1,087","Sep 26, 2022, 8:15 AM GMT+9",ageron,https://github.com/ageron/handson-ml
spleeter,"2,714","24,863",384,"Jul 13, 2023, 5:50 PM GMT+9",deezer,https://github.com/deezer/spleeter
DeepSpeech,"3,876","24,212",663,"Nov 18, 2021, 2:52 AM GMT+9",mozilla,https://github.com/mozilla/DeepSpeech
Mask_RCNN,"11,625","24,114",582,"Apr 1, 2019, 7:03 AM GMT+9",matterport,https://github.com/matterport/Mask_RCNN
d2l-en,"4,104","21,599",403,"Mar 17, 2024, 7:46 AM GMT+9",d2l-ai,https://github.com/d2l-ai/d2l-en
100-Days-Of-ML-Code,"5,426","20,776","1,088","Apr 6, 2022, 9:01 PM GMT+9",MLEveryday,https://github.com/MLEveryday/100-Days-Of-ML-Code
ncnn,"4,052","19,161",573,"Apr 15, 2024, 12:14 PM GMT+9",Tencent,https://github.com/Tencent/ncnn
datasets,"2,507","18,371",277,"Apr 18, 2024, 8:09 PM GMT+9",huggingface,https://github.com/huggingface/datasets
onnx,"3,595","16,786",437,"Apr 16, 2024, 1:45 PM GMT+9",onnx,https://github.com/onnx/onnx
