title,fork,stars,watch,recent_time,writer,url
ScreenToGif,"2,131","22,619",352,"Jun 5, 2022, 1:27 AM GMT+9",NickeManarin,https://github.com/NickeManarin/ScreenToGif
SteamTools,"1,144","18,146",95,"Apr 18, 2024, 9:39 PM GMT+9",BeyondDimension,https://github.com/BeyondDimension/SteamTools
MaterialDesignInXamlToolkit,"3,365","14,608",509,"Apr 11, 2024, 1:40 AM GMT+9",MaterialDesignInXAML,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
CefSharp,"2,892","9,663",545,"Mar 24, 2024, 2:19 PM GMT+9",cefsharp,https://github.com/cefsharp/CefSharp
Captura,"1,762","9,335",227,"May 13, 2020, 9:52 PM GMT+9",MathewSachin,https://github.com/MathewSachin/Captura
MahApps.Metro,"2,443","9,122",448,"Apr 12, 2024, 4:44 AM GMT+9",MahApps,https://github.com/MahApps/MahApps.Metro
EarTrumpet,493,"8,401",120,"Apr 18, 2024, 9:00 PM GMT+9",File-New-Project,https://github.com/File-New-Project/EarTrumpet
Playnite,467,"8,189",125,"Apr 15, 2024, 5:54 PM GMT+9",JosefNemec,https://github.com/JosefNemec/Playnite
Dependencies,673,"8,101",148,"Nov 11, 2021, 8:59 PM GMT+9",lucasg,https://github.com/lucasg/Dependencies
ReactiveUI,"1,113","7,897",360,"Mar 31, 2024, 6:11 AM GMT+9",reactiveui,https://github.com/reactiveui/ReactiveUI
EverythingToolbar,360,"7,746",87,"Apr 8, 2024, 4:17 AM GMT+9",srwi,https://github.com/srwi/EverythingToolbar
ShadowsocksR-Windows,"1,130","6,930",148,"Apr 16, 2024, 10:17 AM GMT+9",HMBSbige,https://github.com/HMBSbige/ShadowsocksR-Windows
wpf,"1,124","6,799",284,"Apr 10, 2024, 3:55 AM GMT+9",dotnet,https://github.com/dotnet/wpf
Windows-Auto-Night-Mode,244,"6,771",42,"Mar 1, 2024, 1:09 AM GMT+9",AutoDarkMode,https://github.com/AutoDarkMode/Windows-Auto-Night-Mode
wpfui,608,"6,448",74,"Apr 14, 2024, 5:57 PM GMT+9",lepoco,https://github.com/lepoco/wpfui
Prism,"1,618","6,102",391,"Apr 8, 2024, 3:13 AM GMT+9",PrismLibrary,https://github.com/PrismLibrary/Prism
WindowsCommunityToolkit,"1,371","5,765",333,"Sep 22, 2023, 7:31 AM GMT+9",CommunityToolkit,https://github.com/CommunityToolkit/WindowsCommunityToolkit
HandyControl,969,"5,625",134,"Apr 14, 2024, 1:56 PM GMT+9",HandyOrg,https://github.com/HandyOrg/HandyControl
Live-Charts,"1,357","5,471",346,"Dec 21, 2022, 2:48 AM GMT+9",Live-Charts,https://github.com/Live-Charts/Live-Charts
Hearthstone-Deck-Tracker,"1,106","4,602",200,"Apr 18, 2024, 11:50 PM GMT+9",HearthSim,https://github.com/HearthSim/Hearthstone-Deck-Tracker
