title,fork,stars,watch,recent_time,writer,url
vue-element-admin,"30,279","86,281","2,206","Apr 11, 2022, 12:32 PM GMT+9",PanJiaChen,https://github.com/PanJiaChen/vue-element-admin
storybook,"8,988","82,724",919,"Apr 18, 2024, 9:39 PM GMT+9",storybookjs,https://github.com/storybookjs/storybook
webpack,"8,714","64,152","1,483","Apr 17, 2024, 6:56 PM GMT+9",webpack,https://github.com/webpack/webpack
vue2-elm,"12,460","40,744","1,494","May 19, 2023, 4:54 PM GMT+9",bailicangdu,https://github.com/bailicangdu/vue2-elm
ngx-admin,"7,922","25,020",884,"Jan 5, 2024, 9:18 PM GMT+9",akveo,https://github.com/akveo/ngx-admin
turbo,"1,681","24,863",134,"Apr 18, 2024, 9:36 AM GMT+9",vercel,https://github.com/vercel/turbo
electron-react-boilerplate,"3,754","22,618",283,"Sep 17, 2023, 3:29 AM GMT+9",electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate
react-redux-links,"2,503","22,511",736,"Feb 1, 2022, 12:58 PM GMT+9",markerikson,https://github.com/markerikson/react-redux-links
generator-jhipster,"3,996","21,214",723,"Apr 18, 2024, 6:07 PM GMT+9",jhipster,https://github.com/jhipster/generator-jhipster
js-stack-from-scratch,"1,997","20,044",589,"Nov 1, 2022, 12:50 PM GMT+9",verekia,https://github.com/verekia/js-stack-from-scratch
mojs,893,"18,252",394,"Mar 14, 2024, 3:15 AM GMT+9",mojs,https://github.com/mojs/mojs
ice,"2,086","17,768",441,"Apr 8, 2024, 7:41 PM GMT+9",alibaba,https://github.com/alibaba/ice
react-loadable,780,"16,595",145,"Mar 4, 2020, 2:55 AM GMT+9",jamiebuilds,https://github.com/jamiebuilds/react-loadable
electron-vue,"1,543","15,443",251,"Apr 21, 2021, 11:20 PM GMT+9",SimulatedGREG,https://github.com/SimulatedGREG/electron-vue
front-end-guide,"1,124","15,080",480,"Nov 14, 2018, 12:04 AM GMT+9",grab,https://github.com/grab/front-end-guide
webpack-dashboard,364,"13,876",197,"May 18, 2023, 11:55 PM GMT+9",FormidableLabs,https://github.com/FormidableLabs/webpack-dashboard
vue2-manage,"4,314","13,274",432,"Apr 29, 2021, 6:49 PM GMT+9",bailicangdu,https://github.com/bailicangdu/vue2-manage
webpack-bundle-analyzer,476,"12,496",99,"Apr 11, 2024, 8:52 PM GMT+9",webpack-contrib,https://github.com/webpack-contrib/webpack-bundle-analyzer
razzle,878,"11,090",120,"Oct 26, 2022, 6:09 AM GMT+9",jaredpalmer,https://github.com/jaredpalmer/razzle
html-webpack-plugin,"1,310","10,635",121,"Feb 6, 2024, 1:45 AM GMT+9",jantimon,https://github.com/jantimon/html-webpack-plugin
