title,fork,stars,watch,recent_time,writer,url
flutter,"26,551","161,643","3,534","Apr 19, 2024, 1:34 AM GMT+9",flutter,https://github.com/flutter/flutter
the-art-of-command-line,"14,284","148,513","2,836","Jul 13, 2023, 6:40 AM GMT+9",jlevy,https://github.com/jlevy/the-art-of-command-line
PowerToys,"6,133","104,185","1,128","Apr 19, 2024, 12:10 AM GMT+9",microsoft,https://github.com/microsoft/PowerToys
node,"27,823","103,615","2,914","Apr 18, 2024, 10:09 PM GMT+9",nodejs,https://github.com/nodejs/node
terminal,"8,083","93,410","1,317","Apr 18, 2024, 9:30 AM GMT+9",microsoft,https://github.com/microsoft/terminal
Microsoft-Activation-Scripts,"7,027","70,971",815,"Apr 13, 2024, 6:23 AM GMT+9",massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts
v2rayN,"10,519","60,970",701,"Apr 11, 2024, 9:07 AM GMT+9",2dust,https://github.com/2dust/v2rayN
atom,"17,378","59,968","2,635","Nov 23, 2022, 1:11 AM GMT+9",atom,https://github.com/atom/atom
Ventoy,"3,833","57,642",637,"Apr 7, 2024, 12:53 AM GMT+9",ventoy,https://github.com/ventoy/Ventoy
alacritty,"2,914","52,605",451,"Mar 31, 2024, 10:57 AM GMT+9",alacritty,https://github.com/alacritty/alacritty
sherlock,"6,150","51,141","1,080","Mar 16, 2024, 2:50 AM GMT+9",sherlock-project,https://github.com/sherlock-project/sherlock
tldr,"3,962","48,295",367,"Apr 19, 2024, 1:23 AM GMT+9",tldr-pages,https://github.com/tldr-pages/tldr
ChatGPT,"5,386","46,828",392,"Mar 11, 2024, 8:13 PM GMT+9",lencx,https://github.com/lencx/ChatGPT
mkcert,"2,339","45,620",470,"Apr 18, 2024, 5:53 PM GMT+9",FiloSottile,https://github.com/FiloSottile/mkcert
marktext,"3,336","44,590",414,"Mar 19, 2024, 10:14 PM GMT+9",marktext,https://github.com/marktext/marktext
PowerShell,"7,016","43,272","1,421","Apr 17, 2024, 6:58 AM GMT+9",PowerShell,https://github.com/PowerShell/PowerShell
x64dbg,"2,290","43,139","2,746","Apr 15, 2024, 6:33 AM GMT+9",x64dbg,https://github.com/x64dbg/x64dbg
Motrix,"4,382","43,129",481,"Jun 7, 2023, 8:19 PM GMT+9",agalwood,https://github.com/agalwood/Motrix
edex-ui,"2,465","39,810","1,486","Oct 20, 2021, 7:38 AM GMT+9",GitSquared,https://github.com/GitSquared/edex-ui
nativefier,"2,164","34,623",441,"Sep 29, 2023, 10:45 PM GMT+9",nativefier,https://github.com/nativefier/nativefier
