title,fork,stars,watch,recent_time,writer,url
flutter,"26,546","161,635","3,534","Apr 18, 2024, 11:21 PM GMT+9",flutter,https://github.com/flutter/flutter
plugins,"9,857","17,312",536,"Feb 22, 2023, 9:22 AM GMT+9",flutter,https://github.com/flutter/plugins
rustdesk,"6,808","62,529",438,"Apr 18, 2024, 11:38 PM GMT+9",rustdesk,https://github.com/rustdesk/rustdesk
awesome-flutter,"6,546","51,157","1,572","Apr 18, 2024, 12:13 AM GMT+9",Solido,https://github.com/Solido/awesome-flutter
open-source-ios-apps,"5,302","39,993","1,444","Apr 17, 2024, 10:30 PM GMT+9",dkhamsing,https://github.com/dkhamsing/open-source-ios-apps
Best-Flutter-UI-Templates,"4,396","19,561",521,"Jun 3, 2023, 7:48 PM GMT+9",mitesh77,https://github.com/mitesh77/Best-Flutter-UI-Templates
flutterfire,"3,891","8,403",174,"Apr 18, 2024, 12:38 AM GMT+9",firebase,https://github.com/firebase/flutterfire
flutter-go,"3,783","23,564",655,"Oct 13, 2020, 5:01 PM GMT+9",alibaba,https://github.com/alibaba/flutter-go
FlutterExampleApps,"3,715","19,934",953,"May 27, 2020, 3:49 PM GMT+9",iampawan,https://github.com/iampawan/FlutterExampleApps
appwrite,"3,689","40,886",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite
bloc,"3,360","11,375",176,"Apr 18, 2024, 12:54 PM GMT+9",felangel,https://github.com/felangel/bloc
AppFlowy,"3,150","48,540",333,"Apr 18, 2024, 9:52 PM GMT+9",AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy
website,"3,129","2,697",170,"Apr 18, 2024, 6:10 AM GMT+9",flutter,https://github.com/flutter/website
gsy_github_app_flutter,"2,534","14,585",329,"Mar 19, 2024, 5:30 PM GMT+9",CarGuo,https://github.com/CarGuo/gsy_github_app_flutter
invoiceninja,"2,186","7,707",219,"Feb 25, 2024, 7:47 AM GMT+9",invoiceninja,https://github.com/invoiceninja/invoiceninja
MMKV,"1,856","16,793",281,"Mar 19, 2024, 10:40 AM GMT+9",Tencent,https://github.com/Tencent/MMKV
FlutterDouBan,"1,800","8,563",144,"Mar 20, 2024, 4:33 PM GMT+9",kaina404,https://github.com/kaina404/FlutterDouBan
Flutter-Responsive-Admin-Panel-or-Dashboard,"1,792","6,393",156,"Nov 16, 2023, 11:35 AM GMT+9",abuanwar072,https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard
localsend,"1,768","34,686",146,"Apr 18, 2024, 5:16 AM GMT+9",localsend,https://github.com/localsend/localsend
flutter-tutorials,"1,761","4,717",194,"Apr 25, 2023, 10:55 PM GMT+9",FilledStacks,https://github.com/FilledStacks/flutter-tutorials
