title,fork,stars,watch,recent_time,writer,url
flutter,"26,551","161,643","3,534","Apr 19, 2024, 1:34 AM GMT+9",flutter,https://github.com/flutter/flutter
rustdesk,"6,809","62,531",438,"Apr 18, 2024, 11:38 PM GMT+9",rustdesk,https://github.com/rustdesk/rustdesk
awesome-flutter,"6,546","51,163","1,572","Apr 18, 2024, 12:13 AM GMT+9",Solido,https://github.com/Solido/awesome-flutter
AppFlowy,"3,150","48,544",333,"Apr 18, 2024, 9:52 PM GMT+9",AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy
appwrite,"3,689","40,889",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite
open-source-ios-apps,"5,302","39,996","1,444","Apr 19, 2024, 12:58 AM GMT+9",dkhamsing,https://github.com/dkhamsing/open-source-ios-apps
localsend,"1,768","34,692",146,"Apr 18, 2024, 5:16 AM GMT+9",localsend,https://github.com/localsend/localsend
immich,"1,378","30,187",111,"Apr 18, 2024, 12:47 PM GMT+9",immich-app,https://github.com/immich-app/immich
spotube,970,"24,183",108,"Apr 15, 2024, 10:41 PM GMT+9",KRTirtho,https://github.com/KRTirtho/spotube
NativeScript,"1,639","23,637",656,"Apr 17, 2024, 3:30 AM GMT+9",NativeScript,https://github.com/NativeScript/NativeScript
flutter-go,"3,783","23,564",655,"Oct 13, 2020, 5:01 PM GMT+9",alibaba,https://github.com/alibaba/flutter-go
FlutterExampleApps,"3,715","19,936",953,"May 27, 2020, 3:49 PM GMT+9",iampawan,https://github.com/iampawan/FlutterExampleApps
Best-Flutter-UI-Templates,"4,396","19,561",521,"Jun 3, 2023, 7:48 PM GMT+9",mitesh77,https://github.com/mitesh77/Best-Flutter-UI-Templates
plugins,"9,857","17,312",536,"Feb 22, 2023, 9:22 AM GMT+9",flutter,https://github.com/flutter/plugins
MMKV,"1,856","16,794",281,"Mar 19, 2024, 10:40 AM GMT+9",Tencent,https://github.com/Tencent/MMKV
revanced-manager,675,"15,519",183,"Apr 5, 2024, 11:52 AM GMT+9",ReVanced,https://github.com/ReVanced/revanced-manager
gsy_github_app_flutter,"2,534","14,585",329,"Mar 19, 2024, 5:30 PM GMT+9",CarGuo,https://github.com/CarGuo/gsy_github_app_flutter
gopeed,975,"13,297",148,"Apr 12, 2024, 3:45 PM GMT+9",GopeedLab,https://github.com/GopeedLab/gopeed
dio,"1,479","12,205",167,"Apr 19, 2024, 12:04 AM GMT+9",cfug,https://github.com/cfug/dio
bloc,"3,360","11,375",176,"Apr 18, 2024, 12:54 PM GMT+9",felangel,https://github.com/felangel/bloc
