title,fork,stars,watch,recent_time,writer,url,img
material,"3,412","16,580",708,"Apr 12, 2022, 4:18 AM GMT+9",angular,https://github.com/angular/material,https://avatars.githubusercontent.com/u/139426?s=48&v=4
ui-router,"3,016","13,562",486,"Apr 18, 2023, 7:18 PM GMT+9",angular-ui,https://github.com/angular-ui/ui-router,https://avatars.githubusercontent.com/u/1530011?s=48&v=4
blur-admin,"3,104","11,367",515,"Jan 20, 2019, 3:51 AM GMT+9",akveo,https://github.com/akveo/blur-admin,https://avatars.githubusercontent.com/u/11921694?s=48&v=4
heatmap.js,"1,311","6,148",227,"Feb 2, 2017, 9:31 PM GMT+9",pa7,https://github.com/pa7/heatmap.js,https://avatars.githubusercontent.com/u/481662?s=48&v=4
angularjs-styleguide,705,"5,983",328,"Apr 4, 2020, 4:50 AM GMT+9",toddmotto,https://github.com/toddmotto/angularjs-styleguide,https://avatars.githubusercontent.com/u/1655968?s=48&v=4
oppia,"3,762","5,614",240,"Apr 18, 2024, 10:58 PM GMT+9",oppia,https://github.com/oppia/oppia,https://avatars.githubusercontent.com/u/11620230?s=48&v=4
FAQGURU,555,"4,997",336,"Feb 8, 2023, 9:55 AM GMT+9",FAQGURU,https://github.com/FAQGURU/FAQGURU,https://avatars.githubusercontent.com/u/45581032?s=48&v=4
angularjs-style-guide,655,"4,978",283,"Jan 10, 2019, 8:20 AM GMT+9",mgechev,https://github.com/mgechev/angularjs-style-guide,https://avatars.githubusercontent.com/u/455023?s=48&v=4
angular-translate,"1,051","4,341",143,"Jan 22, 2024, 2:35 AM GMT+9",angular-translate,https://github.com/angular-translate/angular-translate,https://avatars.githubusercontent.com/u/6117835?s=48&v=4
Deep-Learning-in-Production,683,"4,243",148,"Nov 11, 2023, 4:23 PM GMT+9",ahkarami,https://github.com/ahkarami/Deep-Learning-in-Production,https://avatars.githubusercontent.com/u/28620609?s=48&v=4
SimplCommerce,"1,544","4,106",307,"Mar 21, 2024, 4:35 PM GMT+9",simplcommerce,https://github.com/simplcommerce/SimplCommerce,https://avatars.githubusercontent.com/u/19270027?s=48&v=4
angular-interview-questions,"1,921","3,950",189,"Feb 23, 2024, 10:48 AM GMT+9",sudheerj,https://github.com/sudheerj/angular-interview-questions,https://avatars.githubusercontent.com/u/3127317?s=48&v=4
angular-local-storage,592,"2,833",111,"Aug 29, 2017, 11:16 PM GMT+9",grevory,https://github.com/grevory/angular-local-storage,https://avatars.githubusercontent.com/u/1222666?s=48&v=4
ocLazyLoad,512,"2,633",118,"Feb 3, 2017, 6:11 PM GMT+9",ocombe,https://github.com/ocombe/ocLazyLoad,https://avatars.githubusercontent.com/u/265378?s=48&v=4
angular-moment,396,"2,603",49,"Jun 15, 2020, 4:00 PM GMT+9",urish,https://github.com/urish/angular-moment,https://avatars.githubusercontent.com/u/892318?s=48&v=4
angular-meteor,625,"2,360",132,"Mar 4, 2021, 10:30 AM GMT+9",Urigo,https://github.com/Urigo/angular-meteor,https://avatars.githubusercontent.com/u/1297448?s=48&v=4
ApiManager,791,"2,355",171,"Aug 13, 2021, 1:42 AM GMT+9",EhsanTang,https://github.com/EhsanTang/ApiManager,https://avatars.githubusercontent.com/u/5117567?s=48&v=4
material-start,"1,217","2,209",146,"Mar 30, 2021, 2:23 AM GMT+9",angular,https://github.com/angular/material-start,https://avatars.githubusercontent.com/u/139426?s=48&v=4
electron-release-server,542,"2,024",35,"Oct 29, 2023, 5:06 AM GMT+9",ArekSredzki,https://github.com/ArekSredzki/electron-release-server,https://avatars.githubusercontent.com/u/879918?s=48&v=4
sp-dev-fx-webparts,"3,804","1,985",224,"Apr 18, 2024, 2:52 PM GMT+9",pnp,https://github.com/pnp/sp-dev-fx-webparts,https://avatars.githubusercontent.com/u/31443929?s=48&v=4
