title,fork,stars,watch,recent_time,writer,url,img
devops-exercises,"13,869","63,301","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises,https://avatars.githubusercontent.com/u/10349437?s=48&v=4
ansible,"23,675","61,070","1,920","Apr 19, 2024, 10:22 AM GMT+9",ansible,https://github.com/ansible/ansible,https://avatars.githubusercontent.com/u/1507452?s=48&v=4
algo,"2,284","28,297",451,"Apr 1, 2024, 10:23 AM GMT+9",trailofbits,https://github.com/trailofbits/algo,https://avatars.githubusercontent.com/u/2314423?s=48&v=4
90DaysOfDevOps,"6,116","25,796",526,"Apr 15, 2024, 8:24 PM GMT+9",MichaelCade,https://github.com/MichaelCade/90DaysOfDevOps,https://avatars.githubusercontent.com/u/11822323?s=48&v=4
streisand,"1,994","23,106",629,"Feb 19, 2020, 10:48 PM GMT+9",StreisandEffect,https://github.com/StreisandEffect/streisand,https://avatars.githubusercontent.com/u/32347203?s=48&v=4
kubespray,"6,284","15,326",318,"Apr 17, 2024, 11:33 AM GMT+9",kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray,https://avatars.githubusercontent.com/u/36015203?s=48&v=4
awx,"3,324","13,399",374,"Apr 19, 2024, 4:17 AM GMT+9",ansible,https://github.com/ansible/awx,https://avatars.githubusercontent.com/u/1507452?s=48&v=4
kubeasz,"3,404","10,052",345,"Feb 15, 2024, 10:07 PM GMT+9",easzlab,https://github.com/easzlab/kubeasz,https://avatars.githubusercontent.com/u/50279736?s=48&v=4
semaphore,959,"9,283",219,"Apr 15, 2024, 5:08 PM GMT+9",semaphoreui,https://github.com/semaphoreui/semaphore,https://avatars.githubusercontent.com/u/98574287?s=48&v=4
ansible-for-devops,"3,311","7,995",367,"Jun 30, 2023, 1:03 AM GMT+9",geerlingguy,https://github.com/geerlingguy/ansible-for-devops,https://avatars.githubusercontent.com/u/481677?s=48&v=4
netboot.xyz,622,"7,877",106,"Apr 19, 2024, 1:17 PM GMT+9",netbootxyz,https://github.com/netbootxyz/netboot.xyz,https://avatars.githubusercontent.com/u/16745498?s=48&v=4
homelab,675,"7,713",80,"Apr 18, 2024, 10:11 PM GMT+9",khuedoan,https://github.com/khuedoan/homelab,https://avatars.githubusercontent.com/u/27996771?s=48&v=4
DevOps-Guide,"1,550","7,640",193,"Nov 25, 2023, 5:07 PM GMT+9",Tikam02,https://github.com/Tikam02/DevOps-Guide,https://avatars.githubusercontent.com/u/10548085?s=48&v=4
mac-dev-playbook,"1,723","5,782",153,"Feb 4, 2024, 1:09 PM GMT+9",geerlingguy,https://github.com/geerlingguy/mac-dev-playbook,https://avatars.githubusercontent.com/u/481677?s=48&v=4
rundeck,893,"5,308",203,"Apr 19, 2024, 12:05 AM GMT+9",rundeck,https://github.com/rundeck/rundeck,https://avatars.githubusercontent.com/u/2205640?s=48&v=4
KubeOperator,867,"4,933",149,"Dec 28, 2023, 5:55 PM GMT+9",KubeOperator,https://github.com/KubeOperator/KubeOperator,https://avatars.githubusercontent.com/u/52770786?s=48&v=4
DetectionLab,967,"4,500",150,"Mar 27, 2023, 2:51 PM GMT+9",clong,https://github.com/clong/DetectionLab,https://avatars.githubusercontent.com/u/5092699?s=48&v=4
molecule,647,"3,802",113,"Apr 16, 2024, 1:52 AM GMT+9",ansible,https://github.com/ansible/molecule,https://avatars.githubusercontent.com/u/1507452?s=48&v=4
ansible-collection-hardening,693,"3,667",116,"Mar 26, 2024, 7:03 AM GMT+9",dev-sec,https://github.com/dev-sec/ansible-collection-hardening,https://avatars.githubusercontent.com/u/11883542?s=48&v=4
boilerplates,"1,314","3,622",87,"Apr 19, 2024, 3:30 AM GMT+9",ChristianLempa,https://github.com/ChristianLempa/boilerplates,https://avatars.githubusercontent.com/u/28359525?s=48&v=4
