title,fork,stars,watch,recent_time,writer,url,img
mlflow,"3,923","17,224",289,"Apr 19, 2024, 4:15 PM GMT+9",mlflow,https://github.com/mlflow/mlflow,https://avatars.githubusercontent.com/u/39938107?s=48&v=4
SynapseML,811,"4,966",147,"Apr 19, 2024, 4:57 AM GMT+9",microsoft,https://github.com/microsoft/SynapseML,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
lakeFS,329,"4,058",40,"Apr 17, 2024, 11:56 PM GMT+9",treeverse,https://github.com/treeverse/lakeFS,https://avatars.githubusercontent.com/u/58909255?s=48&v=4
CoolplaySpark,"1,409","3,446",443,"May 18, 2022, 5:55 PM GMT+9",lw-lin,https://github.com/lw-lin/CoolplaySpark,https://avatars.githubusercontent.com/u/15843379?s=48&v=4
spark-notebook,654,"3,146",190,"Mar 30, 2021, 5:57 PM GMT+9",spark-notebook,https://github.com/spark-notebook/spark-notebook,https://avatars.githubusercontent.com/u/19255369?s=48&v=4
BigDL-2.x,730,"2,632",108,"Apr 11, 2024, 12:14 PM GMT+9",intel-analytics,https://github.com/intel-analytics/BigDL-2.x,https://avatars.githubusercontent.com/u/10941215?s=48&v=4
spark-operator,"1,319","2,605",88,"Apr 19, 2024, 4:06 PM GMT+9",kubeflow,https://github.com/kubeflow/spark-operator,https://avatars.githubusercontent.com/u/33164907?s=48&v=4
docker-spark,698,"2,011",106,"Jul 2, 2022, 6:46 AM GMT+9",big-data-europe,https://github.com/big-data-europe/docker-spark,https://avatars.githubusercontent.com/u/12557557?s=48&v=4
spark,308,"1,996",91,"Feb 18, 2023, 6:56 AM GMT+9",dotnet,https://github.com/dotnet/spark,https://avatars.githubusercontent.com/u/9141961?s=48&v=4
feathr,256,"1,927",84,"Mar 27, 2024, 3:59 AM GMT+9",feathr-ai,https://github.com/feathr-ai/feathr,https://avatars.githubusercontent.com/u/112728635?s=48&v=4
oryx,405,"1,786",209,"Jul 14, 2021, 9:53 PM GMT+9",OryxProject,https://github.com/OryxProject/oryx,https://avatars.githubusercontent.com/u/8270649?s=48&v=4
awesome-spark,322,"1,609",83,"Apr 18, 2023, 12:53 PM GMT+9",awesome-spark,https://github.com/awesome-spark/awesome-spark,https://avatars.githubusercontent.com/u/17198020?s=48&v=4
apache-spark-internals,448,"1,431",135,"Apr 17, 2024, 4:53 AM GMT+9",japila-books,https://github.com/japila-books/apache-spark-internals,https://avatars.githubusercontent.com/u/59290297?s=48&v=4
goodreads_etl_pipeline,205,"1,219",25,"Mar 9, 2020, 9:59 AM GMT+9",san089,https://github.com/san089/goodreads_etl_pipeline,https://avatars.githubusercontent.com/u/43350006?s=48&v=4
sparkit-learn,253,"1,147",90,"Oct 24, 2017, 7:08 PM GMT+9",lensacom,https://github.com/lensacom/sparkit-learn,https://avatars.githubusercontent.com/u/7721306?s=48&v=4
LearningSparkV2,683,"1,088",41,"Dec 13, 2021, 6:20 AM GMT+9",databricks,https://github.com/databricks/LearningSparkV2,https://avatars.githubusercontent.com/u/4998052?s=48&v=4
spark-sklearn,232,"1,077",94,"Dec 4, 2019, 3:37 AM GMT+9",databricks,https://github.com/databricks/spark-sklearn,https://avatars.githubusercontent.com/u/4998052?s=48&v=4
SQL-Data-Analysis-and-Visualization-Projects,458,"1,062",21,"Apr 14, 2022, 8:37 PM GMT+9",ptyadana,https://github.com/ptyadana/SQL-Data-Analysis-and-Visualization-Projects,https://avatars.githubusercontent.com/u/656931?s=48&v=4
data-algorithms-book,662,"1,057",132,"Dec 28, 2021, 7:20 PM GMT+9",mahmoudparsian,https://github.com/mahmoudparsian/data-algorithms-book,https://avatars.githubusercontent.com/u/2573520?s=48&v=4
Mobius,212,936,145,"Jan 31, 2024, 4:45 AM GMT+9",microsoft,https://github.com/microsoft/Mobius,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
