title,fork,stars,watch,recent_time,writer,url,img
devops-exercises,"13,869","63,301","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises,https://avatars.githubusercontent.com/u/10349437?s=48&v=4
generative-ai-for-beginners,"22,752","41,957",364,"Apr 19, 2024, 4:33 PM GMT+9",microsoft,https://github.com/microsoft/generative-ai-for-beginners,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
pulumi,"1,031","19,680",188,"Apr 19, 2024, 3:20 PM GMT+9",pulumi,https://github.com/pulumi/pulumi,https://avatars.githubusercontent.com/u/21992475?s=48&v=4
recommenders,"2,987","17,931",271,"Apr 6, 2024, 3:42 AM GMT+9",recommenders-team,https://github.com/recommenders-team/recommenders,https://avatars.githubusercontent.com/u/142452264?s=48&v=4
sops,807,"15,068",116,"Apr 15, 2024, 2:01 AM GMT+9",getsops,https://github.com/getsops/sops,https://avatars.githubusercontent.com/u/129185620?s=48&v=4
awesome-kubernetes,"2,252","14,714",468,"Apr 18, 2024, 1:51 PM GMT+9",ramitsurana,https://github.com/ramitsurana/awesome-kubernetes,https://avatars.githubusercontent.com/u/8342133?s=48&v=4
azure-quickstart-templates,"15,935","13,703",734,"Jul 6, 2022, 4:21 AM GMT+9",Azure,https://github.com/Azure/azure-quickstart-templates,https://avatars.githubusercontent.com/u/6844498?s=48&v=4
caprover,778,"12,146",144,"Feb 27, 2024, 1:37 PM GMT+9",caprover,https://github.com/caprover/caprover,https://avatars.githubusercontent.com/u/46361891?s=48&v=4
LibreChat,"1,891","10,480",85,"Apr 18, 2024, 9:27 PM GMT+9",danny-avila,https://github.com/danny-avila/LibreChat,https://avatars.githubusercontent.com/u/110412045?s=48&v=4
infracost,513,"10,239",69,"Apr 19, 2024, 5:28 PM GMT+9",infracost,https://github.com/infracost/infracost,https://avatars.githubusercontent.com/u/68374653?s=48&v=4
prowler,"1,386","9,518",117,"Apr 19, 2024, 3:35 PM GMT+9",prowler-cloud,https://github.com/prowler-cloud/prowler,https://avatars.githubusercontent.com/u/97106991?s=48&v=4
DevOps-Roadmap,"1,473","9,396",160,"Feb 6, 2024, 8:22 PM GMT+9",milanm,https://github.com/milanm/DevOps-Roadmap,https://avatars.githubusercontent.com/u/578450?s=48&v=4
go-cloud,793,"9,379",221,"Mar 22, 2024, 1:47 AM GMT+9",google,https://github.com/google/go-cloud,https://avatars.githubusercontent.com/u/1342004?s=48&v=4
computervision-recipes,"1,154","9,283",285,"Nov 1, 2022, 2:12 AM GMT+9",microsoft,https://github.com/microsoft/computervision-recipes,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
docker-android,"1,131","8,013",163,"Mar 21, 2024, 3:58 PM GMT+9",budtmo,https://github.com/budtmo/docker-android,https://avatars.githubusercontent.com/u/22218312?s=48&v=4
metaflow,715,"7,567",278,"Apr 12, 2024, 5:56 AM GMT+9",Netflix,https://github.com/Netflix/metaflow,https://avatars.githubusercontent.com/u/913567?s=48&v=4
azuredatastudio,868,"7,437",273,"Apr 18, 2024, 8:45 AM GMT+9",microsoft,https://github.com/microsoft/azuredatastudio,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
midway,558,"7,150",104,"Apr 19, 2024, 4:53 PM GMT+9",midwayjs,https://github.com/midwayjs/midway,https://avatars.githubusercontent.com/u/32128461?s=48&v=4
formidable,679,"6,939",112,"Aug 25, 2023, 11:21 PM GMT+9",node-formidable,https://github.com/node-formidable/formidable,https://avatars.githubusercontent.com/u/43678974?s=48&v=4
clean-code-dotnet,"1,056","6,777",279,"Feb 10, 2024, 4:07 PM GMT+9",thangchung,https://github.com/thangchung/clean-code-dotnet,https://avatars.githubusercontent.com/u/422341?s=48&v=4
