title,fork,stars,watch,recent_time,writer,url,img
scrcpy,"9,907","101,650","1,207","Apr 3, 2024, 1:01 AM GMT+9",Genymobile,https://github.com/Genymobile/scrcpy,https://avatars.githubusercontent.com/u/3427627?s=48&v=4
neovim,"5,267","76,308",984,"Apr 19, 2024, 4:11 PM GMT+9",neovim,https://github.com/neovim/neovim,https://avatars.githubusercontent.com/u/6471485?s=48&v=4
obs-studio,"7,518","55,431","1,446","Apr 19, 2024, 6:26 AM GMT+9",obsproject,https://github.com/obsproject/obs-studio,https://avatars.githubusercontent.com/u/7725691?s=48&v=4
awesome-cpp,"7,626","55,394","2,036","Apr 17, 2024, 1:13 AM GMT+9",fffaraz,https://github.com/fffaraz/awesome-cpp,https://avatars.githubusercontent.com/u/895678?s=48&v=4
git,"25,068","49,855","2,391","Apr 17, 2024, 6:50 AM GMT+9",git,https://github.com/git/git,https://avatars.githubusercontent.com/u/18133?s=48&v=4
FFmpeg,"11,673","42,262","1,418","Apr 19, 2024, 4:00 PM GMT+9",FFmpeg,https://github.com/FFmpeg/FFmpeg,https://avatars.githubusercontent.com/u/729418?s=48&v=4
open-source-mac-os-apps,"2,255","39,402",971,"Nov 3, 2023, 8:46 AM GMT+9",serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps,https://avatars.githubusercontent.com/u/15808174?s=48&v=4
vim,"5,216","34,893",674,"Apr 19, 2024, 6:53 AM GMT+9",vim,https://github.com/vim/vim,https://avatars.githubusercontent.com/u/11618545?s=48&v=4
curl,"6,138","34,109",773,"Apr 19, 2024, 5:24 AM GMT+9",curl,https://github.com/curl/curl,https://avatars.githubusercontent.com/u/16928085?s=48&v=4
interview,"7,823","33,019",870,"Jun 20, 2023, 10:28 PM GMT+9",huihut,https://github.com/huihut/interview,https://avatars.githubusercontent.com/u/23519480?s=48&v=4
mpv,"2,785","25,874",493,"Apr 19, 2024, 10:32 AM GMT+9",mpv-player,https://github.com/mpv-player/mpv,https://avatars.githubusercontent.com/u/2550273?s=48&v=4
the_silver_searcher,"1,380","25,705",428,"Dec 17, 2020, 10:09 AM GMT+9",ggreer,https://github.com/ggreer/the_silver_searcher,https://avatars.githubusercontent.com/u/200121?s=48&v=4
srs,"5,229","24,164",846,"Apr 3, 2024, 4:06 PM GMT+9",ossrs,https://github.com/ossrs/srs,https://avatars.githubusercontent.com/u/12165287?s=48&v=4
flatbuffers,"3,157","22,007",642,"Apr 18, 2024, 2:06 PM GMT+9",google,https://github.com/google/flatbuffers,https://avatars.githubusercontent.com/u/1342004?s=48&v=4
kitty,894,"21,902",182,"Apr 19, 2024, 2:35 PM GMT+9",kovidgoyal,https://github.com/kovidgoyal/kitty,https://avatars.githubusercontent.com/u/1308621?s=48&v=4
ruby,"5,246","21,518","1,106","Apr 19, 2024, 3:10 PM GMT+9",ruby,https://github.com/ruby/ruby,https://avatars.githubusercontent.com/u/210414?s=48&v=4
vcpkg,"5,979","21,438",425,"Apr 19, 2024, 8:52 AM GMT+9",microsoft,https://github.com/microsoft/vcpkg,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
hashcat,"2,740","19,837",505,"Feb 16, 2024, 6:29 PM GMT+9",hashcat,https://github.com/hashcat/hashcat,https://avatars.githubusercontent.com/u/15949799?s=48&v=4
radare2,"2,935","19,589",486,"Apr 18, 2024, 7:50 PM GMT+9",radareorg,https://github.com/radareorg/radare2,https://avatars.githubusercontent.com/u/2842539?s=48&v=4
raylib,"1,963","18,768",275,"Apr 19, 2024, 3:43 PM GMT+9",raysan5,https://github.com/raysan5/raylib,https://avatars.githubusercontent.com/u/5766837?s=48&v=4
