title,fork,stars,watch,recent_time,writer,url,img
hashcat,"2,740","19,838",505,"Sep 3, 2022, 12:01 AM GMT+9",hashcat,https://github.com/hashcat/hashcat,https://avatars.githubusercontent.com/u/15949799?s=48&v=4
vllm,"2,353","17,946",178,"Apr 19, 2024, 5:18 PM GMT+9",vllm-project,https://github.com/vllm-project/vllm,https://avatars.githubusercontent.com/u/136984999?s=48&v=4
nvidia-docker,"2,033","17,077",447,"Dec 6, 2023, 6:16 PM GMT+9",NVIDIA,https://github.com/NVIDIA/nvidia-docker,https://avatars.githubusercontent.com/u/1728152?s=48&v=4
instant-ngp,"1,863","15,311",199,"Feb 5, 2024, 5:26 PM GMT+9",NVlabs,https://github.com/NVlabs/instant-ngp,https://avatars.githubusercontent.com/u/2695301?s=48&v=4
kaldi,"5,266","13,687",701,"Jan 31, 2024, 8:21 PM GMT+9",kaldi-asr,https://github.com/kaldi-asr/kaldi,https://avatars.githubusercontent.com/u/11650082?s=48&v=4
Open3D,"2,187","10,443",195,"Jan 5, 2024, 10:18 AM GMT+9",isl-org,https://github.com/isl-org/Open3D,https://avatars.githubusercontent.com/u/23507030?s=48&v=4
numba,"1,097","9,417",201,"Apr 17, 2024, 5:32 AM GMT+9",numba,https://github.com/numba/numba,https://avatars.githubusercontent.com/u/1628082?s=48&v=4
cupy,760,"7,759",126,"Apr 19, 2024, 4:40 PM GMT+9",cupy,https://github.com/cupy/cupy,https://avatars.githubusercontent.com/u/23187665?s=48&v=4
catboost,"1,145","7,733",192,"Apr 19, 2024, 2:02 AM GMT+9",catboost,https://github.com/catboost/catboost,https://avatars.githubusercontent.com/u/29043415?s=48&v=4
tachyon,211,"7,731",53,"Apr 18, 2024, 11:23 PM GMT+9",kroma-network,https://github.com/kroma-network/tachyon,https://avatars.githubusercontent.com/u/126645000?s=48&v=4
ZLUDA,459,"7,566",99,"Apr 14, 2024, 9:39 AM GMT+9",vosen,https://github.com/vosen/ZLUDA,https://avatars.githubusercontent.com/u/1206376?s=48&v=4
cudf,830,"7,264",146,"Apr 19, 2024, 8:50 AM GMT+9",rapidsai,https://github.com/rapidsai/cudf,https://avatars.githubusercontent.com/u/43887749?s=48&v=4
cog,478,"7,084",64,"Apr 18, 2024, 1:26 AM GMT+9",replicate,https://github.com/replicate/cog,https://avatars.githubusercontent.com/u/60410876?s=48&v=4
gocv,847,"6,279",154,"Apr 5, 2024, 3:05 PM GMT+9",hybridgroup,https://github.com/hybridgroup/gocv,https://avatars.githubusercontent.com/u/212109?s=48&v=4
chainer,"1,368","5,863",289,"Oct 17, 2022, 11:18 AM GMT+9",chainer,https://github.com/chainer/chainer,https://avatars.githubusercontent.com/u/23183003?s=48&v=4
oneflow,649,"5,717",145,"Apr 18, 2024, 4:30 PM GMT+9",Oneflow-Inc,https://github.com/Oneflow-Inc/oneflow,https://avatars.githubusercontent.com/u/24632470?s=48&v=4
cuda-samples,"1,624","5,288",110,"Apr 11, 2024, 4:44 AM GMT+9",NVIDIA,https://github.com/NVIDIA/cuda-samples,https://avatars.githubusercontent.com/u/1728152?s=48&v=4
GPU-Puzzles,271,"5,004",27,"Oct 16, 2023, 4:32 AM GMT+9",srush,https://github.com/srush/GPU-Puzzles,https://avatars.githubusercontent.com/u/35882?s=48&v=4
thrust,757,"4,843",205,"Oct 10, 2023, 2:40 AM GMT+9",NVIDIA,https://github.com/NVIDIA/thrust,https://avatars.githubusercontent.com/u/1728152?s=48&v=4
Tengine,992,"4,544",229,"May 18, 2023, 3:17 PM GMT+9",OAID,https://github.com/OAID/Tengine,https://avatars.githubusercontent.com/u/29125077?s=48&v=4
