title,fork,stars,watch,recent_time,writer,url,img
mall,"28,253","75,287","2,233","Apr 18, 2024, 11:01 AM GMT+9",macrozheng,https://github.com/macrozheng/mall,https://avatars.githubusercontent.com/u/15903809?s=48&v=4
netdata,"5,714","68,058","1,354","Apr 19, 2024, 5:28 PM GMT+9",netdata,https://github.com/netdata/netdata,https://avatars.githubusercontent.com/u/43390781?s=48&v=4
moby,"18,526","67,688","2,909","Apr 19, 2024, 12:50 AM GMT+9",moby,https://github.com/moby/moby,https://avatars.githubusercontent.com/u/27259197?s=48&v=4
devops-exercises,"13,869","63,301","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises,https://avatars.githubusercontent.com/u/10349437?s=48&v=4
uptime-kuma,"4,384","49,080",258,"Apr 16, 2024, 11:59 PM GMT+9",louislam,https://github.com/louislam/uptime-kuma,https://avatars.githubusercontent.com/u/1336778?s=48&v=4
traefik,"4,843","47,727",676,"Apr 4, 2024, 3:32 AM GMT+9",traefik,https://github.com/traefik/traefik,https://avatars.githubusercontent.com/u/14280338?s=48&v=4
mastodon,"6,711","45,875",712,"Apr 19, 2024, 1:24 AM GMT+9",mastodon,https://github.com/mastodon/mastodon,https://avatars.githubusercontent.com/u/24979032?s=48&v=4
gogs,"4,800","44,103","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs,https://avatars.githubusercontent.com/u/6656686?s=48&v=4
dive,"1,651","43,486",350,"Feb 3, 2024, 12:27 AM GMT+9",wagoodman,https://github.com/wagoodman/dive,https://avatars.githubusercontent.com/u/590471?s=48&v=4
appwrite,"3,691","40,907",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite,https://avatars.githubusercontent.com/u/25003669?s=48&v=4
n8n,"4,950","40,466",333,"Apr 19, 2024, 5:26 PM GMT+9",n8n-io,https://github.com/n8n-io/n8n,https://avatars.githubusercontent.com/u/45487711?s=48&v=4
awesome-cheatsheets,"5,908","37,459",719,"Apr 15, 2024, 5:53 PM GMT+9",LeCoupa,https://github.com/LeCoupa/awesome-cheatsheets,https://avatars.githubusercontent.com/u/1658644?s=48&v=4
kong,"4,678","37,459","1,009","Apr 19, 2024, 4:19 PM GMT+9",Kong,https://github.com/Kong/kong,https://avatars.githubusercontent.com/u/962416?s=48&v=4
Docker-OSX,"1,733","35,200",376,"Apr 8, 2024, 11:36 PM GMT+9",sickcodes,https://github.com/sickcodes/Docker-OSX,https://avatars.githubusercontent.com/u/65906298?s=48&v=4
vaultwarden,"1,617","32,775",230,"Apr 6, 2024, 9:42 PM GMT+9",dani-garcia,https://github.com/dani-garcia/vaultwarden,https://avatars.githubusercontent.com/u/725423?s=48&v=4
compose,"5,044","32,318",718,"Apr 19, 2024, 4:54 PM GMT+9",docker,https://github.com/docker/compose,https://avatars.githubusercontent.com/u/5429470?s=48&v=4
quivr,"3,104","32,121",269,"Apr 19, 2024, 7:17 AM GMT+9",QuivrHQ,https://github.com/QuivrHQ/quivr,https://avatars.githubusercontent.com/u/159330290?s=48&v=4
gitness,"2,750","31,383",552,"Apr 19, 2024, 4:44 PM GMT+9",harness,https://github.com/harness/gitness,https://avatars.githubusercontent.com/u/34780278?s=48&v=4
spring-boot-examples,"12,331","29,898","1,329","Dec 29, 2022, 11:11 AM GMT+9",ityouknow,https://github.com/ityouknow/spring-boot-examples,https://avatars.githubusercontent.com/u/4979648?s=48&v=4
portainer,"2,343","28,737",474,"Apr 19, 2024, 2:33 PM GMT+9",portainer,https://github.com/portainer/portainer,https://avatars.githubusercontent.com/u/22225832?s=48&v=4
