title,fork,stars,watch,recent_time,writer,url,img
fastapi,"5,930","70,707",663,"Apr 19, 2024, 10:03 AM GMT+9",tiangolo,https://github.com/tiangolo/fastapi,https://avatars.githubusercontent.com/u/1326112?s=48&v=4
full-stack-fastapi-template,"3,729","22,774",262,"Apr 16, 2024, 11:57 PM GMT+9",tiangolo,https://github.com/tiangolo/full-stack-fastapi-template,https://avatars.githubusercontent.com/u/1326112?s=48&v=4
Hello-Python,"1,472","21,948",435,"Apr 5, 2024, 10:15 PM GMT+9",mouredev,https://github.com/mouredev/Hello-Python,https://avatars.githubusercontent.com/u/17043402?s=48&v=4
jina,"2,182","20,002",207,"Apr 11, 2024, 8:04 AM GMT+9",jina-ai,https://github.com/jina-ai/jina,https://avatars.githubusercontent.com/u/60539444?s=48&v=4
sqlmodel,582,"12,908",151,"Apr 9, 2024, 8:08 AM GMT+9",tiangolo,https://github.com/tiangolo/sqlmodel,https://avatars.githubusercontent.com/u/1326112?s=48&v=4
awesome-fastapi,589,"7,460",142,"Dec 3, 2023, 12:26 AM GMT+9",mjhea0,https://github.com/mjhea0/awesome-fastapi,https://avatars.githubusercontent.com/u/2018167?s=48&v=4
FastUI,280,"7,223",56,"Feb 28, 2024, 4:33 AM GMT+9",pydantic,https://github.com/pydantic/FastUI,https://avatars.githubusercontent.com/u/110818415?s=48&v=4
fastapi-best-practices,512,"6,902",107,"Oct 22, 2023, 5:35 PM GMT+9",zhanymkanov,https://github.com/zhanymkanov/fastapi-best-practices,https://avatars.githubusercontent.com/u/22341602?s=48&v=4
Douyin_TikTok_Download_API,"1,068","6,736",59,"Apr 16, 2024, 8:01 AM GMT+9",Evil0ctal,https://github.com/Evil0ctal/Douyin_TikTok_Download_API,https://avatars.githubusercontent.com/u/20760448?s=48&v=4
serge,393,"5,531",56,"Apr 16, 2024, 9:13 AM GMT+9",serge-chat,https://github.com/serge-chat/serge,https://avatars.githubusercontent.com/u/135821135?s=48&v=4
nonebot2,523,"5,462",29,"Apr 19, 2024, 12:49 PM GMT+9",nonebot,https://github.com/nonebot/nonebot2,https://avatars.githubusercontent.com/u/63496654?s=48&v=4
atrilabs-engine,179,"4,141",23,"Jun 29, 2023, 11:50 AM GMT+9",Atri-Labs,https://github.com/Atri-Labs/atrilabs-engine,https://avatars.githubusercontent.com/u/97790981?s=48&v=4
fastapi-users,356,"4,040",41,"Mar 11, 2024, 10:16 PM GMT+9",fastapi-users,https://github.com/fastapi-users/fastapi-users,https://avatars.githubusercontent.com/u/89578248?s=48&v=4
chatgpt-web-share,637,"4,025",32,"Mar 12, 2024, 7:37 PM GMT+9",chatpire,https://github.com/chatpire/chatgpt-web-share,https://avatars.githubusercontent.com/u/129027022?s=48&v=4
strawberry,496,"3,752",41,"Apr 19, 2024, 6:40 AM GMT+9",strawberry-graphql,https://github.com/strawberry-graphql/strawberry,https://avatars.githubusercontent.com/u/48071860?s=48&v=4
dynaconf,287,"3,513",34,"Mar 26, 2024, 2:08 AM GMT+9",dynaconf,https://github.com/dynaconf/dynaconf,https://avatars.githubusercontent.com/u/108943737?s=48&v=4
poem,255,"3,194",40,"Mar 30, 2024, 6:25 PM GMT+9",poem-web,https://github.com/poem-web/poem,https://avatars.githubusercontent.com/u/88869778?s=48&v=4
FileCodeBox,384,"3,185",15,"Apr 9, 2024, 11:45 AM GMT+9",vastsa,https://github.com/vastsa/FileCodeBox,https://avatars.githubusercontent.com/u/48862574?s=48&v=4
opyrator,156,"3,012",48,"May 1, 2021, 10:59 PM GMT+9",ml-tooling,https://github.com/ml-tooling/opyrator,https://avatars.githubusercontent.com/u/45942048?s=48&v=4
hatchet,93,"2,758",8,"Apr 19, 2024, 10:46 AM GMT+9",hatchet-dev,https://github.com/hatchet-dev/hatchet,https://avatars.githubusercontent.com/u/118301880?s=48&v=4
