title,fork,stars,watch,recent_time,writer,url,img
pulumi,"1,031","19,680",188,"Apr 19, 2024, 3:20 PM GMT+9",pulumi,https://github.com/pulumi/pulumi,https://avatars.githubusercontent.com/u/21992475?s=48&v=4
microservices-demo,"6,452","15,752",220,"Apr 19, 2024, 6:21 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/microservices-demo,https://avatars.githubusercontent.com/u/2810941?s=48&v=4
sops,807,"15,068",116,"Apr 15, 2024, 2:01 AM GMT+9",getsops,https://github.com/getsops/sops,https://avatars.githubusercontent.com/u/129185620?s=48&v=4
terraformer,"1,571","11,744",128,"Mar 6, 2024, 8:25 PM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/terraformer,https://avatars.githubusercontent.com/u/2810941?s=48&v=4
infracost,513,"10,239",69,"Apr 19, 2024, 5:28 PM GMT+9",infracost,https://github.com/infracost/infracost,https://avatars.githubusercontent.com/u/68374653?s=48&v=4
prowler,"1,386","9,518",117,"Apr 19, 2024, 3:35 PM GMT+9",prowler-cloud,https://github.com/prowler-cloud/prowler,https://avatars.githubusercontent.com/u/97106991?s=48&v=4
go-cloud,793,"9,379",221,"Mar 22, 2024, 1:47 AM GMT+9",google,https://github.com/google/go-cloud,https://avatars.githubusercontent.com/u/1342004?s=48&v=4
docker-android,"1,131","8,013",163,"Mar 21, 2024, 3:58 PM GMT+9",budtmo,https://github.com/budtmo/docker-android,https://avatars.githubusercontent.com/u/22218312?s=48&v=4
metaflow,715,"7,567",278,"Apr 12, 2024, 5:56 AM GMT+9",Netflix,https://github.com/Netflix/metaflow,https://avatars.githubusercontent.com/u/913567?s=48&v=4
external-dns,"2,479","7,242",104,"Apr 19, 2024, 1:19 AM GMT+9",kubernetes-sigs,https://github.com/kubernetes-sigs/external-dns,https://avatars.githubusercontent.com/u/36015203?s=48&v=4
checkov,"1,035","6,504",57,"Apr 19, 2024, 8:01 AM GMT+9",bridgecrewio,https://github.com/bridgecrewio/checkov,https://avatars.githubusercontent.com/u/48174253?s=48&v=4
steampipe,244,"6,379",39,"Apr 18, 2024, 12:52 AM GMT+9",turbot,https://github.com/turbot/steampipe,https://avatars.githubusercontent.com/u/38865304?s=48&v=4
ScoutSuite,996,"6,154",127,"Sep 22, 2023, 5:01 PM GMT+9",nccgroup,https://github.com/nccgroup/ScoutSuite,https://avatars.githubusercontent.com/u/4067082?s=48&v=4
rowy,470,"5,664",59,"Jan 2, 2024, 9:07 PM GMT+9",rowyio,https://github.com/rowyio/rowy,https://avatars.githubusercontent.com/u/50760181?s=48&v=4
cloudquery,484,"5,577",59,"Apr 19, 2024, 3:44 AM GMT+9",cloudquery,https://github.com/cloudquery/cloudquery,https://avatars.githubusercontent.com/u/74616112?s=48&v=4
generative-ai,"1,248","5,334",121,"Apr 19, 2024, 5:27 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/generative-ai,https://avatars.githubusercontent.com/u/2810941?s=48&v=4
DevSecOps,922,"5,266",150,"Feb 20, 2024, 3:31 AM GMT+9",sottlmarek,https://github.com/sottlmarek/DevSecOps,https://avatars.githubusercontent.com/u/40571887?s=48&v=4
cloud-custodian,"1,427","5,200",165,"Apr 16, 2024, 10:48 PM GMT+9",cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,https://avatars.githubusercontent.com/u/38811484?s=48&v=4
wild-workouts-go-ddd-example,451,"4,874",88,"Jul 10, 2023, 3:53 PM GMT+9",ThreeDotsLabs,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example,https://avatars.githubusercontent.com/u/16671995?s=48&v=4
opencost,507,"4,707",45,"Apr 17, 2024, 1:45 AM GMT+9",opencost,https://github.com/opencost/opencost,https://avatars.githubusercontent.com/u/105945214?s=48&v=4
