title,fork,stars,watch,recent_time,writer,url,img
gradle,"4,486","16,110",519,"Apr 18, 2024, 10:15 PM GMT+9",gradle,https://github.com/gradle/gradle,https://avatars.githubusercontent.com/u/124156?s=48&v=4
jib,"1,415","13,376",327,"Apr 6, 2024, 10:30 AM GMT+9",GoogleContainerTools,https://github.com/GoogleContainerTools/jib,https://avatars.githubusercontent.com/u/38444003?s=48&v=4
AndroidDevTools,"2,079","7,721",666,"Nov 18, 2020, 11:26 AM GMT+9",inferjay,https://github.com/inferjay/AndroidDevTools,https://avatars.githubusercontent.com/u/1520409?s=48&v=4
walle,"1,064","6,700",159,"Dec 11, 2020, 6:47 PM GMT+9",Meituan-Dianping,https://github.com/Meituan-Dianping/walle,https://avatars.githubusercontent.com/u/20238146?s=48&v=4
baritone,"1,380","6,601",115,"Mar 29, 2024, 11:25 AM GMT+9",cabaletta,https://github.com/cabaletta/baritone,https://avatars.githubusercontent.com/u/41924544?s=48&v=4
android-showcase,892,"6,347",118,"Apr 18, 2024, 2:40 AM GMT+9",igorwojda,https://github.com/igorwojda/android-showcase,https://avatars.githubusercontent.com/u/530122?s=48&v=4
hibernate-orm,"3,443","5,741",305,"Apr 19, 2024, 10:04 AM GMT+9",hibernate,https://github.com/hibernate/hibernate-orm,https://avatars.githubusercontent.com/u/348262?s=48&v=4
packer-ng-plugin,861,"4,824",200,"Jun 27, 2022, 10:21 PM GMT+9",mcxiaoke,https://github.com/mcxiaoke/packer-ng-plugin,https://avatars.githubusercontent.com/u/464330?s=48&v=4
android-tips-tricks,577,"4,711",276,"Sep 11, 2023, 5:25 AM GMT+9",nisrulz,https://github.com/nisrulz/android-tips-tricks,https://avatars.githubusercontent.com/u/2096087?s=48&v=4
Robust,800,"4,387",151,"Apr 13, 2020, 10:52 PM GMT+9",Meituan-Dianping,https://github.com/Meituan-Dianping/Robust,https://avatars.githubusercontent.com/u/20238146?s=48&v=4
spotless,425,"4,154",30,"Apr 8, 2024, 7:45 AM GMT+9",diffplug,https://github.com/diffplug/spotless,https://avatars.githubusercontent.com/u/6572898?s=48&v=4
dryrun,280,"3,823",83,"Nov 26, 2020, 4:24 AM GMT+9",cesarferreira,https://github.com/cesarferreira/dryrun,https://avatars.githubusercontent.com/u/277426?s=48&v=4
kotlin-dsl-samples,430,"3,705",137,"Aug 1, 2020, 4:33 AM GMT+9",gradle,https://github.com/gradle/kotlin-dsl-samples,https://avatars.githubusercontent.com/u/124156?s=48&v=4
kotlin-examples,"1,045","3,197",184,"Jan 23, 2024, 12:22 AM GMT+9",Kotlin,https://github.com/Kotlin/kotlin-examples,https://avatars.githubusercontent.com/u/1446536?s=48&v=4
ByteX,456,"3,073",79,"Jul 22, 2021, 11:54 AM GMT+9",bytedance,https://github.com/bytedance/ByteX,https://avatars.githubusercontent.com/u/4158466?s=48&v=4
dexcount-gradle-plugin,247,"3,053",71,"Nov 1, 2023, 3:13 AM GMT+9",KeepSafe,https://github.com/KeepSafe/dexcount-gradle-plugin,https://avatars.githubusercontent.com/u/1377248?s=48&v=4
WorldEdit,817,"2,982",101,"Apr 4, 2024, 2:04 PM GMT+9",EngineHub,https://github.com/EngineHub/WorldEdit,https://avatars.githubusercontent.com/u/3753025?s=48&v=4
VasDolly,377,"2,982",62,"Feb 8, 2023, 11:25 AM GMT+9",Tencent,https://github.com/Tencent/VasDolly,https://avatars.githubusercontent.com/u/18461506?s=48&v=4
T-MVP,632,"2,708",149,"Dec 27, 2018, 10:35 AM GMT+9",north2016,https://github.com/north2016/T-MVP,https://avatars.githubusercontent.com/u/7598555?s=48&v=4
ArgusAPM,425,"2,665",85,"May 9, 2019, 3:20 PM GMT+9",Qihoo360,https://github.com/Qihoo360/ArgusAPM,https://avatars.githubusercontent.com/u/4082929?s=48&v=4
