title,fork,stars,watch,recent_time,writer,url,img
CS-Notes,"50,761","172,179","5,330","Jul 20, 2023, 12:02 PM GMT+9",CyC2018,https://github.com/CyC2018/CS-Notes,https://avatars.githubusercontent.com/u/36260787?s=48&v=4
JavaGuide,"45,172","143,000","4,524","Apr 19, 2024, 4:23 PM GMT+9",Snailclimb,https://github.com/Snailclimb/JavaGuide,https://avatars.githubusercontent.com/u/29880145?s=48&v=4
java-design-patterns,"25,883","86,362","3,772","Apr 19, 2024, 3:33 AM GMT+9",iluwatar,https://github.com/iluwatar/java-design-patterns,https://avatars.githubusercontent.com/u/582346?s=48&v=4
mall,"28,254","75,287","2,233","Apr 18, 2024, 11:01 AM GMT+9",macrozheng,https://github.com/macrozheng/mall,https://avatars.githubusercontent.com/u/15903809?s=48&v=4
advanced-java,"18,825","74,196","2,597","Mar 30, 2024, 9:08 PM GMT+9",doocs,https://github.com/doocs/advanced-java,https://avatars.githubusercontent.com/u/43716716?s=48&v=4
spring-boot,"39,996","72,687","3,370","Apr 19, 2024, 4:28 PM GMT+9",spring-projects,https://github.com/spring-projects/spring-boot,https://avatars.githubusercontent.com/u/317776?s=48&v=4
elasticsearch,"24,082","67,510","2,686","Apr 19, 2024, 8:19 AM GMT+9",elastic,https://github.com/elastic/elasticsearch,https://avatars.githubusercontent.com/u/6764390?s=48&v=4
interviews,"12,702","61,514","2,601","Jun 6, 2020, 11:37 AM GMT+9",kdn251,https://github.com/kdn251/interviews,https://avatars.githubusercontent.com/u/16903644?s=48&v=4
Java,"18,520","56,599","2,215","Apr 17, 2024, 1:33 AM GMT+9",TheAlgorithms,https://github.com/TheAlgorithms/Java,https://avatars.githubusercontent.com/u/20487725?s=48&v=4
leetcode,"9,428","53,738","1,349","Apr 12, 2024, 9:43 PM GMT+9",azl397985856,https://github.com/azl397985856/leetcode,https://avatars.githubusercontent.com/u/12479470?s=48&v=4
guava,"10,745","49,361","2,398","Apr 19, 2024, 2:25 AM GMT+9",google,https://github.com/google/guava,https://avatars.githubusercontent.com/u/1342004?s=48&v=4
RxJava,"7,569","47,624","2,227","Apr 19, 2024, 4:14 PM GMT+9",ReactiveX,https://github.com/ReactiveX/RxJava,https://avatars.githubusercontent.com/u/6407041?s=48&v=4
leetcode-master,"10,819","47,126",376,"Apr 17, 2024, 11:40 AM GMT+9",youngyangyang04,https://github.com/youngyangyang04/leetcode-master,https://avatars.githubusercontent.com/u/8636020?s=48&v=4
okhttp,"9,096","45,231","1,630","Apr 18, 2024, 10:32 AM GMT+9",square,https://github.com/square/okhttp,https://avatars.githubusercontent.com/u/82592?s=48&v=4
retrofit,"7,277","42,598","1,572","Apr 13, 2024, 9:26 AM GMT+9",square,https://github.com/square/retrofit,https://avatars.githubusercontent.com/u/82592?s=48&v=4
dubbo,"26,249","40,000","3,063","Apr 16, 2024, 3:24 PM GMT+9",apache,https://github.com/apache/dubbo,https://avatars.githubusercontent.com/u/47359?s=48&v=4
jadx,"4,619","38,955",815,"Apr 16, 2024, 3:17 AM GMT+9",skylot,https://github.com/skylot/jadx,https://avatars.githubusercontent.com/u/118523?s=48&v=4
spark,"27,928","38,309","2,033","Apr 19, 2024, 4:57 PM GMT+9",apache,https://github.com/apache/spark,https://avatars.githubusercontent.com/u/47359?s=48&v=4
jeecg-boot,"14,246","37,688",844,"Apr 17, 2024, 11:43 AM GMT+9",jeecgboot,https://github.com/jeecgboot/jeecg-boot,https://avatars.githubusercontent.com/u/86360035?s=48&v=4
dbeaver,"3,234","37,293",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver,https://avatars.githubusercontent.com/u/34743864?s=48&v=4
