title,fork,stars,watch,recent_time,writer,url,img
tqdm,"1,316","27,401",208,"Feb 11, 2024, 3:11 AM GMT+9",tqdm,https://github.com/tqdm/tqdm,https://avatars.githubusercontent.com/u/12731565?s=48&v=4
data-science-ipython-notebooks,"7,720","26,447","1,620","Feb 11, 2019, 7:51 PM GMT+9",donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks,https://avatars.githubusercontent.com/u/5458997?s=48&v=4
netron,"2,657","26,031",295,"Apr 19, 2024, 10:39 AM GMT+9",lutzroeder,https://github.com/lutzroeder/netron,https://avatars.githubusercontent.com/u/438516?s=48&v=4
Mask_RCNN,"11,624","24,118",582,"Apr 1, 2019, 7:03 AM GMT+9",matterport,https://github.com/matterport/Mask_RCNN,https://avatars.githubusercontent.com/u/4206481?s=48&v=4
d2l-en,"4,106","21,613",403,"Mar 17, 2024, 7:46 AM GMT+9",d2l-ai,https://github.com/d2l-ai/d2l-en,https://avatars.githubusercontent.com/u/43974506?s=48&v=4
100-Days-Of-ML-Code,"5,427","20,778","1,088","Apr 6, 2022, 9:01 PM GMT+9",MLEveryday,https://github.com/MLEveryday/100-Days-Of-ML-Code,https://avatars.githubusercontent.com/u/42115061?s=48&v=4
ncnn,"4,053","19,168",573,"Apr 15, 2024, 12:14 PM GMT+9",Tencent,https://github.com/Tencent/ncnn,https://avatars.githubusercontent.com/u/18461506?s=48&v=4
onnx,"3,597","16,790",437,"Apr 16, 2024, 1:45 PM GMT+9",onnx,https://github.com/onnx/onnx,https://avatars.githubusercontent.com/u/31675368?s=48&v=4
Screenshot-to-code,"1,547","16,234",537,"Mar 25, 2024, 11:09 AM GMT+9",emilwallner,https://github.com/emilwallner/Screenshot-to-code,https://avatars.githubusercontent.com/u/12543699?s=48&v=4
best-of-ml-python,"2,248","15,303",391,"Apr 19, 2024, 12:55 AM GMT+9",ml-tooling,https://github.com/ml-tooling/best-of-ml-python,https://avatars.githubusercontent.com/u/45942048?s=48&v=4
cheatsheets-ai,"3,438","14,965","1,048","Oct 19, 2019, 9:32 PM GMT+9",kailashahirwar,https://github.com/kailashahirwar/cheatsheets-ai,https://avatars.githubusercontent.com/u/3731558?s=48&v=4
horovod,"2,210","13,942",334,"Mar 25, 2024, 9:37 PM GMT+9",horovod,https://github.com/horovod/horovod,https://avatars.githubusercontent.com/u/46361271?s=48&v=4
faceai,"2,486","10,577",387,"Jan 18, 2019, 11:36 AM GMT+9",vipstone,https://github.com/vipstone/faceai,https://avatars.githubusercontent.com/u/14868811?s=48&v=4
Keras-GAN,"3,152","9,134",277,"Jan 7, 2021, 1:32 AM GMT+9",eriklindernoren,https://github.com/eriklindernoren/Keras-GAN,https://avatars.githubusercontent.com/u/7977505?s=48&v=4
autokeras,"1,401","9,065",302,"Mar 21, 2024, 7:02 AM GMT+9",keras-team,https://github.com/keras-team/autokeras,https://avatars.githubusercontent.com/u/34455048?s=48&v=4
Ai-Learn,"2,044","8,415",189,"Dec 26, 2023, 2:39 AM GMT+9",tangyudi,https://github.com/tangyudi/Ai-Learn,https://avatars.githubusercontent.com/u/16098702?s=48&v=4
wandb,602,"8,181",54,"Apr 19, 2024, 9:34 AM GMT+9",wandb,https://github.com/wandb/wandb,https://avatars.githubusercontent.com/u/26401354?s=48&v=4
einops,334,"7,896",68,"Feb 11, 2024, 3:36 PM GMT+9",arogozhnikov,https://github.com/arogozhnikov/einops,https://avatars.githubusercontent.com/u/6318811?s=48&v=4
techniques,"1,339","7,726",259,"Apr 16, 2024, 5:34 PM GMT+9",satellite-image-deep-learning,https://github.com/satellite-image-deep-learning/techniques,https://avatars.githubusercontent.com/u/119039922?s=48&v=4
ASRT_SpeechRecognition,"1,878","7,456",187,"Apr 16, 2024, 1:40 AM GMT+9",nl8590687,https://github.com/nl8590687/ASRT_SpeechRecognition,https://avatars.githubusercontent.com/u/13351449?s=48&v=4
