title,fork,stars,watch,recent_time,writer,url,img
free-programming-books-zh_CN,"28,081","109,076","5,907","Jan 22, 2024, 9:24 AM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN,https://avatars.githubusercontent.com/u/359395?s=48&v=4
kotlin,"5,608","47,440","1,493","Apr 19, 2024, 5:18 PM GMT+9",JetBrains,https://github.com/JetBrains/kotlin,https://avatars.githubusercontent.com/u/878437?s=48&v=4
okhttp,"9,096","45,231","1,630","Apr 18, 2024, 10:32 AM GMT+9",square,https://github.com/square/okhttp,https://avatars.githubusercontent.com/u/82592?s=48&v=4
leakcanary,"3,955","29,112",982,"Apr 19, 2024, 1:05 AM GMT+9",square,https://github.com/square/leakcanary,https://avatars.githubusercontent.com/u/82592?s=48&v=4
NativeScript,"1,640","23,637",656,"Apr 17, 2024, 3:30 AM GMT+9",NativeScript,https://github.com/NativeScript/NativeScript,https://avatars.githubusercontent.com/u/7392261?s=48&v=4
iosched,"6,236","21,789","1,434","Jan 6, 2023, 3:35 AM GMT+9",google,https://github.com/google/iosched,https://avatars.githubusercontent.com/u/1342004?s=48&v=4
profile-summary-for-github,493,"19,806",108,"Jul 22, 2019, 12:19 AM GMT+9",tipsy,https://github.com/tipsy/profile-summary-for-github,https://avatars.githubusercontent.com/u/1521451?s=48&v=4
material-dialogs,"3,118","19,665",558,"Feb 20, 2021, 10:15 AM GMT+9",afollestad,https://github.com/afollestad/material-dialogs,https://avatars.githubusercontent.com/u/1820165?s=48&v=4
MMKV,"1,857","16,797",281,"Mar 19, 2024, 10:40 AM GMT+9",Tencent,https://github.com/Tencent/MMKV,https://avatars.githubusercontent.com/u/18461506?s=48&v=4
gradle,"4,486","16,110",519,"Apr 18, 2024, 10:15 PM GMT+9",gradle,https://github.com/gradle/gradle,https://avatars.githubusercontent.com/u/124156?s=48&v=4
SmartTube,899,"16,015",170,"Apr 19, 2024, 3:20 AM GMT+9",yuliskov,https://github.com/yuliskov/SmartTube,https://avatars.githubusercontent.com/u/5897464?s=48&v=4
anko,"1,283","15,910",536,"Dec 5, 2019, 5:59 PM GMT+9",Kotlin,https://github.com/Kotlin/anko,https://avatars.githubusercontent.com/u/1446536?s=48&v=4
gkd,855,"15,852",49,"Apr 19, 2024, 5:03 PM GMT+9",gkd-kit,https://github.com/gkd-kit/gkd,https://avatars.githubusercontent.com/u/138121201?s=48&v=4
nowinandroid,"2,647","15,214",316,"Apr 18, 2024, 7:32 AM GMT+9",android,https://github.com/android/nowinandroid,https://avatars.githubusercontent.com/u/32689599?s=48&v=4
compose-multiplatform,"1,067","14,654",212,"Apr 19, 2024, 7:14 AM GMT+9",JetBrains,https://github.com/JetBrains/compose-multiplatform,https://avatars.githubusercontent.com/u/878437?s=48&v=4
mirai,"2,515","13,973",134,"Mar 30, 2024, 10:54 PM GMT+9",mamoe,https://github.com/mamoe/mirai,https://avatars.githubusercontent.com/u/52516275?s=48&v=4
kotlinx.coroutines,"1,815","12,703",295,"Apr 16, 2024, 5:06 PM GMT+9",Kotlin,https://github.com/Kotlin/kotlinx.coroutines,https://avatars.githubusercontent.com/u/1446536?s=48&v=4
ktor,988,"12,220",180,"Apr 13, 2024, 12:31 AM GMT+9",ktorio,https://github.com/ktorio/ktor,https://avatars.githubusercontent.com/u/28214161?s=48&v=4
quicktype,"1,009","11,472",90,"Apr 19, 2024, 4:18 AM GMT+9",glideapps,https://github.com/glideapps/quicktype,https://avatars.githubusercontent.com/u/30638520?s=48&v=4
recyclerview-animators,"1,972","11,451",310,"Feb 14, 2021, 10:34 PM GMT+9",wasabeef,https://github.com/wasabeef/recyclerview-animators,https://avatars.githubusercontent.com/u/1833474?s=48&v=4
