title,fork,stars,watch,recent_time,writer,url,img
Avalonia,"2,055","23,667",467,"Apr 19, 2024, 10:05 AM GMT+9",AvaloniaUI,https://github.com/AvaloniaUI/Avalonia,https://avatars.githubusercontent.com/u/14075148?s=48&v=4
SteamTools,"1,144","18,149",95,"Apr 18, 2024, 9:39 PM GMT+9",BeyondDimension,https://github.com/BeyondDimension/SteamTools,https://avatars.githubusercontent.com/u/79355691?s=48&v=4
knockout,"1,514","10,420",528,"Sep 7, 2021, 12:15 PM GMT+9",knockout,https://github.com/knockout/knockout,https://avatars.githubusercontent.com/u/3863375?s=48&v=4
Jetpack-MVVM-Best-Practice,"1,609","8,653",128,"Sep 20, 2023, 11:10 AM GMT+9",KunMinX,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,https://avatars.githubusercontent.com/u/43346411?s=48&v=4
uno,686,"8,353",197,"Apr 19, 2024, 9:08 AM GMT+9",unoplatform,https://github.com/unoplatform/uno,https://avatars.githubusercontent.com/u/52228309?s=48&v=4
ReactiveUI,"1,114","7,896",360,"Mar 31, 2024, 6:11 AM GMT+9",reactiveui,https://github.com/reactiveui/ReactiveUI,https://avatars.githubusercontent.com/u/2327577?s=48&v=4
RIBs,900,"7,668",201,"Apr 16, 2024, 7:11 AM GMT+9",uber,https://github.com/uber/RIBs,https://avatars.githubusercontent.com/u/538264?s=48&v=4
Pokedex,"1,002","7,575",205,"Apr 18, 2024, 4:30 AM GMT+9",skydoves,https://github.com/skydoves/Pokedex,https://avatars.githubusercontent.com/u/24237865?s=48&v=4
MVVMHabit,"1,680","7,509",178,"Aug 11, 2022, 6:18 PM GMT+9",goldze,https://github.com/goldze/MVVMHabit,https://avatars.githubusercontent.com/u/17448148?s=48&v=4
LogicFlow,955,"6,771",85,"Apr 17, 2024, 8:36 PM GMT+9",didi,https://github.com/didi/LogicFlow,https://avatars.githubusercontent.com/u/27521938?s=48&v=4
android-showcase,892,"6,347",118,"Apr 18, 2024, 2:40 AM GMT+9",igorwojda,https://github.com/igorwojda/android-showcase,https://avatars.githubusercontent.com/u/530122?s=48&v=4
AndroidProject,"1,302","6,204",110,"Sep 10, 2022, 7:55 PM GMT+9",getActivity,https://github.com/getActivity/AndroidProject,https://avatars.githubusercontent.com/u/28616817?s=48&v=4
Prism,"1,618","6,103",391,"Apr 8, 2024, 3:13 AM GMT+9",PrismLibrary,https://github.com/PrismLibrary/Prism,https://avatars.githubusercontent.com/u/10503161?s=48&v=4
WindowsCommunityToolkit,"1,371","5,767",333,"Sep 22, 2023, 7:31 AM GMT+9",CommunityToolkit,https://github.com/CommunityToolkit/WindowsCommunityToolkit,https://avatars.githubusercontent.com/u/41346473?s=48&v=4
clean-architecture-swiftui,651,"5,397",102,"Nov 12, 2023, 2:49 AM GMT+9",nalexn,https://github.com/nalexn/clean-architecture-swiftui,https://avatars.githubusercontent.com/u/1594746?s=48&v=4
mvvm,"1,259","5,187",138,"Mar 8, 2023, 11:36 AM GMT+9",DMQ,https://github.com/DMQ/mvvm,https://avatars.githubusercontent.com/u/6860287?s=48&v=4
awesome-ios-architecture,523,"5,062",281,"Nov 29, 2023, 6:31 PM GMT+9",onmyway133,https://github.com/onmyway133/awesome-ios-architecture,https://avatars.githubusercontent.com/u/2284279?s=48&v=4
AmazeFileManager,"1,531","5,051",174,"Apr 19, 2024, 5:39 AM GMT+9",TeamAmaze,https://github.com/TeamAmaze/AmazeFileManager,https://avatars.githubusercontent.com/u/30984365?s=48&v=4
CloudReader,"1,325","4,895",160,"Mar 12, 2024, 7:25 PM GMT+9",youlookwhat,https://github.com/youlookwhat/CloudReader,https://avatars.githubusercontent.com/u/15052574?s=48&v=4
Bark,407,"4,842",27,"Apr 7, 2024, 12:22 PM GMT+9",Finb,https://github.com/Finb/Bark,https://avatars.githubusercontent.com/u/6845272?s=48&v=4
