title,fork,stars,watch,recent_time,writer,url,img
JavaGuide,"45,172","143,000","4,524","Apr 19, 2024, 4:23 PM GMT+9",Snailclimb,https://github.com/Snailclimb/JavaGuide,https://avatars.githubusercontent.com/u/29880145?s=48&v=4
mall,"28,255","75,287","2,233","Apr 18, 2024, 11:01 AM GMT+9",macrozheng,https://github.com/macrozheng/mall,https://avatars.githubusercontent.com/u/15903809?s=48&v=4
netdata,"5,714","68,058","1,354","Apr 19, 2024, 5:28 PM GMT+9",netdata,https://github.com/netdata/netdata,https://avatars.githubusercontent.com/u/43390781?s=48&v=4
grafana,"11,553","60,274","1,266","Apr 19, 2024, 3:22 PM GMT+9",grafana,https://github.com/grafana/grafana,https://avatars.githubusercontent.com/u/7195757?s=48&v=4
strapi,"7,496","59,859",664,"Apr 18, 2024, 5:39 PM GMT+9",strapi,https://github.com/strapi/strapi,https://avatars.githubusercontent.com/u/19872173?s=48&v=4
gogs,"4,800","44,103","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs,https://avatars.githubusercontent.com/u/6656686?s=48&v=4
nocodb,"2,898","42,194",353,"Apr 19, 2024, 2:08 PM GMT+9",nocodb,https://github.com/nocodb/nocodb,https://avatars.githubusercontent.com/u/50206778?s=48&v=4
dbeaver,"3,234","37,293",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver,https://avatars.githubusercontent.com/u/34743864?s=48&v=4
prisma,"1,419","37,122",233,"Apr 14, 2024, 3:59 PM GMT+9",prisma,https://github.com/prisma/prisma,https://avatars.githubusercontent.com/u/17219288?s=48&v=4
metabase,"4,852","36,424",644,"Apr 19, 2024, 9:54 AM GMT+9",metabase,https://github.com/metabase/metabase,https://avatars.githubusercontent.com/u/10520629?s=48&v=4
tidb,"5,707","36,093","1,273","Apr 19, 2024, 12:10 PM GMT+9",pingcap,https://github.com/pingcap/tidb,https://avatars.githubusercontent.com/u/11855343?s=48&v=4
interview_internal_reference,"9,404","36,088","1,522","May 17, 2023, 4:20 PM GMT+9",0voice,https://github.com/0voice/interview_internal_reference,https://avatars.githubusercontent.com/u/43104160?s=48&v=4
JavaFamily,"7,767","35,375","1,140","Jun 21, 2023, 3:54 PM GMT+9",AobingJava,https://github.com/AobingJava/JavaFamily,https://avatars.githubusercontent.com/u/41898583?s=48&v=4
typeorm,"6,172","33,260",346,"Mar 29, 2024, 12:06 AM GMT+9",typeorm,https://github.com/typeorm/typeorm,https://avatars.githubusercontent.com/u/20165699?s=48&v=4
sequelize,"4,243","29,024",416,"Apr 19, 2024, 12:31 PM GMT+9",sequelize,https://github.com/sequelize/sequelize,https://avatars.githubusercontent.com/u/3591786?s=48&v=4
directus,"3,522","25,338",303,"Apr 18, 2024, 10:16 PM GMT+9",directus,https://github.com/directus/directus,https://avatars.githubusercontent.com/u/15967950?s=48&v=4
toBeTopJavaer,"5,454","25,151",910,"Jan 3, 2024, 10:58 PM GMT+9",hollischuang,https://github.com/hollischuang/toBeTopJavaer,https://avatars.githubusercontent.com/u/7971539?s=48&v=4
redash,"4,247","24,918",577,"Apr 18, 2024, 9:35 PM GMT+9",getredash,https://github.com/getredash/redash,https://avatars.githubusercontent.com/u/10746780?s=48&v=4
ruoyi-vue-pro,"5,005","24,134",205,"Apr 12, 2024, 9:31 PM GMT+9",YunaiV,https://github.com/YunaiV/ruoyi-vue-pro,https://avatars.githubusercontent.com/u/2015545?s=48&v=4
mindsdb,"2,683","21,209",378,"Apr 19, 2024, 2:08 AM GMT+9",mindsdb,https://github.com/mindsdb/mindsdb,https://avatars.githubusercontent.com/u/31035808?s=48&v=4
