title,fork,stars,watch,recent_time,writer,url,img
transformers,"24,707","124,574","1,094","Apr 19, 2024, 5:24 PM GMT+9",huggingface,https://github.com/huggingface/transformers,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
ailearning,"11,314","38,012","1,682","Mar 4, 2024, 11:15 AM GMT+9",apachecn,https://github.com/apachecn/ailearning,https://avatars.githubusercontent.com/u/24802038?s=48&v=4
bert,"9,475","36,967","1,000","Mar 12, 2020, 12:19 AM GMT+9",google-research,https://github.com/google-research/bert,https://avatars.githubusercontent.com/u/43830688?s=48&v=4
HanLP,"9,485","32,275","1,138","Nov 28, 2023, 1:15 PM GMT+9",hankcs,https://github.com/hankcs/HanLP,https://avatars.githubusercontent.com/u/5326890?s=48&v=4
AI-For-Beginners,"4,957","30,927",386,"Feb 20, 2024, 1:35 PM GMT+9",microsoft,https://github.com/microsoft/AI-For-Beginners,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
spaCy,"4,279","28,693",555,"Apr 16, 2024, 7:00 PM GMT+9",explosion,https://github.com/explosion/spaCy,https://avatars.githubusercontent.com/u/20011530?s=48&v=4
datasets,"2,508","18,375",277,"Apr 19, 2024, 5:44 PM GMT+9",huggingface,https://github.com/huggingface/datasets,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
unilm,"2,364","18,280",294,"Apr 12, 2024, 11:49 AM GMT+9",microsoft,https://github.com/microsoft/unilm,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
rasa,"4,511","17,927",350,"Mar 22, 2024, 12:05 AM GMT+9",RasaHQ,https://github.com/RasaHQ/rasa,https://avatars.githubusercontent.com/u/21214473?s=48&v=4
Chinese-LLaMA-Alpaca,"1,774","17,157",182,"Mar 27, 2024, 9:53 AM GMT+9",ymcui,https://github.com/ymcui/Chinese-LLaMA-Alpaca,https://avatars.githubusercontent.com/u/16095339?s=48&v=4
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,"4,622","17,081",564,"Jan 8, 2024, 1:58 AM GMT+9",ashishpatel26,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://avatars.githubusercontent.com/u/3095771?s=48&v=4
awesome-nlp,"2,557","15,976",608,"Aug 5, 2023, 6:04 PM GMT+9",keon,https://github.com/keon/awesome-nlp,https://avatars.githubusercontent.com/u/10793962?s=48&v=4
lectures,"3,589","15,589","1,225","Jun 12, 2017, 9:51 PM GMT+9",oxford-cs-deepnlp-2017,https://github.com/oxford-cs-deepnlp-2017/lectures,https://avatars.githubusercontent.com/u/25229317?s=48&v=4
best-of-ml-python,"2,248","15,303",391,"Apr 19, 2024, 12:55 AM GMT+9",ml-tooling,https://github.com/ml-tooling/best-of-ml-python,https://avatars.githubusercontent.com/u/45942048?s=48&v=4
gensim,"4,349","15,217",436,"Apr 8, 2024, 12:19 PM GMT+9",piskvorky,https://github.com/piskvorky/gensim,https://avatars.githubusercontent.com/u/610412?s=48&v=4
ML-NLP,"4,454","15,120",383,"Feb 4, 2020, 10:19 PM GMT+9",NLP-LOVE,https://github.com/NLP-LOVE/ML-NLP,https://avatars.githubusercontent.com/u/52538954?s=48&v=4
Awesome-pytorch-list,"2,803","14,930",567,"Jan 25, 2023, 10:52 AM GMT+9",bharathgs,https://github.com/bharathgs/Awesome-pytorch-list,https://avatars.githubusercontent.com/u/4470378?s=48&v=4
ML-YouTube-Courses,"1,704","14,288",351,"Jan 23, 2024, 12:52 AM GMT+9",dair-ai,https://github.com/dair-ai/ML-YouTube-Courses,https://avatars.githubusercontent.com/u/30384625?s=48&v=4
nlp-tutorial,"3,871","13,666",289,"Jul 25, 2021, 11:52 PM GMT+9",graykode,https://github.com/graykode/nlp-tutorial,https://avatars.githubusercontent.com/u/10525011?s=48&v=4
haystack,"1,616","13,565",122,"Apr 13, 2024, 1:04 AM GMT+9",deepset-ai,https://github.com/deepset-ai/haystack,https://avatars.githubusercontent.com/u/51827949?s=48&v=4
