title,fork,stars,watch,recent_time,writer,url,img
redis,"23,432","64,723","2,543","Apr 16, 2024, 6:43 PM GMT+9",redis,https://github.com/redis/redis,https://avatars.githubusercontent.com/u/1529926?s=48&v=4
dbeaver,"3,234","37,293",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver,https://avatars.githubusercontent.com/u/34743864?s=48&v=4
mongo,"5,467","25,403","1,240","Apr 19, 2024, 5:49 PM GMT+9",mongodb,https://github.com/mongodb/mongo,https://avatars.githubusercontent.com/u/45120?s=48&v=4
surrealdb,774,"25,131",162,"Apr 19, 2024, 4:35 AM GMT+9",surrealdb,https://github.com/surrealdb/surrealdb,https://avatars.githubusercontent.com/u/10982346?s=48&v=4
rxdb,"1,003","20,546",211,"Apr 19, 2024, 3:29 AM GMT+9",pubkey,https://github.com/pubkey/rxdb,https://avatars.githubusercontent.com/u/8926560?s=48&v=4
arangodb,830,"13,340",331,"Apr 18, 2024, 11:29 PM GMT+9",arangodb,https://github.com/arangodb/arangodb,https://avatars.githubusercontent.com/u/5547849?s=48&v=4
codis,"2,693","13,060",893,"Nov 4, 2018, 5:22 PM GMT+9",CodisLabs,https://github.com/CodisLabs/codis,https://avatars.githubusercontent.com/u/16700854?s=48&v=4
scylladb,"1,199","12,489",341,"Apr 19, 2024, 1:33 AM GMT+9",scylladb,https://github.com/scylladb/scylladb,https://avatars.githubusercontent.com/u/14364730?s=48&v=4
neo4j,"2,312","12,432",517,"Feb 21, 2024, 5:01 PM GMT+9",neo4j,https://github.com/neo4j/neo4j,https://avatars.githubusercontent.com/u/201120?s=48&v=4
valkey,415,"11,780",72,"Apr 19, 2024, 4:31 AM GMT+9",valkey-io,https://github.com/valkey-io/valkey,https://avatars.githubusercontent.com/u/164458127?s=48&v=4
node-mongodb-native,"1,774","9,951",265,"Apr 19, 2024, 6:02 AM GMT+9",mongodb,https://github.com/mongodb/node-mongodb-native,https://avatars.githubusercontent.com/u/45120?s=48&v=4
dejavu,503,"8,322",130,"Aug 9, 2023, 2:31 PM GMT+9",appbaseio,https://github.com/appbaseio/dejavu,https://avatars.githubusercontent.com/u/8524145?s=48&v=4
awesome-system-design,773,"8,269",182,"Dec 12, 2023, 10:48 PM GMT+9",madd86,https://github.com/madd86/awesome-system-design,https://avatars.githubusercontent.com/u/23120598?s=48&v=4
LiteDB,"1,200","8,223",293,"Feb 22, 2024, 4:29 AM GMT+9",mbdavid,https://github.com/mbdavid/LiteDB,https://avatars.githubusercontent.com/u/1137197?s=48&v=4
school-of-sre,690,"7,628",157,"Mar 2, 2024, 4:25 PM GMT+9",linkedin,https://github.com/linkedin/school-of-sre,https://avatars.githubusercontent.com/u/357098?s=48&v=4
tinydb,512,"6,502",107,"Jul 25, 2023, 3:53 AM GMT+9",msiemens,https://github.com/msiemens/tinydb,https://avatars.githubusercontent.com/u/1873922?s=48&v=4
docker-images,"5,377","6,375",388,"Apr 17, 2024, 10:41 AM GMT+9",oracle,https://github.com/oracle/docker-images,https://avatars.githubusercontent.com/u/4430336?s=48&v=4
zeppelin,"2,774","6,261",316,"Apr 17, 2024, 11:46 AM GMT+9",apache,https://github.com/apache/zeppelin,https://avatars.githubusercontent.com/u/47359?s=48&v=4
pika,"1,164","5,661",279,"Apr 17, 2024, 9:00 PM GMT+9",OpenAtomFoundation,https://github.com/OpenAtomFoundation/pika,https://avatars.githubusercontent.com/u/59038917?s=48&v=4
DotNetGuide,740,"4,835",94,"Apr 18, 2024, 2:10 PM GMT+9",YSGStudyHards,https://github.com/YSGStudyHards/DotNetGuide,https://avatars.githubusercontent.com/u/35737263?s=48&v=4
